Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
321.85,7.238e+6,7.238e+6,,
321.9,5.378e+6,5.378e+6,,
321.95,4.087e+6,4.087e+6,,
322,3.443e+6,3.443e+6,,
322.05,3.509e+6,3.509e+6,,
322.1,4.348e+6,4.348e+6,,
322.15,6.023e+6,6.023e+6,,
322.2,8.581e+6,8.581e+6,,
322.25,1.201e+7,1.201e+7,,
322.3,1.622e+7,1.622e+7,,
322.35,2.095e+7,2.095e+7,,
322.4,2.584e+7,2.584e+7,,
322.45,3.039e+7,3.039e+7,,
322.5,3.408e+7,3.408e+7,,
322.55,3.643e+7,3.643e+7,,
322.6,3.712e+7,3.712e+7,,
322.65,3.605e+7,3.605e+7,,
322.7,3.337e+7,3.337e+7,,
322.75,2.945e+7,2.945e+7,,
322.8,2.477e+7,2.477e+7,,
322.85,1.986e+7,1.986e+7,,
322.9,1.518e+7,1.518e+7,,
322.95,1.106e+7,1.106e+7,,
323,7.677e+6,7.677e+6,,
323.05,5.081e+6,5.081e+6,,
323.1,3.206e+6,3.206e+6,,
323.15,1.928e+6,1.928e+6,,
323.2,1.105e+6,1.105e+6,,
323.25,6.040e+5,6.040e+5,,
323.3,3.146e+5,3.146e+5,,
323.35,1.562e+5,1.562e+5,,
323.4,7.393e+4,7.393e+4,,
323.45,3.335e+4,3.335e+4,,
323.5,1.434e+4,1.434e+4,,
323.55,5.880e+3,5.880e+3,,
323.6,2.298e+3,2.298e+3,,
323.65,8.560e+2,8.560e+2,,
323.7,3.039e+2,3.039e+2,,
323.75,1.029e+2,1.029e+2,,
323.8,3.319e+1,3.319e+1,,
323.85,1.021e+1,1.021e+1,,
323.9,2.993e+0,2.993e+0,,
323.95,8.366e-1,8.366e-1,,
324,2.229e-1,2.229e-1,,
324.05,5.660e-2,5.660e-2,,
324.1,1.370e-2,1.370e-2,,
324.15,3.162e-3,3.162e-3,,
324.21,5.110e-4,5.110e-4,,
324.26,1.061e-4,1.061e-4,,
324.31,2.102e-5,2.102e-5,,
324.36,3.967e-6,3.967e-6,,
324.41,7.137e-7,7.137e-7,,
324.46,1.224e-7,1.224e-7,,
324.51,2.002e-8,2.002e-8,,
324.56,1.113e-9,1.113e-9,,
325.51,7.296e-10,7.296e-10,,
325.56,4.434e-9,4.434e-9,,
325.61,2.571e-8,2.571e-8,,
325.66,1.423e-7,1.423e-7,,
325.71,7.520e-7,7.520e-7,,
325.76,3.792e-6,3.792e-6,,
325.81,1.825e-5,1.825e-5,,
325.86,8.385e-5,8.385e-5,,
325.91,3.676e-4,3.676e-4,,
325.96,1.538e-3,1.538e-3,,
326.01,6.145e-3,6.145e-3,,
326.06,2.342e-2,2.342e-2,,
326.11,8.523e-2,8.523e-2,,
326.16,2.960e-1,2.960e-1,,
