Wavelength (nm),Sum,Ca I (1.4e-01),Ca II (8.6e-01),Ca III (4.4e-04)
200.11,2.826e-15,,,2.826e-15
200.16,2.686e-15,,,2.686e-15
200.21,2.333e-15,,,2.333e-15
200.26,1.876e-15,,,1.876e-15
200.31,1.414e-15,,,1.414e-15
200.36,1.007e-15,,,1.007e-15
200.41,6.758e-16,,,6.758e-16
200.46,4.241e-16,,,4.241e-16
200.51,2.456e-16,,,2.456e-16
200.56,1.295e-16,,,1.295e-16
200.61,6.156e-17,,,6.156e-17
200.66,2.617e-17,,,2.617e-17
200.72,8.039e-18,,,8.039e-18
200.77,2.634e-18,,,2.634e-18
200.82,7.641e-19,,,7.641e-19
200.87,1.960e-19,,,1.960e-19
200.92,4.441e-20,,,4.441e-20
200.97,8.895e-21,,,8.895e-21
201.02,1.613e-21,,,1.613e-21
201.07,5.595e-22,,,5.595e-22
201.12,2.138e-21,,,2.138e-21
201.17,1.247e-20,,,1.247e-20
201.22,6.533e-20,,,6.533e-20
201.27,3.028e-19,,,3.028e-19
201.32,1.242e-18,,,1.242e-18
201.37,4.503e-18,,,4.503e-18
201.42,1.444e-17,,,1.444e-17
201.47,4.099e-17,,,4.099e-17
201.52,1.029e-16,,,1.029e-16
201.57,2.284e-16,,,2.284e-16
201.62,4.485e-16,,,4.485e-16
201.67,7.789e-16,,,7.789e-16
201.72,1.197e-15,,,1.197e-15
201.77,1.626e-15,,,1.626e-15
201.82,1.955e-15,,,1.955e-15
201.87,2.079e-15,,,2.079e-15
201.92,1.955e-15,,,1.955e-15
201.97,1.626e-15,,,1.626e-15
202.02,1.197e-15,,,1.197e-15
202.07,7.809e-16,,,7.809e-16
202.12,4.554e-16,,,4.554e-16
202.17,2.499e-16,,,2.499e-16
202.22,1.624e-16,,,1.624e-16
202.27,1.864e-16,,,1.864e-16
202.32,3.291e-16,,,3.291e-16
202.37,6.077e-16,,,6.077e-16
202.42,1.026e-15,,,1.026e-15
202.47,1.542e-15,,,1.542e-15
202.52,2.055e-15,,,2.055e-15
202.57,2.427e-15,,,2.427e-15
202.62,2.541e-15,,,2.541e-15
202.67,2.358e-15,,,2.358e-15
202.72,1.939e-15,,,1.939e-15
202.77,1.416e-15,,,1.416e-15
202.82,9.213e-16,,,9.213e-16
202.87,5.487e-16,,,5.487e-16
202.92,3.392e-16,,,3.392e-16
202.97,3.096e-16,,,3.096e-16
203.02,4.846e-16,,,4.846e-16
203.07,9.082e-16,,,9.082e-16
203.12,1.617e-15,,,1.617e-15
203.17,2.584e-15,,,2.584e-15
203.22,3.668e-15,,,3.668e-15
203.27,4.616e-15,,,4.616e-15
203.32,5.146e-15,,,5.146e-15
203.37,5.086e-15,,,5.086e-15
203.42,4.461e-15,,,4.461e-15
203.47,3.507e-15,,,3.507e-15
203.52,2.637e-15,,,2.637e-15
203.57,2.570e-15,,,2.570e-15
203.62,5.039e-15,,,5.039e-15
203.67,1.468e-14,,,1.468e-14
203.72,4.278e-14,,,4.278e-14
203.77,1.127e-13,,,1.127e-13
203.82,2.640e-13,,,2.640e-13
203.87,5.487e-13,,,5.487e-13
203.92,1.012e-12,,,1.012e-12
203.97,1.655e-12,,,1.655e-12
204.02,2.400e-12,,,2.400e-12
204.07,3.088e-12,,,3.088e-12
204.12,3.523e-12,,,3.523e-12
204.17,3.566e-12,,,3.566e-12
204.22,3.201e-12,,,3.201e-12
204.27,2.549e-12,,,2.549e-12
204.32,1.800e-12,,,1.800e-12
204.37,1.128e-12,,,1.128e-12
204.42,6.281e-13,,,6.281e-13
204.47,3.113e-13,,,3.113e-13
204.52,1.385e-13,,,1.385e-13
204.57,5.650e-14,,,5.650e-14
204.62,2.244e-14,,,2.244e-14
204.67,9.739e-15,,,9.739e-15
204.72,5.147e-15,,,5.147e-15
204.77,3.206e-15,,,3.206e-15
204.82,2.080e-15,,,2.080e-15
204.87,1.288e-15,,,1.288e-15
204.92,7.332e-16,,,7.332e-16
204.97,3.783e-16,,,3.783e-16
205.02,1.760e-16,,,1.760e-16
205.07,7.362e-17,,,7.362e-17
