Wavelength (nm),Sum,Ca I (2.6e-03),Ca II (3.6e-01),Ca III (6.4e-01)
200.11,1.918e+0,,,1.918e+0
200.16,1.845e+0,,,1.845e+0
200.21,1.630e+0,,,1.630e+0
200.26,1.339e+0,,,1.339e+0
200.31,1.036e+0,,,1.036e+0
200.36,7.567e-1,,,7.567e-1
200.41,5.201e-1,,,5.201e-1
200.46,3.325e-1,,,3.325e-1
200.51,1.951e-1,,,1.951e-1
200.56,1.038e-1,,,1.038e-1
200.61,4.965e-2,,,4.965e-2
200.66,2.118e-2,,,2.118e-2
200.72,6.522e-3,,,6.522e-3
200.77,2.140e-3,,,2.140e-3
200.82,6.211e-4,,,6.211e-4
200.87,1.594e-4,,,1.594e-4
200.92,3.612e-5,,,3.612e-5
200.97,7.236e-6,,,7.236e-6
201.02,1.313e-6,,,1.313e-6
201.07,4.628e-7,,,4.628e-7
201.12,1.790e-6,,,1.790e-6
201.17,1.045e-5,,,1.045e-5
201.22,5.472e-5,,,5.472e-5
201.27,2.537e-4,,,2.537e-4
201.32,1.040e-3,,,1.040e-3
201.37,3.772e-3,,,3.772e-3
201.42,1.210e-2,,,1.210e-2
201.47,3.433e-2,,,3.433e-2
201.52,8.616e-2,,,8.616e-2
201.57,1.913e-1,,,1.913e-1
201.62,3.756e-1,,,3.756e-1
201.67,6.524e-1,,,6.524e-1
201.72,1.002e+0,,,1.002e+0
201.77,1.362e+0,,,1.362e+0
201.82,1.637e+0,,,1.637e+0
201.87,1.741e+0,,,1.741e+0
201.92,1.638e+0,,,1.638e+0
201.97,1.362e+0,,,1.362e+0
202.02,1.003e+0,,,1.003e+0
202.07,6.537e-1,,,6.537e-1
202.12,3.800e-1,,,3.800e-1
202.17,2.050e-1,,,2.050e-1
202.22,1.242e-1,,,1.242e-1
202.27,1.273e-1,,,1.273e-1
202.32,2.136e-1,,,2.136e-1
202.37,3.908e-1,,,3.908e-1
202.42,6.594e-1,,,6.594e-1
202.47,9.928e-1,,,9.928e-1
202.52,1.326e+0,,,1.326e+0
202.57,1.570e+0,,,1.570e+0
202.62,1.648e+0,,,1.648e+0
202.67,1.534e+0,,,1.534e+0
202.72,1.266e+0,,,1.266e+0
202.77,9.273e-1,,,9.273e-1
202.82,6.052e-1,,,6.052e-1
202.87,3.597e-1,,,3.597e-1
202.92,2.166e-1,,,2.166e-1
202.97,1.838e-1,,,1.838e-1
203.02,2.710e-1,,,2.710e-1
203.07,4.988e-1,,,4.988e-1
203.12,8.849e-1,,,8.849e-1
203.17,1.413e+0,,,1.413e+0
203.22,2.006e+0,,,2.006e+0
203.27,2.524e+0,,,2.524e+0
203.32,2.814e+0,,,2.814e+0
203.37,2.780e+0,,,2.780e+0
203.42,2.434e+0,,,2.434e+0
203.47,1.888e+0,,,1.888e+0
203.52,1.300e+0,,,1.300e+0
203.57,8.018e-1,,,8.018e-1
203.62,4.697e-1,,,4.697e-1
203.67,3.487e-1,,,3.487e-1
203.72,5.177e-1,,,5.177e-1
203.77,1.172e+0,,,1.172e+0
203.82,2.682e+0,,,2.682e+0
203.87,5.555e+0,,,5.555e+0
203.92,1.024e+1,,,1.024e+1
203.97,1.674e+1,,,1.674e+1
204.02,2.428e+1,,,2.428e+1
204.07,3.124e+1,,,3.124e+1
204.12,3.566e+1,,,3.566e+1
204.17,3.611e+1,,,3.611e+1
204.22,3.248e+1,,,3.248e+1
204.27,2.600e+1,,,2.600e+1
204.32,1.864e+1,,,1.864e+1
204.37,1.220e+1,,,1.220e+1
204.42,7.621e+0,,,7.621e+0
204.47,4.992e+0,,,4.992e+0
204.52,3.808e+0,,,3.808e+0
204.57,3.403e+0,,,3.403e+0
204.62,3.230e+0,,,3.230e+0
204.67,2.975e+0,,,2.975e+0
204.72,2.543e+0,,,2.543e+0
204.77,1.985e+0,,,1.985e+0
204.82,1.405e+0,,,1.405e+0
204.87,8.997e-1,,,8.997e-1
204.92,5.205e-1,,,5.205e-1
204.97,2.715e-1,,,2.715e-1
205.02,1.274e-1,,,1.274e-1
