Wavelength (nm),Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
200.11,7.886e-17,,,7.886e-17
200.16,1.907e-16,,,1.907e-16
200.21,4.074e-16,,,4.074e-16
200.26,7.683e-16,,,7.683e-16
200.31,1.279e-15,,,1.279e-15
200.36,1.881e-15,,,1.881e-15
200.41,2.443e-15,,,2.443e-15
200.46,2.801e-15,,,2.801e-15
200.51,2.836e-15,,,2.836e-15
200.56,2.536e-15,,,2.536e-15
200.61,2.002e-15,,,2.002e-15
200.66,1.396e-15,,,1.396e-15
200.72,7.683e-16,,,7.683e-16
200.77,4.074e-16,,,4.074e-16
200.82,1.907e-16,,,1.907e-16
200.87,7.886e-17,,,7.886e-17
200.92,2.879e-17,,,2.879e-17
200.97,9.283e-18,,,9.283e-18
201.02,2.643e-18,,,2.643e-18
201.07,6.643e-19,,,6.643e-19
201.12,1.475e-19,,,1.475e-19
201.17,2.890e-20,,,2.890e-20
201.22,5.003e-21,,,5.003e-21
201.27,7.647e-22,,,7.647e-22
201.32,1.032e-22,,,1.032e-22
201.37,2.841e-7,2.841e-7,,1.230e-23
201.42,5.098e-6,5.098e-6,,1.294e-24
201.47,8.100e-5,8.100e-5,,1.203e-25
201.52,1.139e-3,1.139e-3,,9.870e-27
201.57,1.419e-2,1.419e-2,,7.152e-28
201.62,1.564e-1,1.564e-1,,4.576e-29
201.67,1.527e+0,1.527e+0,,2.585e-30
201.72,1.319e+1,1.319e+1,,
201.77,1.009e+2,1.009e+2,,
201.82,6.833e+2,6.833e+2,,
201.87,4.097e+3,4.097e+3,,
201.92,2.174e+4,2.174e+4,,
201.97,1.022e+5,1.022e+5,,
202.02,4.250e+5,4.250e+5,,
202.07,1.565e+6,1.565e+6,,
202.12,5.102e+6,5.102e+6,,
202.17,1.473e+7,1.473e+7,,
202.22,3.763e+7,3.763e+7,,
202.27,8.512e+7,8.512e+7,,
202.32,1.705e+8,1.705e+8,,
202.37,3.022e+8,3.022e+8,,
