Wavelength (nm),Sum,Mg I (4.9e-01),Mg II (5.1e-01),Mg III (4.2e-06)
388.83,4.418e+6,4.418e+6,,
388.88,5.417e+6,5.417e+6,,
388.93,6.489e+6,6.489e+6,,
388.98,7.605e+6,7.605e+6,,
389.03,8.732e+6,8.732e+6,,
389.08,9.836e+6,9.836e+6,,
389.13,1.088e+7,1.088e+7,,
389.18,1.185e+7,1.185e+7,,
389.23,1.269e+7,1.269e+7,,
389.28,1.340e+7,1.340e+7,,
389.33,1.394e+7,1.394e+7,,
389.38,1.429e+7,1.429e+7,,
389.43,1.443e+7,1.443e+7,,
389.48,1.434e+7,1.434e+7,,
389.53,1.400e+7,1.400e+7,,
389.58,1.343e+7,1.343e+7,,
389.63,1.263e+7,1.263e+7,,
389.68,1.163e+7,1.163e+7,,
389.73,1.048e+7,1.048e+7,,
389.78,9.235e+6,9.235e+6,,
389.83,7.950e+6,7.950e+6,,
389.88,6.683e+6,6.683e+6,,
389.93,5.484e+6,5.484e+6,,
389.98,4.392e+6,4.392e+6,,
390.03,3.431e+6,3.431e+6,,
390.08,2.616e+6,2.616e+6,,
390.13,1.945e+6,1.945e+6,,
390.18,1.410e+6,1.410e+6,,
390.23,9.975e+5,9.975e+5,,
390.28,6.878e+5,6.878e+5,,
390.33,4.623e+5,4.623e+5,,
390.38,3.028e+5,3.028e+5,,
390.43,1.932e+5,1.932e+5,,
390.48,1.200e+5,1.200e+5,,
390.53,7.257e+4,7.257e+4,,
390.58,4.269e+4,4.269e+4,,
390.63,2.442e+4,2.442e+4,,
390.68,1.358e+4,1.358e+4,,
390.73,7.332e+3,7.332e+3,,
390.78,3.846e+3,3.846e+3,,
390.83,1.958e+3,1.958e+3,,
390.88,9.672e+2,9.672e+2,,
390.93,4.635e+2,4.635e+2,,
390.98,2.153e+2,2.153e+2,,
391.03,9.700e+1,9.700e+1,,
391.08,4.235e+1,4.235e+1,,
391.13,1.791e+1,1.791e+1,,
391.18,7.341e+0,7.341e+0,,
391.23,2.914e+0,2.914e+0,,
391.28,1.120e+0,1.120e+0,,
391.33,4.170e-1,4.170e-1,,
391.38,1.503e-1,1.503e-1,,
391.43,5.245e-2,5.245e-2,,
391.48,1.772e-2,1.772e-2,,
391.53,5.795e-3,5.795e-3,,
391.58,1.834e-3,1.834e-3,,
391.63,5.621e-4,5.621e-4,,
391.68,1.674e-4,1.674e-4,,
391.73,5.087e-5,5.087e-5,,
391.78,2.495e-5,2.495e-5,,
391.83,4.690e-5,4.690e-5,,
391.88,1.567e-4,1.567e-4,,
391.93,5.426e-4,5.426e-4,,
391.98,1.829e-3,1.829e-3,,
392.03,5.969e-3,5.969e-3,,
392.08,1.887e-2,1.887e-2,,
392.13,5.774e-2,5.774e-2,,
392.18,1.711e-1,1.711e-1,,
392.23,4.909e-1,4.909e-1,,
392.28,1.364e+0,1.364e+0,,
392.33,3.669e+0,3.669e+0,,
392.38,9.558e+0,9.558e+0,,
392.43,2.411e+1,2.411e+1,,
392.48,5.888e+1,5.888e+1,,
392.53,1.392e+2,1.392e+2,,
392.58,3.188e+2,3.188e+2,,
392.63,7.068e+2,7.068e+2,,
392.68,1.517e+3,1.517e+3,,
392.73,3.154e+3,3.154e+3,,
392.78,6.349e+3,6.349e+3,,
392.83,1.237e+4,1.237e+4,,
392.88,2.335e+4,2.335e+4,,
392.93,4.266e+4,4.266e+4,,
392.98,7.548e+4,7.548e+4,,
393.03,1.293e+5,1.293e+5,,
393.08,2.145e+5,2.145e+5,,
393.13,3.445e+5,3.445e+5,,
393.18,5.358e+5,5.358e+5,,
393.23,8.069e+5,8.069e+5,,
393.28,1.177e+6,1.177e+6,,
393.33,1.661e+6,1.661e+6,,
393.38,2.271e+6,2.271e+6,,
393.43,3.006e+6,3.006e+6,,
393.48,3.853e+6,3.853e+6,,
393.53,4.782e+6,4.782e+6,,
393.58,5.746e+6,5.746e+6,,
393.63,6.686e+6,6.686e+6,,
393.68,7.533e+6,7.533e+6,,
393.73,8.219e+6,8.219e+6,,
393.78,8.681e+6,8.681e+6,,
393.83,8.880e+6,8.880e+6,,
393.88,8.794e+6,8.794e+6,,
393.93,8.433e+6,8.433e+6,,
393.98,7.831e+6,7.831e+6,,
394.03,7.040e+6,7.040e+6,,
394.08,6.129e+6,6.129e+6,,
394.13,5.167e+6,5.167e+6,,
394.18,4.217e+6,4.217e+6,,
394.23,3.333e+6,3.333e+6,,
394.28,2.550e+6,2.550e+6,,
394.33,1.890e+6,1.890e+6,,
394.38,1.356e+6,1.356e+6,,
394.43,9.419e+5,9.419e+5,,
394.48,6.336e+5,6.336e+5,,
394.53,4.127e+5,4.127e+5,,
394.58,2.603e+5,2.603e+5,,
394.63,1.589e+5,1.589e+5,,
394.68,9.398e+4,9.398e+4,,
394.73,5.381e+4,5.381e+4,,
394.78,2.983e+4,2.983e+4,,
394.83,1.601e+4,1.601e+4,,
394.88,8.323e+3,8.323e+3,,
394.93,4.189e+3,4.189e+3,,
394.98,2.041e+3,2.041e+3,,
395.03,9.632e+2,9.632e+2,,
395.08,4.401e+2,4.401e+2,,
395.13,1.947e+2,1.947e+2,,
395.18,8.340e+1,8.340e+1,,
395.23,3.459e+1,3.459e+1,,
395.28,1.389e+1,1.389e+1,,
395.33,5.402e+0,5.402e+0,,
395.38,2.034e+0,2.034e+0,,
395.43,7.417e-1,7.417e-1,,
395.48,2.618e-1,2.618e-1,,
395.53,8.950e-2,8.950e-2,,
395.58,2.962e-2,2.962e-2,,
395.63,9.494e-3,9.494e-3,,
395.68,2.946e-3,2.946e-3,,
395.73,8.853e-4,8.853e-4,,
395.78,2.576e-4,2.576e-4,,
395.83,7.257e-5,7.257e-5,,
395.88,1.979e-5,1.979e-5,,
395.93,5.228e-6,5.228e-6,,
395.98,1.337e-6,1.337e-6,,
396.03,3.311e-7,3.311e-7,,
396.08,7.940e-8,7.940e-8,,
396.13,1.844e-8,1.844e-8,,
396.18,4.144e-9,4.144e-9,,
396.23,9.022e-10,9.022e-10,,
396.28,2.231e-9,2.231e-9,,
396.33,9.940e-9,9.940e-9,,
396.38,4.292e-8,4.292e-8,,
396.43,1.796e-7,1.796e-7,,
396.48,7.282e-7,7.282e-7,,
396.53,2.861e-6,2.861e-6,,
396.58,1.089e-5,1.089e-5,,
396.63,4.019e-5,4.019e-5,,
396.68,1.437e-4,1.437e-4,,
396.73,4.979e-4,4.979e-4,,
396.78,1.671e-3,1.671e-3,,
396.83,5.438e-3,5.438e-3,,
396.88,1.714e-2,1.714e-2,,
396.93,5.237e-2,5.237e-2,,
396.98,1.550e-1,1.550e-1,,
397.03,4.447e-1,4.447e-1,,
397.08,1.236e+0,1.236e+0,,
397.13,3.330e+0,3.330e+0,,
397.18,8.693e+0,8.693e+0,,
397.23,2.199e+1,2.199e+1,,
397.28,5.390e+1,5.390e+1,,
397.33,1.280e+2,1.280e+2,,
397.38,2.947e+2,2.947e+2,,
397.43,6.572e+2,6.572e+2,,
397.48,1.420e+3,1.420e+3,,
397.53,2.975e+3,2.975e+3,,
397.58,6.038e+3,6.038e+3,,
397.63,1.187e+4,1.187e+4,,
397.68,2.263e+4,2.263e+4,,
397.73,4.179e+4,4.179e+4,,
397.78,7.479e+4,7.479e+4,,
397.83,1.297e+5,1.297e+5,,
397.88,2.179e+5,2.179e+5,,
397.93,3.549e+5,3.549e+5,,
397.98,5.600e+5,5.600e+5,,
398.03,8.563e+5,8.563e+5,,
398.08,1.269e+6,1.269e+6,,
398.13,1.822e+6,1.822e+6,,
398.18,2.535e+6,2.535e+6,,
398.23,3.418e+6,3.418e+6,,
398.28,4.466e+6,4.466e+6,,
398.33,5.654e+6,5.654e+6,,
398.38,6.937e+6,6.937e+6,,
398.43,8.247e+6,8.247e+6,,
398.48,9.502e+6,9.502e+6,,
398.53,1.061e+7,1.061e+7,,
398.58,1.148e+7,1.148e+7,,
398.63,1.203e+7,1.203e+7,,
398.68,1.222e+7,1.222e+7,,
398.73,1.203e+7,1.203e+7,,
398.78,1.148e+7,1.148e+7,,
398.83,1.061e+7,1.061e+7,,
398.88,9.502e+6,9.502e+6,,
398.93,8.247e+6,8.247e+6,,
398.98,6.937e+6,6.937e+6,,
399.03,5.654e+6,5.654e+6,,
399.08,4.466e+6,4.466e+6,,
399.13,3.418e+6,3.418e+6,,
399.18,2.535e+6,2.535e+6,,
399.23,1.822e+6,1.822e+6,,
399.28,1.269e+6,1.269e+6,,
399.33,8.563e+5,8.563e+5,,
399.38,5.600e+5,5.600e+5,,
399.43,3.549e+5,3.549e+5,,
399.48,2.179e+5,2.179e+5,,
399.53,1.297e+5,1.297e+5,,
399.58,7.479e+4,7.479e+4,,
399.63,4.179e+4,4.179e+4,,
399.68,2.263e+4,2.263e+4,,
399.73,1.187e+4,1.187e+4,,
399.78,6.038e+3,6.038e+3,,
399.83,2.975e+3,2.975e+3,,
399.88,1.420e+3,1.420e+3,,
399.93,6.572e+2,6.572e+2,,
399.98,2.947e+2,2.947e+2,,
400.03,1.280e+2,1.280e+2,,
400.08,5.390e+1,5.390e+1,,
400.13,2.199e+1,2.199e+1,,
400.18,8.693e+0,8.693e+0,,
400.23,3.330e+0,3.330e+0,,
400.28,1.236e+0,1.236e+0,,
400.33,4.447e-1,4.447e-1,,
400.38,1.550e-1,1.550e-1,,
400.43,5.237e-2,5.237e-2,,
400.48,1.714e-2,1.714e-2,,
400.53,5.438e-3,5.438e-3,,
400.58,1.671e-3,1.671e-3,,
400.63,4.979e-4,4.979e-4,,
400.68,1.437e-4,1.437e-4,,
400.73,4.019e-5,4.019e-5,,
400.78,1.089e-5,1.089e-5,,
400.83,2.861e-6,2.861e-6,,
400.88,7.282e-7,7.282e-7,,
400.93,1.796e-7,1.796e-7,,
400.98,4.292e-8,4.292e-8,,
401.03,9.940e-9,9.940e-9,,
401.08,2.231e-9,2.231e-9,,
403.33,6.336e-9,6.336e-9,,
403.38,2.714e-8,2.714e-8,,
403.43,1.128e-7,1.128e-7,,
403.48,4.546e-7,4.546e-7,,
403.53,1.778e-6,1.778e-6,,
403.58,6.744e-6,6.744e-6,,
403.63,2.482e-5,2.482e-5,,
403.68,8.859e-5,8.859e-5,,
403.73,3.068e-4,3.068e-4,,
403.78,1.031e-3,1.031e-3,,
403.83,3.359e-3,3.359e-3,,
403.88,1.062e-2,1.062e-2,,
403.93,3.257e-2,3.257e-2,,
403.98,9.689e-2,9.689e-2,,
