Wavelength (nm),Sum,Mg I (7.9e-03),Mg II (7.2e-01),Mg III (2.7e-01)
252.33,2.596e-10,,,2.596e-10
252.38,6.279e-10,,,6.279e-10
252.43,1.405e-9,,,1.405e-9
252.48,2.906e-9,,,2.906e-9
252.53,5.559e-9,,,5.559e-9
252.58,9.836e-9,,,9.836e-9
252.63,1.609e-8,,,1.609e-8
252.68,2.435e-8,,,2.435e-8
252.73,3.408e-8,,,3.408e-8
252.78,4.411e-8,,,4.411e-8
252.83,5.280e-8,,,5.280e-8
252.88,5.845e-8,,,5.845e-8
252.93,5.984e-8,,,5.984e-8
252.98,5.665e-8,,,5.665e-8
253.03,4.960e-8,,,4.960e-8
253.08,4.016e-8,,,4.016e-8
253.13,3.008e-8,,,3.008e-8
253.18,2.083e-8,,,2.083e-8
253.23,1.334e-8,,,1.334e-8
253.28,7.902e-9,,,7.902e-9
253.33,4.329e-9,,,4.329e-9
253.38,2.193e-9,,,2.193e-9
253.43,1.027e-9,,,1.027e-9
253.48,4.452e-10,,,4.452e-10
253.53,1.784e-10,,,1.784e-10
253.58,6.611e-11,,,6.611e-11
253.63,2.266e-11,,,2.266e-11
253.68,7.181e-12,,,7.181e-12
253.73,2.105e-12,,,2.105e-12
253.78,5.706e-13,,,5.706e-13
253.83,1.430e-13,,,1.430e-13
253.88,3.317e-14,,,3.317e-14
253.93,7.111e-15,,,7.111e-15
253.98,1.410e-15,,,1.410e-15
254.03,2.586e-16,,,2.586e-16
254.08,4.386e-17,,,4.386e-17
254.13,6.879e-18,,,6.879e-18
254.18,9.978e-19,,,9.978e-19
254.23,1.339e-19,,,1.339e-19
254.28,1.661e-20,,,1.661e-20
254.33,1.905e-21,,,1.905e-21
254.38,2.022e-22,,,2.022e-22
254.43,1.984e-23,,,1.984e-23
260.23,1.060e-25,,,1.060e-25
260.28,1.010e-24,,,1.010e-24
260.33,8.948e-24,,,8.948e-24
260.38,7.368e-23,,,7.368e-23
260.43,5.640e-22,,,5.640e-22
260.48,4.014e-21,,,4.014e-21
260.53,2.655e-20,,,2.655e-20
260.58,1.633e-19,,,1.633e-19
260.63,9.336e-19,,,9.336e-19
260.68,4.962e-18,,,4.962e-18
260.73,2.452e-17,,,2.452e-17
