file,channels,unique_channels,min_wavelength_nm,max_wavelength_nm,status
plibs_z903_203m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_209m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_20d25.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_210m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_213m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_215m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_2160a.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_216m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_21d1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_21d15.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_21d21.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_21d35.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_21d41.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_23d8.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_26d3.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_26d8a.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_28d18.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_28d26.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_28d27.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_29d16.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_29d2.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_2d1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_30d11.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_30d15.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_31d118.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_31d153.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_31d161.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_31d2.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_33d11.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_33d15.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_33d17.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_33d19.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_34d1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_34p1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_36d10.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_36d2.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_37d0a.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_37d11.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_37d14.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_37d2.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_37d40.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_39d4.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d11.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d2.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d22.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d3.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d34.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d37.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d42.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_41d9.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_42877m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_43d0a.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_43d1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_43d14.csv,23401,23401,180.0,959.999999999792,readable
