Wavelength (nm),Sum,Fe I (6.3e-01),Fe II (3.7e-01),Fe III (5.1e-07)
394.9,2.203e+7,2.203e+7,,6.643e-10
395,2.398e+7,2.398e+7,,7.679e-10
395.1,2.576e+7,2.576e+7,,8.602e-10
395.2,2.733e+7,2.733e+7,,9.343e-10
395.3,2.867e+7,2.867e+7,,9.844e-10
395.4,2.978e+7,2.978e+7,,1.007e-9
395.5,3.073e+7,3.073e+7,,1.002e-9
395.6,3.162e+7,3.162e+7,,9.722e-10
395.7,3.258e+7,3.258e+7,,9.226e-10
395.8,3.377e+7,3.377e+7,,8.612e-10
395.9,3.536e+7,3.536e+7,,7.966e-10
396,3.749e+7,3.749e+7,,7.371e-10
396.1,4.025e+7,4.025e+7,,6.895e-10
396.2,4.361e+7,4.361e+7,,6.584e-10
396.3,4.747e+7,4.747e+7,,6.455e-10
396.4,5.159e+7,5.159e+7,,6.496e-10
396.5,5.561e+7,5.561e+7,,6.672e-10
396.6,5.915e+7,5.915e+7,,6.934e-10
396.7,6.178e+7,6.178e+7,,7.224e-10
396.8,6.314e+7,6.314e+7,,7.490e-10
396.9,6.299e+7,6.299e+7,,7.688e-10
397,6.121e+7,6.121e+7,,7.795e-10
397.1,5.787e+7,5.787e+7,,7.799e-10
397.2,5.319e+7,5.319e+7,,7.707e-10
397.3,4.751e+7,4.751e+7,,7.532e-10
397.4,4.123e+7,4.123e+7,,7.294e-10
397.5,3.476e+7,3.476e+7,,7.008e-10
397.6,2.848e+7,2.848e+7,,6.685e-10
397.7,2.270e+7,2.270e+7,,6.330e-10
397.8,1.761e+7,1.761e+7,,5.942e-10
397.9,1.332e+7,1.332e+7,,5.519e-10
398,9.859e+6,9.859e+6,,5.057e-10
398.1,7.179e+6,7.179e+6,,4.560e-10
398.2,5.203e+6,5.203e+6,,4.035e-10
398.3,3.838e+6,3.838e+6,,3.495e-10
398.4,2.991e+6,2.991e+6,,2.957e-10
398.5,2.583e+6,2.583e+6,,2.440e-10
398.6,2.555e+6,2.555e+6,,1.962e-10
398.7,2.868e+6,2.868e+6,,1.535e-10
398.8,3.498e+6,3.498e+6,,1.169e-10
398.9,4.434e+6,4.434e+6,,8.670e-11
399,5.671e+6,5.671e+6,,6.282e-11
399.1,7.209e+6,7.209e+6,,4.470e-11
399.2,9.044e+6,9.044e+6,,3.155e-11
399.3,1.117e+7,1.117e+7,,2.250e-11
399.4,1.358e+7,1.358e+7,,1.667e-11
399.5,1.625e+7,1.625e+7,,1.323e-11
399.6,1.914e+7,1.914e+7,,1.150e-11
399.7,2.220e+7,2.220e+7,,1.090e-11
399.8,2.536e+7,2.536e+7,,1.099e-11
399.9,2.849e+7,2.849e+7,,1.145e-11
400,3.146e+7,3.146e+7,,1.202e-11
400.1,3.411e+7,3.411e+7,,1.255e-11
400.2,3.626e+7,3.626e+7,,1.293e-11
400.3,3.776e+7,3.776e+7,,1.309e-11
400.4,3.848e+7,3.848e+7,,1.301e-11
400.5,3.833e+7,3.833e+7,,1.270e-11
400.6,3.732e+7,3.732e+7,,1.217e-11
400.7,3.553e+7,3.553e+7,,1.146e-11
400.8,3.308e+7,3.308e+7,,1.060e-11
400.9,3.018e+7,3.018e+7,,9.639e-12
401,2.705e+7,2.705e+7,,8.617e-12
401.1,2.389e+7,2.389e+7,,7.579e-12
401.2,2.091e+7,2.091e+7,,6.575e-12
401.3,1.825e+7,1.825e+7,,5.663e-12
401.4,1.599e+7,1.599e+7,,4.912e-12
401.5,1.418e+7,1.418e+7,,4.419e-12
401.6,1.281e+7,1.281e+7,,4.313e-12
401.7,1.183e+7,1.183e+7,,4.781e-12
401.8,1.118e+7,1.118e+7,,6.085e-12
401.9,1.078e+7,1.078e+7,,8.584e-12
