Wavelength (nm),Sum,Fe I (5.9e-03),Fe II (8.8e-01),Fe III (1.2e-01)
200.1,6.814e+8,,6.752e+8,6.269e+6
200.2,5.788e+8,,5.709e+8,7.882e+6
200.3,4.490e+8,,4.397e+8,9.316e+6
200.4,3.349e+8,,3.245e+8,1.037e+7
200.5,2.659e+8,,2.551e+8,1.089e+7
200.6,2.530e+8,,2.422e+8,1.082e+7
200.7,2.913e+8,,2.810e+8,1.022e+7
200.8,3.652e+8,,3.560e+8,9.218e+6
200.9,4.529e+8,,4.449e+8,8.040e+6
201,5.304e+8,,5.235e+8,6.887e+6
201.1,5.784e+8,,5.726e+8,5.898e+6
201.2,5.902e+8,,5.851e+8,5.114e+6
201.3,5.743e+8,,5.698e+8,4.496e+6
201.4,5.500e+8,,5.460e+8,3.974e+6
201.5,5.374e+8,,5.339e+8,3.494e+6
201.6,5.473e+8,,5.442e+8,3.041e+6
201.7,5.765e+8,,5.739e+8,2.626e+6
201.8,6.087e+8,,6.064e+8,2.275e+6
201.9,6.214e+8,,6.194e+8,2.026e+6
202,5.963e+8,,5.944e+8,1.918e+6
202.1,5.283e+8,,5.263e+8,1.983e+6
202.2,4.277e+8,,4.255e+8,2.221e+6
202.3,3.157e+8,,3.131e+8,2.577e+6
202.4,2.146e+8,,2.117e+8,2.946e+6
202.5,1.412e+8,,1.380e+8,3.201e+6
202.6,1.036e+8,,1.004e+8,3.246e+6
202.7,1.034e+8,,1.004e+8,3.070e+6
202.8,1.371e+8,,1.343e+8,2.758e+6
202.9,1.963e+8,,1.939e+8,2.470e+6
203,2.685e+8,,2.661e+8,2.377e+6
203.1,3.377e+8,,3.351e+8,2.607e+6
203.2,3.904e+8,,3.872e+8,3.203e+6
203.3,4.203e+8,,4.162e+8,4.107e+6
203.4,4.311e+8,,4.259e+8,5.177e+6
203.5,4.346e+8,,4.284e+8,6.221e+6
203.6,4.454e+8,,4.383e+8,7.061e+6
203.7,4.743e+8,,4.667e+8,7.586e+6
203.8,5.221e+8,,5.143e+8,7.769e+6
203.9,5.763e+8,,5.686e+8,7.662e+6
204,6.137e+8,,6.063e+8,7.357e+6
204.1,6.108e+8,,6.038e+8,6.957e+6
204.2,5.570e+8,,5.505e+8,6.543e+6
204.3,4.624e+8,,4.562e+8,6.144e+6
204.4,3.533e+8,,3.476e+8,5.737e+6
204.5,2.610e+8,,2.558e+8,5.268e+6
204.6,2.090e+8,,2.043e+8,4.700e+6
204.7,2.059e+8,,2.019e+8,4.049e+6
204.8,2.451e+8,,2.417e+8,3.392e+6
204.9,3.086e+8,,3.058e+8,2.851e+6
205,3.735e+8,,3.709e+8,2.584e+6
205.1,4.196e+8,,4.169e+8,2.769e+6
205.2,4.355e+8,,4.319e+8,3.606e+6
205.3,4.204e+8,,4.151e+8,5.317e+6
205.4,3.812e+8,,3.731e+8,8.167e+6
205.5,3.283e+8,,3.157e+8,1.253e+7
205.6,2.720e+8,,2.531e+8,1.890e+7
205.7,2.225e+8,,1.947e+8,2.776e+7
205.8,1.894e+8,,1.502e+8,3.920e+7
205.9,1.804e+8,,1.280e+8,5.242e+7
206,1.987e+8,,1.330e+8,6.565e+7
206.1,2.418e+8,,1.651e+8,7.670e+7
206.2,3.020e+8,,2.178e+8,8.426e+7
206.3,3.688e+8,,2.799e+8,8.884e+7
206.4,4.311e+8,,3.386e+8,9.250e+7
206.5,4.797e+8,,3.825e+8,9.719e+7
206.6,5.066e+8,,4.038e+8,1.028e+8
206.7,5.058e+8,,3.990e+8,1.068e+8
206.8,4.744e+8,,3.690e+8,1.053e+8
