Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
200.1,1.299e+8,,1.299e+8,4.303e+3
200.2,1.097e+8,,1.097e+8,5.584e+3
200.3,8.434e+7,,8.433e+7,6.787e+3
200.4,6.197e+7,,6.196e+7,7.730e+3
200.5,4.839e+7,,4.838e+7,8.260e+3
200.6,4.576e+7,,4.576e+7,8.297e+3
200.7,5.321e+7,,5.320e+7,7.857e+3
200.8,6.784e+7,,6.783e+7,7.041e+3
200.9,8.552e+7,,8.551e+7,6.011e+3
201,1.017e+8,,1.017e+8,4.946e+3
201.1,1.128e+8,,1.128e+8,3.990e+3
201.2,1.175e+8,,1.175e+8,3.221e+3
201.3,1.172e+8,,1.172e+8,2.637e+3
201.4,1.156e+8,,1.156e+8,2.194e+3
201.5,1.162e+8,,1.162e+8,1.840e+3
201.6,1.210e+8,,1.210e+8,1.542e+3
201.7,1.292e+8,,1.292e+8,1.289e+3
201.8,1.374e+8,,1.374e+8,1.084e+3
201.9,1.408e+8,,1.408e+8,9.402e+2
202,1.356e+8,,1.356e+8,8.729e+2
202.1,1.205e+8,,1.205e+8,8.923e+2
202.2,9.775e+7,,9.775e+7,9.946e+2
202.3,7.220e+7,,7.220e+7,1.153e+3
202.4,4.895e+7,,4.895e+7,1.318e+3
202.5,3.188e+7,,3.188e+7,1.431e+3
202.6,2.296e+7,,2.296e+7,1.449e+3
202.7,2.253e+7,,2.253e+7,1.367e+3
202.8,2.972e+7,,2.971e+7,1.227e+3
202.9,4.260e+7,,4.260e+7,1.104e+3
203,5.819e+7,,5.818e+7,1.085e+3
203.1,7.289e+7,,7.289e+7,1.235e+3
203.2,8.363e+7,,8.363e+7,1.583e+3
203.3,8.911e+7,,8.910e+7,2.105e+3
203.4,9.036e+7,,9.035e+7,2.729e+3
203.5,9.032e+7,,9.031e+7,3.351e+3
203.6,9.251e+7,,9.251e+7,3.865e+3
203.7,9.946e+7,,9.946e+7,4.200e+3
203.8,1.112e+8,,1.112e+8,4.335e+3
203.9,1.247e+8,,1.247e+8,4.303e+3
204,1.344e+8,,1.344e+8,4.169e+3
204.1,1.347e+8,,1.347e+8,4.000e+3
204.2,1.233e+8,,1.233e+8,3.842e+3
