Wavelength (nm),Sum,Cu I (8.1e-01),Cu II (1.9e-01)
430.04,2.052e-8,2.052e-8,
430.09,5.070e-9,5.070e-9,
448.25,1.451e-9,1.451e-9,
448.3,5.381e-9,5.381e-9,
448.35,1.947e-8,1.947e-8,
448.4,6.874e-8,6.874e-8,
448.45,2.368e-7,2.368e-7,
448.5,7.958e-7,7.958e-7,
448.55,2.610e-6,2.610e-6,
448.6,8.350e-6,8.350e-6,
448.65,2.607e-5,2.607e-5,
448.7,7.941e-5,7.941e-5,
448.75,2.360e-4,2.360e-4,
448.8,6.844e-4,6.844e-4,
448.85,1.937e-3,1.937e-3,
448.9,5.346e-3,5.346e-3,
448.95,1.440e-2,1.440e-2,
449,3.785e-2,3.785e-2,
449.05,9.707e-2,9.707e-2,
449.1,2.429e-1,2.429e-1,
449.15,5.930e-1,5.930e-1,
449.2,1.413e+0,1.413e+0,
449.25,3.283e+0,3.283e+0,
449.3,7.445e+0,7.445e+0,
449.35,1.647e+1,1.647e+1,
449.4,3.557e+1,3.557e+1,
449.45,7.492e+1,7.492e+1,
449.5,1.540e+2,1.540e+2,
449.55,3.088e+2,3.088e+2,
449.6,6.043e+2,6.043e+2,
449.65,1.154e+3,1.154e+3,
449.7,2.149e+3,2.149e+3,
449.75,3.906e+3,3.906e+3,
449.8,6.927e+3,6.927e+3,
449.85,1.199e+4,1.199e+4,
449.9,2.024e+4,2.024e+4,
449.95,3.334e+4,3.334e+4,
450,5.359e+4,5.359e+4,
450.05,8.404e+4,8.404e+4,
450.1,1.286e+5,1.286e+5,
450.15,1.920e+5,1.920e+5,
450.2,2.797e+5,2.797e+5,
450.25,3.975e+5,3.975e+5,
450.3,5.513e+5,5.513e+5,
450.35,7.460e+5,7.460e+5,
450.4,9.849e+5,9.849e+5,
450.45,1.269e+6,1.269e+6,
450.5,1.595e+6,1.595e+6,
450.55,1.956e+6,1.956e+6,
450.6,2.340e+6,2.340e+6,
450.65,2.733e+6,2.733e+6,
450.7,3.113e+6,3.113e+6,
450.75,3.460e+6,3.460e+6,
450.8,3.753e+6,3.753e+6,
450.85,3.971e+6,3.971e+6,
450.9,4.100e+6,4.100e+6,
450.95,4.130e+6,4.130e+6,
451,4.060e+6,4.060e+6,
451.05,3.894e+6,3.894e+6,
451.1,3.644e+6,3.644e+6,
451.15,3.327e+6,3.327e+6,
451.2,2.964e+6,2.964e+6,
451.25,2.576e+6,2.576e+6,
451.3,2.185e+6,2.185e+6,
451.35,1.808e+6,1.808e+6,
451.4,1.460e+6,1.460e+6,
451.45,1.150e+6,1.150e+6,
451.5,8.840e+5,8.840e+5,
451.55,6.631e+5,6.631e+5,
451.6,4.854e+5,4.854e+5,
451.65,3.469e+5,3.469e+5,
451.7,2.422e+5,2.422e+5,
451.75,1.658e+5,1.658e+5,
451.8,1.121e+5,1.121e+5,
451.85,7.657e+4,7.657e+4,
451.9,5.555e+4,5.555e+4,
451.95,4.687e+4,4.687e+4,
452,4.984e+4,4.984e+4,
452.05,6.546e+4,6.546e+4,
452.1,9.658e+4,9.658e+4,
452.15,1.481e+5,1.481e+5,
452.2,2.270e+5,2.270e+5,
452.25,3.426e+5,3.426e+5,
