Wavelength (nm),Sum,Cu I (1.2e-02),Cu II (9.5e-01)
200.11,7.327e-7,,7.327e-7
200.16,1.299e-5,,1.299e-5
200.21,2.035e-4,,2.035e-4
200.26,2.819e-3,,2.819e-3
200.31,3.451e-2,,3.451e-2
200.36,3.734e-1,,3.734e-1
200.41,3.572e+0,,3.572e+0
200.46,3.020e+1,,3.020e+1
200.51,2.257e+2,,2.257e+2
200.56,1.491e+3,,1.491e+3
200.61,8.704e+3,,8.704e+3
200.66,4.492e+4,,4.492e+4
200.72,2.736e+5,,2.736e+5
200.77,1.076e+6,,1.076e+6
200.82,3.745e+6,,3.745e+6
200.87,1.152e+7,,1.152e+7
200.92,3.134e+7,,3.134e+7
200.97,7.546e+7,,7.546e+7
201.02,1.610e+8,,1.610e+8
201.07,3.050e+8,,3.050e+8
201.12,5.150e+8,,5.150e+8
201.17,7.804e+8,,7.804e+8
201.22,1.074e+9,2.748e-8,1.074e+9
201.27,1.366e+9,4.954e-7,1.366e+9
201.32,1.643e+9,7.903e-6,1.643e+9
201.37,1.913e+9,1.116e-4,1.913e+9
201.42,2.178e+9,1.395e-3,2.178e+9
201.47,2.405e+9,1.543e-2,2.405e+9
201.52,2.523e+9,1.511e-1,2.523e+9
201.57,2.453e+9,1.310e+0,2.453e+9
201.62,2.172e+9,1.005e+1,2.172e+9
201.67,1.728e+9,6.825e+1,1.728e+9
201.72,1.227e+9,4.103e+2,1.227e+9
201.77,7.736e+8,2.183e+3,7.736e+8
201.82,4.326e+8,1.028e+4,4.326e+8
201.87,2.143e+8,4.285e+4,2.143e+8
201.92,9.475e+7,1.581e+5,9.459e+7
201.97,4.029e+7,5.163e+5,3.977e+7
202.02,2.718e+7,1.493e+6,2.569e+7
202.07,5.292e+7,3.819e+6,4.910e+7
202.12,1.471e+8,8.650e+6,1.384e+8
202.17,3.864e+8,1.734e+7,3.691e+8
202.22,9.073e+8,3.077e+7,8.765e+8
202.27,1.892e+9,4.832e+7,1.844e+9
202.32,3.502e+9,6.718e+7,3.435e+9
202.37,5.748e+9,8.266e+7,5.665e+9
202.42,8.365e+9,9.003e+7,8.275e+9
202.47,1.079e+10,8.680e+7,1.071e+10
202.52,1.235e+10,7.406e+7,1.227e+10
202.57,1.252e+10,5.594e+7,1.247e+10
202.62,1.128e+10,3.740e+7,1.124e+10
202.67,9.026e+9,2.213e+7,9.004e+9
202.72,6.454e+9,1.159e+7,6.443e+9
202.77,4.183e+9,5.374e+6,4.177e+9
202.82,2.564e+9,2.206e+6,2.562e+9
202.87,1.656e+9,8.011e+5,1.655e+9
202.92,1.317e+9,2.576e+5,1.317e+9
202.97,1.332e+9,7.330e+4,1.332e+9
203.02,1.490e+9,1.846e+4,1.490e+9
203.07,1.642e+9,4.117e+3,1.642e+9
203.12,1.758e+9,8.124e+2,1.758e+9
203.17,1.982e+9,1.419e+2,1.982e+9
203.22,2.706e+9,2.194e+1,2.706e+9
203.27,4.604e+9,3.003e+0,4.604e+9
203.32,8.581e+9,3.638e-1,8.581e+9
203.37,1.554e+10,3.901e-2,1.554e+10
203.42,2.590e+10,3.702e-3,2.590e+10
203.47,3.912e+10,3.110e-4,3.912e+10
203.52,5.334e+10,2.313e-5,5.334e+10
203.57,6.567e+10,1.522e-6,6.567e+10
203.62,7.310e+10,8.867e-8,7.310e+10
203.67,7.363e+10,4.572e-9,7.363e+10
203.72,6.712e+10,,6.712e+10
203.77,5.535e+10,,5.535e+10
203.82,4.124e+10,,4.124e+10
203.87,2.776e+10,,2.776e+10
203.92,1.700e+10,,1.700e+10
203.97,9.871e+9,,9.871e+9
204.02,6.438e+9,,6.438e+9
204.07,6.459e+9,,6.459e+9
204.12,9.744e+9,,9.744e+9
204.17,1.606e+10,,1.606e+10
204.22,2.469e+10,,2.469e+10
204.27,3.403e+10,,3.403e+10
204.32,4.169e+10,,4.169e+10
204.37,4.533e+10,,4.533e+10
204.42,4.373e+10,,4.373e+10
204.47,3.744e+10,,3.744e+10
204.52,2.846e+10,,2.846e+10
204.57,1.921e+10,,1.921e+10
204.62,1.154e+10,,1.154e+10
204.67,6.206e+9,,6.206e+9
204.72,3.021e+9,,3.021e+9
204.77,1.368e+9,,1.368e+9
204.82,6.085e+8,,6.085e+8
204.87,2.876e+8,,2.876e+8
204.92,1.592e+8,,1.592e+8
204.97,1.287e+8,,1.287e+8
205.02,2.042e+8,,2.042e+8
205.07,4.915e+8,,4.915e+8
205.12,1.225e+9,,1.225e+9
205.17,2.799e+9,,2.799e+9
205.22,5.717e+9,,5.717e+9
205.27,1.039e+10,,1.039e+10
205.32,1.680e+10,,1.680e+10
205.37,2.414e+10,,2.414e+10
205.42,3.084e+10,,3.084e+10
205.47,3.501e+10,,3.501e+10
205.52,3.533e+10,,3.533e+10
205.57,3.168e+10,,3.168e+10
205.62,2.524e+10,,2.524e+10
205.67,1.787e+10,,1.787e+10
205.72,1.125e+10,,1.125e+10
205.77,6.290e+9,,6.290e+9
205.82,3.131e+9,,3.131e+9
205.87,1.398e+9,,1.398e+9
205.92,5.851e+8,,5.851e+8
205.97,2.776e+8,,2.776e+8
206.02,2.171e+8,,2.171e+8
206.07,2.674e+8,,2.674e+8
206.12,3.578e+8,,3.578e+8
206.17,4.446e+8,,4.446e+8
206.22,4.972e+8,,4.972e+8
206.27,5.005e+8,,5.005e+8
206.32,4.601e+8,,4.601e+8
206.37,3.990e+8,,3.990e+8
206.42,3.458e+8,,3.458e+8
206.47,3.195e+8,,3.195e+8
206.52,3.211e+8,,3.211e+8
206.57,3.353e+8,,3.353e+8
206.62,3.411e+8,,3.411e+8
206.67,3.244e+8,,3.244e+8
206.72,2.846e+8,,2.846e+8
206.77,2.330e+8,,2.330e+8
206.82,1.842e+8,,1.842e+8
206.87,1.480e+8,,1.480e+8
206.92,1.255e+8,,1.255e+8
206.97,1.110e+8,,1.110e+8
207.02,9.761e+7,,9.761e+7
207.07,8.128e+7,,8.128e+7
207.12,6.208e+7,,6.208e+7
207.17,4.279e+7,,4.279e+7
207.22,2.646e+7,,2.646e+7
207.27,1.483e+7,,1.483e+7
207.32,8.302e+6,,8.302e+6
207.37,7.091e+6,,7.091e+6
207.42,1.316e+7,,1.316e+7
207.47,3.239e+7,,3.239e+7
207.52,7.628e+7,,7.628e+7
207.57,1.616e+8,,1.616e+8
207.62,3.053e+8,,3.053e+8
207.67,5.139e+8,,5.139e+8
207.72,7.705e+8,,7.705e+8
207.77,1.029e+9,,1.029e+9
207.82,1.224e+9,,1.224e+9
207.87,1.297e+9,,1.297e+9
207.92,1.224e+9,,1.224e+9
207.97,1.029e+9,,1.029e+9
208.02,7.710e+8,,7.710e+8
208.07,5.154e+8,,5.154e+8
208.12,3.094e+8,,3.094e+8
208.17,1.716e+8,,1.716e+8
208.22,9.842e+7,,9.842e+7
208.27,7.695e+7,,7.695e+7
208.32,9.576e+7,,9.576e+7
208.37,1.507e+8,,1.507e+8
208.42,2.473e+8,,2.473e+8
208.47,4.020e+8,,4.020e+8
208.52,6.389e+8,,6.389e+8
208.57,9.774e+8,,9.774e+8
208.62,1.411e+9,,1.411e+9
208.67,1.884e+9,,1.884e+9
208.72,2.295e+9,,2.295e+9
208.77,2.526e+9,,2.526e+9
208.82,2.498e+9,,2.498e+9
208.87,2.214e+9,,2.214e+9
208.92,1.756e+9,,1.756e+9
208.97,1.250e+9,,1.250e+9
209.02,8.089e+8,,8.089e+8
209.07,4.977e+8,,4.977e+8
209.12,3.277e+8,,3.277e+8
209.17,2.741e+8,,2.741e+8
209.22,2.953e+8,,2.953e+8
209.27,3.474e+8,,3.474e+8
209.32,3.932e+8,,3.932e+8
209.37,4.100e+8,,4.100e+8
209.42,3.952e+8,,3.952e+8
209.47,3.681e+8,,3.681e+8
209.52,3.635e+8,,3.635e+8
209.57,4.190e+8,,4.190e+8
209.62,5.587e+8,,5.587e+8
209.67,7.772e+8,,7.772e+8
209.72,1.033e+9,,1.033e+9
209.77,1.258e+9,,1.258e+9
209.82,1.380e+9,,1.380e+9
209.87,1.358e+9,,1.358e+9
209.92,1.202e+9,,1.202e+9
209.97,9.756e+8,,9.756e+8
210.02,7.832e+8,,7.832e+8
210.07,7.579e+8,,7.579e+8
210.12,1.063e+9,,1.063e+9
210.17,1.895e+9,,1.895e+9
210.22,3.440e+9,,3.440e+9
210.27,5.781e+9,,5.781e+9
210.32,8.755e+9,,8.755e+9
210.37,1.187e+10,,1.187e+10
