Wavelength (nm),Sum,Cu I (1.2e-02),Cu II (9.5e-01)
210.42,1.437e+10,,1.437e+10
210.47,1.556e+10,,1.556e+10
210.52,1.504e+10,,1.504e+10
210.57,1.299e+10,,1.299e+10
210.62,1.003e+10,,1.003e+10
210.67,6.954e+9,,6.954e+9
210.72,4.413e+9,,4.413e+9
210.77,2.801e+9,,2.801e+9
210.82,2.320e+9,,2.320e+9
210.87,3.150e+9,,3.150e+9
210.92,5.541e+9,,5.541e+9
210.97,9.719e+9,,9.719e+9
211.02,1.561e+10,,1.561e+10
211.07,2.252e+10,,2.252e+10
211.12,2.908e+10,,2.908e+10
211.17,3.360e+10,,3.360e+10
211.22,3.471e+10,,3.471e+10
211.27,3.208e+10,,3.208e+10
211.32,2.655e+10,,2.655e+10
211.37,1.975e+10,,1.975e+10
211.42,1.335e+10,,1.335e+10
211.47,8.463e+9,,8.463e+9
211.52,5.453e+9,,5.453e+9
211.57,4.065e+9,,4.065e+9
211.62,3.732e+9,,3.732e+9
211.67,3.851e+9,,3.851e+9
211.72,3.954e+9,,3.954e+9
211.77,3.808e+9,,3.808e+9
211.82,3.435e+9,,3.435e+9
211.87,3.089e+9,,3.089e+9
211.92,3.208e+9,,3.208e+9
211.97,4.342e+9,,4.342e+9
212.02,7.052e+9,,7.052e+9
212.07,1.171e+10,,1.171e+10
212.12,1.823e+10,,1.823e+10
212.17,2.588e+10,,2.588e+10
212.22,3.334e+10,,3.334e+10
212.27,3.919e+10,,3.919e+10
212.32,4.261e+10,,4.261e+10
212.37,4.375e+10,,4.375e+10
212.42,4.353e+10,,4.353e+10
212.47,4.287e+10,,4.287e+10
212.52,4.201e+10,,4.201e+10
212.57,4.035e+10,,4.035e+10
212.62,3.705e+10,,3.705e+10
212.67,3.174e+10,,3.174e+10
212.72,2.496e+10,,2.496e+10
212.77,1.784e+10,,1.784e+10
212.82,1.154e+10,,1.154e+10
212.87,6.764e+9,,6.764e+9
212.92,3.646e+9,,3.646e+9
212.97,1.900e+9,,1.900e+9
213.02,1.152e+9,,1.152e+9
213.07,1.200e+9,,1.200e+9
213.12,2.220e+9,,2.220e+9
213.17,4.960e+9,,4.960e+9
213.22,1.091e+10,,1.091e+10
213.27,2.233e+10,,2.233e+10
213.32,4.177e+10,,4.177e+10
213.37,7.093e+10,,7.093e+10
213.42,1.089e+11,,1.089e+11
213.47,1.508e+11,,1.508e+11
213.52,1.879e+11,,1.879e+11
213.57,2.105e+11,,2.105e+11
213.62,2.118e+11,,2.118e+11
213.67,1.913e+11,,1.913e+11
213.72,1.550e+11,,1.550e+11
213.77,1.126e+11,,1.126e+11
213.82,7.336e+10,,7.336e+10
213.87,4.285e+10,,4.285e+10
213.92,2.243e+10,,2.243e+10
213.97,1.053e+10,,1.053e+10
214.02,4.428e+9,,4.428e+9
214.07,1.671e+9,,1.671e+9
214.12,5.683e+8,,5.683e+8
214.17,1.816e+8,,1.816e+8
214.22,7.115e+7,,7.115e+7
214.27,6.437e+7,,6.437e+7
214.32,1.109e+8,,1.109e+8
214.37,2.181e+8,,2.181e+8
214.42,4.391e+8,,4.391e+8
214.47,8.943e+8,,8.943e+8
214.52,1.806e+9,,1.806e+9
214.57,3.513e+9,,3.513e+9
214.62,6.408e+9,,6.408e+9
214.67,1.076e+10,,1.076e+10
214.72,1.647e+10,,1.647e+10
214.77,2.279e+10,,2.279e+10
214.82,2.845e+10,,2.845e+10
214.87,3.198e+10,,3.198e+10
214.92,3.236e+10,,3.236e+10
214.97,2.948e+10,,2.948e+10
215.02,2.423e+10,,2.423e+10
215.07,1.803e+10,,1.803e+10
215.12,1.222e+10,,1.222e+10
215.17,7.632e+9,,7.632e+9
215.22,4.457e+9,1.534e-7,4.457e+9
215.27,2.484e+9,2.279e-6,2.484e+9
215.32,1.347e+9,3.043e-5,1.347e+9
215.37,7.176e+8,3.653e-4,7.176e+8
215.42,3.738e+8,3.942e-3,3.738e+8
215.47,1.873e+8,3.823e-2,1.873e+8
215.52,8.860e+7,3.332e-1,8.860e+7
215.57,3.973e+7,2.611e+0,3.973e+7
215.62,1.921e+7,1.839e+1,1.921e+7
215.67,1.646e+7,1.164e+2,1.646e+7
215.72,2.949e+7,6.622e+2,2.949e+7
215.77,6.365e+7,3.386e+3,6.365e+7
215.82,1.295e+8,1.557e+4,1.294e+8
215.87,2.381e+8,6.431e+4,2.380e+8
215.92,3.938e+8,2.388e+5,3.936e+8
215.97,5.856e+8,7.971e+5,5.848e+8
216.02,7.832e+8,2.391e+6,7.808e+8
216.07,9.431e+8,6.448e+6,9.366e+8
216.12,1.025e+9,1.563e+7,1.009e+9
216.17,1.012e+9,3.405e+7,9.776e+8
216.22,9.173e+8,6.667e+7,8.506e+8
216.27,7.823e+8,1.173e+8,6.650e+8
216.32,6.527e+8,1.856e+8,4.671e+8
216.37,5.587e+8,2.639e+8,2.948e+8
216.42,5.045e+8,3.373e+8,1.672e+8
216.47,4.727e+8,3.875e+8,8.517e+7
216.52,4.391e+8,4.001e+8,3.899e+7
216.57,3.873e+8,3.713e+8,1.604e+7
216.62,3.157e+8,3.097e+8,5.927e+6
216.67,2.342e+8,2.322e+8,1.969e+6
216.72,1.571e+8,1.565e+8,5.923e+5
216.77,9.498e+7,9.479e+7,1.831e+5
216.82,5.176e+7,5.161e+7,1.519e+5
216.87,2.572e+7,2.526e+7,4.633e+5
216.92,1.275e+7,1.111e+7,1.637e+6
216.97,9.678e+6,4.392e+6,5.286e+6
217.02,1.693e+7,1.561e+6,1.537e+7
217.07,4.072e+7,4.990e+5,4.022e+7
217.12,9.485e+7,1.457e+5,9.471e+7
217.17,2.007e+8,4.913e+4,2.007e+8
217.22,3.830e+8,6.131e+4,3.829e+8
217.27,6.590e+8,2.070e+5,6.588e+8
217.32,1.026e+9,7.189e+5,1.025e+9
217.37,1.455e+9,2.265e+6,1.453e+9
217.42,1.917e+9,6.426e+6,1.910e+9
217.47,2.436e+9,1.641e+7,2.419e+9
217.52,3.181e+9,3.773e+7,3.143e+9
217.57,4.541e+9,7.812e+7,4.463e+9
217.62,7.115e+9,1.457e+8,6.969e+9
217.67,1.155e+10,2.449e+8,1.131e+10
217.72,1.821e+10,3.717e+8,1.784e+10
217.77,2.675e+10,5.101e+8,2.624e+10
217.82,3.589e+10,6.355e+8,3.525e+10
217.87,4.362e+10,7.234e+8,4.290e+10
217.92,4.786e+10,7.598e+8,4.710e+10
217.97,4.735e+10,7.472e+8,4.660e+10
218.02,4.223e+10,7.009e+8,4.153e+10
218.07,3.398e+10,6.383e+8,3.334e+10
218.12,2.469e+10,5.697e+8,2.412e+10
218.17,1.624e+10,4.967e+8,1.574e+10
218.22,9.705e+9,4.166e+8,9.288e+9
218.27,5.306e+9,3.300e+8,4.976e+9
218.32,2.686e+9,2.428e+8,2.443e+9
218.37,1.291e+9,1.639e+8,1.127e+9
218.42,6.401e+8,1.007e+8,5.394e+8
218.47,4.351e+8,5.604e+7,3.791e+8
218.52,5.797e+8,2.818e+7,5.515e+8
218.57,1.159e+9,1.279e+7,1.146e+9
218.62,2.411e+9,5.229e+6,2.406e+9
218.67,4.679e+9,1.926e+6,4.677e+9
218.72,8.307e+9,6.390e+5,8.306e+9
218.77,1.352e+10,1.909e+5,1.352e+10
218.82,2.034e+10,5.134e+4,2.034e+10
218.87,2.869e+10,1.243e+4,2.869e+10
218.92,3.854e+10,2.710e+3,3.854e+10
218.97,5.007e+10,5.320e+2,5.007e+10
219.02,6.335e+10,9.401e+1,6.335e+10
219.07,7.776e+10,1.496e+1,7.776e+10
219.12,9.142e+10,2.142e+0,9.142e+10
219.17,1.013e+11,2.762e-1,1.013e+11
219.22,1.042e+11,3.207e-2,1.042e+11
219.27,9.845e+10,3.351e-3,9.845e+10
219.32,8.494e+10,3.153e-4,8.494e+10
219.37,6.670e+10,2.671e-5,6.670e+10
219.42,4.770e+10,2.037e-6,4.770e+10
219.47,3.121e+10,1.399e-7,3.121e+10
219.52,1.889e+10,,1.889e+10
219.57,1.079e+10,,1.079e+10
219.62,5.992e+9,,5.992e+9
219.67,3.347e+9,,3.347e+9
219.72,1.929e+9,,1.929e+9
219.77,1.163e+9,,1.163e+9
219.82,7.495e+8,,7.495e+8
219.87,5.449e+8,,5.449e+8
219.92,4.674e+8,,4.674e+8
219.97,4.555e+8,,4.555e+8
220.02,4.595e+8,,4.595e+8
220.07,4.455e+8,,4.455e+8
220.12,3.997e+8,,3.997e+8
220.17,3.266e+8,,3.266e+8
220.22,2.416e+8,,2.416e+8
220.27,1.616e+8,,1.616e+8
220.32,9.828e+7,,9.828e+7
220.37,5.702e+7,,5.702e+7
220.42,4.101e+7,,4.101e+7
220.47,6.099e+7,,6.099e+7
220.52,1.515e+8,,1.515e+8
220.57,3.956e+8,,3.956e+8
220.62,9.546e+8,,9.546e+8
220.67,2.087e+9,,2.087e+9
220.72,4.122e+9,,4.122e+9
220.77,7.354e+9,,7.354e+9
220.82,1.185e+10,,1.185e+10
220.87,1.725e+10,,1.725e+10
220.92,2.267e+10,,2.267e+10
220.97,2.691e+10,,2.691e+10
221.02,2.887e+10,,2.887e+10
221.07,2.799e+10,,2.799e+10
221.12,2.456e+10,,2.456e+10
221.17,1.956e+10,,1.956e+10
221.22,1.423e+10,1.801e-8,1.423e+10
221.27,9.650e+9,2.612e-7,9.650e+9
221.32,6.460e+9,3.426e-6,6.460e+9
221.37,4.915e+9,4.062e-5,4.915e+9
221.42,5.109e+9,4.354e-4,5.109e+9
221.47,7.208e+9,4.219e-3,7.208e+9
221.52,1.151e+10,3.695e-2,1.151e+10
221.57,1.825e+10,2.926e-1,1.825e+10
221.62,2.720e+10,2.094e+0,2.720e+10
221.67,3.730e+10,1.355e+1,3.730e+10
221.72,4.665e+10,7.927e+1,4.665e+10
221.77,5.298e+10,4.191e+2,5.298e+10
221.82,5.449e+10,2.004e+3,5.449e+10
221.87,5.070e+10,8.658e+3,5.070e+10
221.92,4.266e+10,3.382e+4,4.266e+10
221.97,3.244e+10,1.194e+5,3.244e+10
222.02,2.229e+10,3.813e+5,2.229e+10
222.07,1.385e+10,1.100e+6,1.385e+10
222.12,7.790e+9,2.870e+6,7.787e+9
222.17,3.989e+9,6.769e+6,3.982e+9
222.22,1.904e+9,1.443e+7,1.889e+9
222.27,9.239e+8,2.781e+7,8.961e+8
222.32,5.748e+8,4.845e+7,5.264e+8
222.37,5.701e+8,7.630e+7,4.938e+8
222.42,7.878e+8,1.086e+8,6.792e+8
222.47,1.233e+9,1.398e+8,1.093e+9
222.52,2.007e+9,1.627e+8,1.845e+9
222.57,3.281e+9,1.711e+8,3.110e+9
222.62,5.228e+9,1.627e+8,5.065e+9
222.67,7.925e+9,1.398e+8,7.785e+9
222.72,1.122e+10,1.086e+8,1.111e+10
222.77,1.467e+10,7.630e+7,1.460e+10
222.82,1.759e+10,4.845e+7,1.754e+10
222.87,1.926e+10,2.781e+7,1.923e+10
222.92,1.924e+10,1.443e+7,1.922e+10
222.97,1.752e+10,6.769e+6,1.752e+10
223.02,1.458e+10,2.870e+6,1.458e+10
223.07,1.111e+10,1.100e+6,1.111e+10
223.12,7.787e+9,3.813e+5,7.787e+9
223.17,5.049e+9,1.194e+5,5.049e+9
223.22,3.051e+9,3.382e+4,3.051e+9
223.27,1.733e+9,8.658e+3,1.733e+9
223.32,9.314e+8,2.004e+3,9.314e+8
223.37,4.765e+8,4.191e+2,4.765e+8
223.42,2.323e+8,7.929e+1,2.323e+8
223.47,1.077e+8,1.372e+1,1.077e+8
223.52,4.815e+7,3.156e+0,4.815e+7
223.57,2.431e+7,6.443e+0,2.431e+7
223.62,2.659e+7,3.231e+1,2.659e+7
223.67,6.816e+7,1.534e+2,6.816e+7
223.72,2.026e+8,6.600e+2,2.026e+8
223.77,5.621e+8,2.571e+3,5.621e+8
223.82,1.417e+9,9.072e+3,1.417e+9
223.87,3.233e+9,2.898e+4,3.233e+9
223.92,6.681e+9,8.384e+4,6.681e+9
223.97,1.250e+10,2.196e+5,1.250e+10
224.02,2.118e+10,5.208e+5,2.118e+10
224.07,3.250e+10,1.119e+6,3.250e+10
224.12,4.520e+10,2.175e+6,4.520e+10
224.17,5.703e+10,3.831e+6,5.703e+10
224.22,6.549e+10,6.108e+6,6.548e+10
224.27,6.890e+10,8.819e+6,6.890e+10
224.32,6.746e+10,1.153e+7,6.744e+10
224.37,6.338e+10,1.365e+7,6.337e+10
224.42,6.020e+10,1.463e+7,6.018e+10
224.47,6.111e+10,1.420e+7,6.110e+10
224.52,6.749e+10,1.248e+7,6.748e+10
224.57,7.799e+10,9.935e+6,7.798e+10
224.62,8.896e+10,7.159e+6,8.896e+10
224.67,9.595e+10,4.672e+6,9.595e+10
224.72,9.558e+10,2.761e+6,9.558e+10
224.77,8.700e+10,1.477e+6,8.700e+10
224.82,7.201e+10,7.156e+5,7.201e+10
224.87,5.411e+10,3.139e+5,5.410e+10
224.92,3.689e+10,1.247e+5,3.689e+10
224.97,2.282e+10,4.486e+4,2.282e+10
225.02,1.282e+10,1.461e+4,1.282e+10
225.07,6.554e+9,4.309e+3,6.554e+9
225.12,3.059e+9,1.151e+3,3.059e+9
225.17,1.321e+9,2.783e+2,1.321e+9
225.22,5.536e+8,6.093e+1,5.536e+8
225.27,2.643e+8,1.208e+1,2.643e+8
225.32,1.861e+8,2.169e+0,1.861e+8
225.37,1.903e+8,3.526e-1,1.903e+8
225.42,2.168e+8,5.190e-2,2.168e+8
225.47,2.371e+8,6.919e-3,2.371e+8
225.52,2.384e+8,8.351e-4,2.384e+8
225.57,2.180e+8,9.126e-5,2.180e+8
225.62,1.808e+8,9.032e-6,1.808e+8
225.67,1.360e+8,8.093e-7,1.360e+8
225.72,9.297e+7,6.567e-8,9.297e+7
225.77,5.831e+7,4.825e-9,5.831e+7
225.82,3.523e+7,,3.523e+7
225.87,2.480e+7,,2.480e+7
225.92,2.821e+7,,2.821e+7
225.97,4.895e+7,,4.895e+7
226.02,9.343e+7,,9.343e+7
226.07,1.696e+8,,1.696e+8
226.12,2.831e+8,,2.831e+8
226.17,4.315e+8,,4.315e+8
226.22,6.007e+8,,6.007e+8
226.27,7.643e+8,,7.643e+8
226.32,8.898e+8,,8.898e+8
226.37,9.498e+8,,9.498e+8
226.42,9.318e+8,,9.318e+8
226.47,8.423e+8,,8.423e+8
226.52,7.038e+8,,7.038e+8
226.57,5.453e+8,,5.453e+8
226.62,3.929e+8,,3.929e+8
226.67,2.638e+8,,2.638e+8
226.72,1.652e+8,,1.652e+8
226.77,9.650e+7,,9.650e+7
226.82,5.249e+7,,5.249e+7
226.87,2.660e+7,,2.660e+7
226.92,1.291e+7,,1.291e+7
226.97,7.376e+6,,7.376e+6
227.02,9.106e+6,,9.106e+6
227.07,2.242e+7,,2.242e+7
227.12,6.106e+7,,6.106e+7
227.17,1.551e+8,,1.551e+8
227.22,3.591e+8,,3.591e+8
227.27,7.550e+8,,7.550e+8
227.32,1.442e+9,,1.442e+9
227.37,2.500e+9,,2.500e+9
227.42,3.937e+9,,3.937e+9
227.47,5.630e+9,,5.630e+9
227.52,7.315e+9,,7.315e+9
227.57,8.634e+9,,8.634e+9
227.62,9.262e+9,,9.262e+9
227.67,9.031e+9,,9.031e+9
227.72,8.011e+9,,8.011e+9
227.77,6.468e+9,,6.468e+9
227.82,4.760e+9,,4.760e+9
227.87,3.198e+9,,3.198e+9
227.92,1.965e+9,,1.965e+9
227.97,1.108e+9,,1.108e+9
228.02,5.760e+8,,5.760e+8
228.07,2.775e+8,,2.775e+8
228.12,1.254e+8,,1.254e+8
228.17,5.585e+7,,5.585e+7
228.22,2.999e+7,,2.999e+7
228.27,2.869e+7,,2.869e+7
228.32,4.508e+7,,4.508e+7
228.37,7.837e+7,,7.837e+7
228.42,1.289e+8,,1.289e+8
228.47,1.942e+8,,1.942e+8
228.52,2.665e+8,,2.665e+8
228.57,3.326e+8,,3.326e+8
228.62,3.783e+8,,3.783e+8
228.67,3.932e+8,,3.932e+8
228.72,3.765e+8,,3.765e+8
228.77,3.378e+8,,3.378e+8
228.82,2.952e+8,,2.952e+8
228.87,2.701e+8,,2.701e+8
228.92,2.856e+8,,2.856e+8
228.97,3.699e+8,,3.699e+8
229.02,5.657e+8,,5.657e+8
229.07,9.395e+8,,9.395e+8
229.12,1.579e+9,,1.579e+9
229.17,2.566e+9,,2.566e+9
229.22,3.924e+9,,3.924e+9
229.27,5.562e+9,,5.562e+9
229.32,7.242e+9,,7.242e+9
229.37,8.622e+9,,8.622e+9
229.42,9.362e+9,,9.362e+9
229.47,9.258e+9,,9.258e+9
229.52,8.332e+9,,8.332e+9
229.57,6.823e+9,,6.823e+9
229.62,5.081e+9,,5.081e+9
229.67,3.442e+9,,3.442e+9
229.72,2.120e+9,,2.120e+9
229.77,1.188e+9,,1.188e+9
229.82,6.051e+8,,6.051e+8
229.87,2.804e+8,,2.804e+8
229.92,1.181e+8,,1.181e+8
229.97,4.526e+7,,4.526e+7
230.02,1.577e+7,,1.577e+7
230.07,4.997e+6,,4.997e+6
230.12,1.440e+6,,1.440e+6
230.17,3.773e+5,,3.773e+5
230.22,8.991e+4,,8.991e+4
230.27,1.948e+4,,1.948e+4
230.32,3.840e+3,,3.840e+3
230.37,6.881e+2,,6.881e+2
230.42,1.121e+2,,1.121e+2
230.47,1.662e+1,,1.662e+1
230.52,2.240e+0,,2.240e+0
230.57,2.746e-1,,2.746e-1
230.62,3.060e-2,,3.060e-2
230.67,3.102e-3,,3.102e-3
230.72,2.859e-4,,2.859e-4
230.77,2.397e-5,,2.397e-5
230.82,1.827e-6,,1.827e-6
232.23,4.697e-8,,4.697e-8
232.28,5.729e-7,,5.729e-7
232.33,6.375e-6,,6.375e-6
232.38,6.472e-5,,6.472e-5
232.43,5.997e-4,,5.997e-4
232.48,5.069e-3,,5.069e-3
232.53,3.910e-2,,3.910e-2
232.58,2.752e-1,,2.752e-1
232.63,1.768e+0,,1.768e+0
232.68,1.036e+1,,1.036e+1
232.73,5.538e+1,,5.538e+1
232.78,2.702e+2,,2.702e+2
232.83,1.203e+3,,1.203e+3
232.88,4.886e+3,,4.886e+3
232.93,1.811e+4,,1.811e+4
232.98,6.125e+4,,6.125e+4
233.03,1.890e+5,,1.890e+5
233.08,5.322e+5,,5.322e+5
233.13,1.367e+6,,1.367e+6
233.18,3.206e+6,,3.206e+6
233.23,6.857e+6,,6.857e+6
233.28,1.338e+7,,1.338e+7
233.33,2.384e+7,,2.384e+7
233.38,3.874e+7,,3.874e+7
233.43,5.744e+7,,5.744e+7
233.48,7.772e+7,,7.772e+7
233.53,9.595e+7,,9.595e+7
233.58,1.081e+8,,1.081e+8
233.63,1.111e+8,,1.111e+8
233.68,1.042e+8,,1.042e+8
233.73,8.917e+7,,8.917e+7
233.78,6.963e+7,,6.963e+7
233.83,4.961e+7,,4.961e+7
233.88,3.225e+7,,3.225e+7
233.93,1.913e+7,,1.913e+7
233.98,1.036e+7,,1.036e+7
234.03,5.115e+6,,5.115e+6
234.08,2.305e+6,,2.305e+6
234.13,9.479e+5,,9.479e+5
234.18,3.556e+5,,3.556e+5
234.23,1.218e+5,,1.218e+5
234.28,3.804e+4,,3.804e+4
234.33,1.084e+4,,1.084e+4
234.38,2.820e+3,,2.820e+3
234.43,6.692e+2,,6.692e+2
