s,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
334.26,1.733e+4,,1.733e+4
334.31,1.183e+4,,1.183e+4
334.36,7.729e+3,,7.729e+3
334.41,4.826e+3,,4.826e+3
334.46,2.881e+3,,2.881e+3
334.51,1.644e+3,,1.644e+3
334.56,8.974e+2,,8.974e+2
334.61,4.683e+2,,4.683e+2
334.66,2.337e+2,,2.337e+2
334.71,1.115e+2,,1.115e+2
334.76,5.084e+1,,5.084e+1
334.81,2.217e+1,,2.217e+1
334.86,9.246e+0,,9.246e+0
334.91,3.686e+0,,3.686e+0
334.96,1.405e+0,,1.405e+0
335.01,5.122e-1,,5.122e-1
335.06,1.787e-1,,1.787e-1
335.11,6.014e-2,,6.014e-2
335.16,2.130e-2,,2.130e-2
335.21,1.369e-2,,1.369e-2
335.26,2.718e-2,,2.718e-2
335.31,7.905e-2,,7.905e-2
335.36,2.319e-1,,2.319e-1
335.41,6.539e-1,,6.539e-1
335.46,1.765e+0,,1.765e+0
335.51,4.560e+0,,4.560e+0
335.56,1.127e+1,,1.127e+1
335.61,2.665e+1,,2.665e+1
335.66,6.032e+1,,6.032e+1
335.71,1.306e+2,,1.306e+2
335.76,2.706e+2,,2.706e+2
335.81,5.363e+2,,5.363e+2
335.86,1.017e+3,,1.017e+3
335.91,1.847e+3,,1.847e+3
335.96,3.208e+3,,3.208e+3
336.01,5.333e+3,,5.333e+3
336.06,8.486e+3,,8.486e+3
336.11,1.293e+4,,1.293e+4
336.16,1.886e+4,,1.886e+4
336.21,2.635e+4,,2.635e+4
336.26,3.531e+4,,3.531e+4
336.31,4.541e+4,,4.541e+4
336.36,5.612e+4,,5.612e+4
336.41,6.682e+4,,6.682e+4
336.46,7.689e+4,,7.689e+4
336.51,8.590e+4,,8.590e+4
336.56,9.372e+4,,9.372e+4
336.61,1.006e+5,,1.006e+5
336.66,1.070e+5,,1.070e+5
336.71,1.136e+5,,1.136e+5
336.76,1.210e+5,,1.210e+5
336.81,1.294e+5,,1.294e+5
336.86,1.384e+5,,1.384e+5
336.91,1.474e+5,,1.474e+5
336.96,1.553e+5,,1.553e+5
337.01,1.612e+5,,1.612e+5
337.06,1.644e+5,,1.644e+5
337.11,1.646e+5,,1.646e+5
337.16,1.621e+5,,1.621e+5
337.21,1.576e+5,,1.576e+5
337.26,1.520e+5,,1.520e+5
337.31,1.458e+5,,1.458e+5
337.36,1.395e+5,,1.395e+5
337.41,1.330e+5,,1.330e+5
337.46,1.262e+5,,1.262e+5
337.51,1.187e+5,,1.187e+5
337.56,1.105e+5,,1.105e+5
337.61,1.016e+5,,1.016e+5
337.66,9.249e+4,,9.249e+4
337.71,8.396e+4,,8.396e+4
337.76,7.662e+4,,7.662e+4
337.81,7.094e+4,,7.094e+4
337.86,6.702e+4,,6.702e+4
337.91,6.460e+4,,6.460e+4
337.96,6.307e+4,,6.307e+4
338.01,6.167e+4,,6.167e+4
338.06,5.969e+4,,5.969e+4
338.11,5.657e+4,,5.657e+4
338.16,5.211e+4,,5.211e+4
338.21,4.639e+4,,4.639e+4
338.26,3.977e+4,,3.977e+4
338.31,3.276e+4,,3.276e+4
338.36,2.589e+4,,2.589e+4
338.41,1.961e+4,,1.961e+4
338.46,1.423e+4,,1.423e+4
338.51,9.889e+3,,9.889e+3
338.56,6.581e+3,,6.581e+3
338.61,4.192e+3,,4.192e+3
338.66,2.557e+3,,2.557e+3
338.71,1.493e+3,,1.493e+3
338.76,8.341e+2,,8.341e+2
338.81,4.462e+2,,4.462e+2
338.86,2.285e+2,,2.285e+2
338.91,1.120e+2,,1.120e+2
338.96,5.253e+1,,5.253e+1
339.01,2.359e+1,,2.359e+1
339.06,1.014e+1,,1.014e+1
339.11,4.172e+0,,4.172e+0
339.16,1.643e+0,,1.643e+0
339.21,6.194e-1,,6.194e-1
339.26,2.235e-1,,2.235e-1
339.31,7.720e-2,,7.720e-2
339.36,2.552e-2,,2.552e-2
339.41,8.077e-3,,8.077e-3
339.46,2.447e-3,,2.447e-3
339.51,7.094e-4,,7.094e-4
339.56,1.969e-4,,1.969e-4
339.61,5.230e-5,,5.230e-5
339.66,1.330e-5,,1.330e-5
339.71,3.237e-6,,3.237e-6
339.76,7.542e-7,,7.542e-7
339.81,1.682e-7,,1.682e-7
339.86,3.590e-8,,3.590e-8
339.91,7.336e-9,,7.336e-9
339.96,1.435e-9,,1.435e-9
340.01,2.686e-10,,2.686e-10
340.06,4.813e-11,,4.813e-11
340.11,8.256e-12,,8.256e-12
386.08,1.384e-11,,1.384e-11
386.13,6.376e-11,,6.376e-11
386.18,2.843e-10,,2.843e-10
386.23,1.226e-9,,1.226e-9
386.28,5.115e-9,,5.115e-9
386.33,2.064e-8,,2.064e-8
386.38,8.061e-8,,8.061e-8
386.43,3.045e-7,,3.045e-7
386.48,1.113e-6,,1.113e-6
386.53,3.933e-6,,3.933e-6
386.58,1.345e-5,,1.345e-5
386.63,4.450e-5,,4.450e-5
386.68,1.424e-4,,1.424e-4
386.73,4.409e-4,,4.409e-4
386.78,1.321e-3,,1.321e-3
386.83,3.827e-3,,3.827e-3
386.88,1.073e-2,,1.073e-2
386.93,2.909e-2,,2.909e-2
386.98,7.630e-2,,7.630e-2
387.03,1.936e-1,,1.936e-1
387.08,4.754e-1,,4.754e-1
387.13,1.129e+0,,1.129e+0
387.18,2.594e+0,,2.594e+0
387.23,5.766e+0,,5.766e+0
387.28,1.240e+1,,1.240e+1
387.33,2.579e+1,,2.579e+1
387.38,5.190e+1,,5.190e+1
387.43,1.010e+2,,1.010e+2
387.48,1.903e+2,,1.903e+2
387.53,3.467e+2,,3.467e+2
387.58,6.110e+2,,6.110e+2
387.63,1.042e+3,,1.042e+3
387.68,1.718e+3,,1.718e+3
387.73,2.742e+3,,2.742e+3
387.78,4.233e+3,,4.233e+3
387.83,6.321e+3,,6.321e+3
387.88,9.132e+3,,9.132e+3
387.93,1.276e+4,,1.276e+4
387.98,1.726e+4,,1.726e+4
388.03,2.257e+4,,2.257e+4
388.08,2.856e+4,,2.856e+4
388.13,3.496e+4,,3.496e+4
388.18,4.139e+4,,4.139e+4
388.23,4.742e+4,,4.742e+4
388.28,5.255e+4,,5.255e+4
388.33,5.633e+4,,5.633e+4
388.38,5.843e+4,,5.843e+4
388.43,5.862e+4,,5.862e+4
388.48,5.690e+4,,5.690e+4
388.53,5.343e+4,,5.343e+4
388.58,4.853e+4,,4.853e+4
388.63,4.265e+4,,4.265e+4
388.68,3.625e+4,,3.625e+4
388.73,2.981e+4,,2.981e+4
388.78,2.372e+4,,2.372e+4
388.83,1.826e+4,,1.826e+4
388.88,1.359e+4,,1.359e+4
388.93,9.791e+3,,9.791e+3
388.98,6.823e+3,,6.823e+3
389.03,4.600e+3,,4.600e+3
389.08,3.002e+3,,3.002e+3
389.13,1.899e+3,,1.899e+3
389.18,1.170e+3,,1.170e+3
389.23,7.147e+2,,7.147e+2
389.28,4.558e+2,,4.558e+2
389.33,3.445e+2,,3.445e+2
389.38,3.588e+2,,3.588e+2
389.43,5.040e+2,,5.040e+2
389.48,8.140e+2,,8.140e+2
389.53,1.353e+3,,1.353e+3
389.58,2.219e+3,,2.219e+3
389.63,3.541e+3,,3.541e+3
389.68,5.475e+3,,5.475e+3
389.73,8.196e+3,,8.196e+3
389.78,1.188e+4,,1.188e+4
389.83,1.665e+4,,1.665e+4
389.88,2.260e+4,,2.260e+4
389.93,2.967e+4,,2.967e+4
389.98,3.770e+4,,3.770e+4
390.03,4.636e+4,,4.636e+4
390.08,5.517e+4,,5.517e+4
390.13,6.353e+4,,6.353e+4
390.18,7.080e+4,,7.080e+4
390.23,7.635e+4,,7.635e+4
390.28,7.968e+4,,7.968e+4
390.33,8.047e+4,,8.047e+4
390.38,7.864e+4,,7.864e+4
390.43,7.437e+4,,7.437e+4
390.48,6.807e+4,,6.807e+4
390.53,6.028e+4,,6.028e+4
390.58,5.167e+4,,5.167e+4
390.63,4.285e+4,,4.285e+4
390.68,3.439e+4,,3.439e+4
390.73,2.671e+4,,2.671e+4
390.78,2.008e+4,,2.008e+4
390.83,1.461e+4,,1.461e+4
390.88,1.028e+4,,1.028e+4
390.93,7.011e+3,,7.011e+3
390.98,4.636e+3,,4.636e+3
391.03,2.985e+3,,2.985e+3
391.08,1.898e+3,,1.898e+3
391.13,1.236e+3,,1.236e+3
391.18,9.013e+2,,9.013e+2
391.23,8.318e+2,,8.318e+2
391.28,1.007e+3,,1.007e+3
391.33,1.444e+3,,1.444e+3
391.38,2.191e+3,,2.191e+3
391.43,3.323e+3,,3.323e+3
391.48,4.933e+3,,4.933e+3
391.53,7.113e+3,,7.113e+3
391.58,9.938e+3,,9.938e+3
391.63,1.345e+4,,1.345e+4
391.68,1.761e+4,,1.761e+4
391.73,2.233e+4,,2.233e+4
391.78,2.741e+4,,2.741e+4
391.83,3.257e+4,,3.257e+4
391.88,3.746e+4,,3.746e+4
391.93,4.170e+4,,4.170e+4
391.98,4.494e+4,,4.494e+4
392.03,4.689e+4,,4.689e+4
392.08,4.735e+4,,4.735e+4
392.13,4.628e+4,,4.628e+4
392.18,4.379e+4,,4.379e+4
392.23,4.011e+4,,4.011e+4
392.28,3.556e+4,,3.556e+4
392.33,3.052e+4,,3.052e+4
392.38,2.535e+4,,2.535e+4
392.43,2.039e+4,,2.039e+4
392.48,1.587e+4,,1.587e+4
392.53,1.196e+4,,1.196e+4
392.58,8.724e+3,,8.724e+3
392.63,6.159e+3,,6.159e+3
392.68,4.210e+3,,4.210e+3
392.73,2.785e+3,,2.785e+3
392.78,1.784e+3,,1.784e+3
392.83,1.106e+3,,1.106e+3
392.88,6.635e+2,,6.635e+2
392.93,3.854e+2,,3.854e+2
392.98,2.167e+2,,2.167e+2
393.03,1.180e+2,,1.180e+2
393.08,6.215e+1,,6.215e+1
393.13,3.170e+1,,3.170e+1
393.18,1.565e+1,,1.565e+1
393.23,7.479e+0,,7.479e+0
393.28,3.460e+0,,3.460e+0
393.33,1.549e+0,,1.549e+0
393.38,6.715e-1,,6.715e-1
393.43,2.817e-1,,2.817e-1
393.48,1.144e-1,,1.144e-1
393.53,4.499e-2,,4.499e-2
393.58,1.712e-2,,1.712e-2
393.63,6.308e-3,,6.308e-3
393.68,2.249e-3,,2.249e-3
393.73,7.765e-4,,7.765e-4
393.78,2.595e-4,,2.595e-4
393.83,8.392e-5,,8.392e-5
393.88,2.628e-5,,2.628e-5
393.93,7.963e-6,,7.963e-6
393.98,2.336e-6,,2.336e-6
394.03,6.635e-7,,6.635e-7
394.08,1.824e-7,,1.824e-7
394.13,4.854e-8,,4.854e-8
394.18,1.250e-8,,1.250e-8
394.23,3.117e-9,,3.117e-9
394.28,7.524e-10,,7.524e-10
394.33,1.758e-10,,1.758e-10
394.38,3.976e-11,,3.976e-11
394.43,8.703e-12,,8.703e-12
399.83,6.339e-9,6.339e-9,
399.88,2.802e-8,2.802e-8,
399.93,1.201e-7,1.201e-7,
399.98,4.991e-7,4.991e-7,
400.03,2.011e-6,2.011e-6,
400.08,7.856e-6,7.856e-6,
400.13,2.976e-5,2.976e-5,
400.18,1.093e-4,1.093e-4,
400.23,3.891e-4,3.891e-4,
400.28,1.343e-3,1.343e-3,
400.33,4.497e-3,4.497e-3,
400.38,1.459e-2,1.459e-2,
400.43,4.592e-2,4.592e-2,
400.48,1.401e-1,1.401e-1,
400.53,4.145e-1,4.145e-1,
400.58,1.189e+0,1.189e+0,
400.63,3.306e+0,3.306e+0,
400.68,8.914e+0,8.914e+0,
400.73,2.330e+1,2.330e+1,
400.78,5.906e+1,5.906e+1,
400.83,1.452e+2,1.452e+2,
400.88,3.459e+2,3.459e+2,
400.93,7.991e+2,7.991e+2,
400.98,1.790e+3,1.790e+3,
401.03,3.887e+3,3.887e+3,
401.08,8.186e+3,8.186e+3,
401.13,1.671e+4,1.671e+4,
401.18,3.309e+4,3.309e+4,
401.23,6.350e+4,6.350e+4,
401.28,1.182e+5,1.182e+5,
401.33,2.132e+5,2.132e+5,
401.38,3.730e+5,3.730e+5,
401.43,6.327e+5,6.327e+5,
401.48,1.040e+6,1.040e+6,
401.53,1.659e+6,1.659e+6,
401.58,2.565e+6,2.565e+6,
401.63,3.845e+6,3.845e+6,
401.68,5.588e+6,5.588e+6,
401.73,7.874e+6,7.874e+6,
401.78,1.076e+7,1.076e+7,
401.83,1.425e+7,1.425e+7,
401.88,1.830e+7,1.830e+7,
401.93,2.280e+7,2.280e+7,
401.98,2.752e+7,2.752e+7,
402.03,3.222e+7,3.222e+7,
402.08,3.657e+7,3.657e+7,
402.13,4.025e+7,4.025e+7,
402.18,4.295e+7,4.295e+7,
402.23,4.443e+7,4.443e+7,
402.28,4.457e+7,4.457e+7,
402.33,4.335e+7,4.335e+7,
402.38,4.088e+7,4.088e+7,
402.43,3.737e+7,3.737e+7,
402.48,3.313e+7,3.313e+7,
402.53,2.847e+7,2.847e+7,
402.58,2.373e+7,2.373e+7,
402.63,1.917e+7,1.917e+7,
402.68,1.502e+7,1.502e+7,
402.73,1.141e+7,1.141e+7,
402.78,8.402e+6,8.402e+6,
402.83,6.000e+6,6.000e+6,
402.88,4.154e+6,4.154e+6,
402.93,2.788e+6,2.788e+6,
402.98,1.815e+6,1.815e+6,
403.03,1.145e+6,1.145e+6,
403.08,7.006e+5,7.006e+5,
403.13,4.156e+5,4.156e+5,
403.18,2.390e+5,2.390e+5,
403.23,1.333e+5,1.333e+5,
403.28,7.208e+4,7.208e+4,
403.33,3.779e+4,3.779e+4,
403.38,1.921e+4,1.921e+4,
403.43,9.466e+3,9.466e+3,
403.48,4.523e+3,4.523e+3,
403.53,2.095e+3,2.095e+3,
403.58,9.413e+2,9.413e+2,
403.63,4.099e+2,4.099e+2,
403.68,1.731e+2,1.731e+2,
403.73,7.088e+1,7.088e+1,
403.78,2.814e+1,2.814e+1,
403.83,1.083e+1,1.083e+1,
403.88,4.041e+0,4.041e+0,
403.93,1.462e+0,1.462e+0,
403.98,5.130e-1,5.130e-1,
404.03,1.745e-1,1.745e-1,
404.08,5.757e-2,5.757e-2,
404.13,1.848e-2,1.848e-2,
404.18,6.005e-3,6.005e-3,
404.23,2.756e-3,2.756e-3,
404.28,4.009e-3,4.009e-3,
404.33,1.161e-2,1.161e-2,
404.38,3.642e-2,3.642e-2,
404.43,1.119e-1,1.119e-1,
404.48,3.341e-1,3.341e-1,
404.53,9.676e-1,9.676e-1,
404.58,2.719e+0,2.719e+0,
404.63,7.410e+0,7.410e+0,
404.68,1.959e+1,1.959e+1,
404.73,5.027e+1,5.027e+1,
404.78,1.251e+2,1.251e+2,
404.83,3.021e+2,3.021e+2,
404.88,7.077e+2,7.077e+2,
404.93,1.608e+3,1.608e+3,
404.98,3.546e+3,3.546e+3,
405.03,7.586e+3,7.586e+3,
405.08,1.574e+4,1.574e+4,
405.13,3.170e+4,3.170e+4,
405.18,6.191e+4,6.191e+4,
405.23,1.173e+5,1.173e+5,
405.28,2.157e+5,2.157e+5,
405.33,3.847e+5,3.847e+5,
405.38,6.656e+5,6.656e+5,
405.43,1.117e+6,1.117e+6,
405.48,1.820e+6,1.820e+6,
405.53,2.875e+6,2.875e+6,
405.58,4.407e+6,4.407e+6,
405.63,6.554e+6,6.554e+6,
405.68,9.456e+6,9.456e+6,
405.73,1.324e+7,1.324e+7,
405.78,1.797e+7,1.797e+7,
405.83,2.368e+7,2.368e+7,
405.88,3.026e+7,3.026e+7,
405.93,3.753e+7,3.753e+7,
405.98,4.514e+7,4.514e+7,
406.03,5.269e+7,5.269e+7,
406.08,5.965e+7,5.965e+7,
406.13,6.553e+7,6.553e+7,
406.18,6.983e+7,6.983e+7,
406.23,7.220e+7,7.220e+7,
406.28,7.242e+7,7.242e+7,
406.33,7.047e+7,7.047e+7,
406.38,6.653e+7,6.653e+7,
406.43,6.093e+7,6.093e+7,
406.48,5.414e+7,5.414e+7,
406.53,4.667e+7,4.667e+7,
406.58,3.903e+7,3.903e+7,
406.63,3.167e+7,3.167e+7,
406.68,2.493e+7,2.493e+7,
406.73,1.904e+7,1.904e+7,
406.78,1.411e+7,1.411e+7,
406.83,1.014e+7,1.014e+7,
406.88,7.070e+6,7.070e+6,
406.93,4.783e+6,4.783e+6,
406.98,3.139e+6,3.139e+6,
407.03,1.999e+6,1.999e+6,
407.08,1.235e+6,1.235e+6,
407.13,7.401e+5,7.401e+5,
407.18,4.303e+5,4.303e+5,
407.23,2.427e+5,2.427e+5,
407.28,1.328e+5,1.328e+5,
407.33,7.052e+4,7.052e+4,
407.38,3.632e+4,3.632e+4,
407.43,1.815e+4,1.815e+4,
407.48,8.800e+3,8.800e+3,
407.53,4.139e+3,4.139e+3,
407.58,1.889e+3,1.889e+3,
407.63,8.360e+2,8.360e+2,
407.68,3.591e+2,3.591e+2,
407.73,1.496e+2,1.496e+2,
407.78,6.047e+1,6.047e+1,
407.83,2.372e+1,2.372e+1,
407.88,9.023e+0,9.023e+0,
407.93,3.330e+0,3.330e+0,
407.98,1.193e+0,1.193e+0,
408.03,4.143e-1,4.143e-1,
408.08,1.396e-1,1.396e-1,
408.13,4.566e-2,4.566e-2,
408.18,1.448e-2,1.448e-2,
408.23,4.458e-3,4.458e-3,
408.28,1.331e-3,1.331e-3,
408.33,3.856e-4,3.856e-4,
408.38,1.084e-4,1.084e-4,
408.43,2.954e-5,2.954e-5,
408.48,7.814e-6,7.814e-6,
408.53,2.005e-6,2.005e-6,
408.58,4.992e-7,4.992e-7,
408.63,1.206e-7,1.206e-7,
408.68,2.825e-8,2.825e-8,
408.73,6.422e-9,6.422e-9,
422.34,1.144e-9,1.144e-9,
422.39,4.659e-9,4.659e-9,
422.44,1.845e-8,1.845e-8,
422.49,7.109e-8,7.109e-8,
422.54,2.664e-7,2.664e-7,
422.59,9.710e-7,9.710e-7,
422.64,3.443e-6,3.443e-6,
422.69,1.187e-5,1.187e-5,
422.74,3.983e-5,3.983e-5,
422.79,1.299e-4,1.299e-4,
422.84,4.124e-4,4.124e-4,
422.89,1.273e-3,1.273e-3,
422.94,3.823e-3,3.823e-3,
422.99,1.116e-2,1.116e-2,
423.04,3.172e-2,3.172e-2,
423.09,8.765e-2,8.765e-2,
423.14,2.356e-1,2.356e-1,
423.19,6.159e-1,6.159e-1,
423.24,1.566e+0,1.566e+0,
423.29,3.874e+0,3.874e+0,
423.34,9.320e+0,9.320e+0,
423.39,2.181e+1,2.181e+1,
423.44,4.965e+1,4.965e+1,
423.49,1.099e+2,1.099e+2,
423.54,2.368e+2,2.368e+2,
423.59,4.960e+2,4.960e+2,
423.64,1.011e+3,1.011e+3,
423.69,2.003e+3,2.003e+3,
423.74,3.861e+3,3.861e+3,
423.79,7.240e+3,7.240e+3,
423.84,1.321e+4,1.321e+4,
423.89,2.343e+4,2.343e+4,
423.94,4.043e+4,4.043e+4,
423.99,6.786e+4,6.786e+4,
424.04,1.108e+5,1.108e+5,
424.09,1.759e+5,1.759e+5,
424.14,2.718e+5,2.718e+5,
424.19,4.083e+5,4.083e+5,
424.24,5.967e+5,5.967e+5,
424.29,8.483e+5,8.483e+5,
424.34,1.173e+6,1.173e+6,
424.39,1.577e+6,1.577e+6,
424.44,2.064e+6,2.064e+6,
424.49,2.626e+6,2.626e+6,
424.54,3.250e+6,3.250e+6,
424.59,3.913e+6,3.913e+6,
424.64,4.582e+6,4.582e+6,
424.69,5.219e+6,5.219e+6,
424.74,5.782e+6,5.782e+6,
424.79,6.231e+6,6.231e+6,
424.84,6.531e+6,6.531e+6,
424.89,6.659e+6,6.659e+6,
424.94,6.604e+6,6.604e+6,
424.99,6.370e+6,6.370e+6,
425.04,5.977e+6,5.977e+6,
425.09,5.455e+6,5.455e+6,
425.14,4.843e+6,4.843e+6,
425.19,4.182e+6,4.182e+6,
425.24,3.512e+6,3.512e+6,
425.29,2.869e+6,2.869e+6,
425.34,2.280e+6,2.280e+6,
425.39,1.762e+6,1.762e+6,
425.44,1.325e+6,1.325e+6,
425.49,9.689e+5,9.689e+5,
425.54,6.892e+5,6.892e+5,
425.59,4.768e+5,4.768e+5,
425.64,3.209e+5,3.209e+5,
425.69,2.101e+5,2.101e+5,
425.74,1.337e+5,1.337e+5,
425.79,8.284e+4,8.284e+4,
425.84,4.991e+4,4.991e+4,
425.89,2.927e+4,2.927e+4,
425.94,1.675e+4,1.675e+4,
425.99,9.433e+3,9.433e+3,
426.04,5.423e+3,5.423e+3,
426.09,3.586e+3,3.586e+3,
426.14,3.420e+3,3.420e+3,
426.19,5.019e+3,5.019e+3,
426.24,9.169e+3,9.169e+3,
426.29,1.764e+4,1.764e+4,
426.34,3.370e+4,3.370e+4,
426.39,6.296e+4,6.296e+4,
426.44,1.146e+5,1.146e+5,
426.49,2.029e+5,2.029e+5,
426.54,3.498e+5,3.498e+5,
426.59,5.866e+5,5.866e+5,
426.64,9.572e+5,9.572e+5,
426.69,1.520e+6,1.520e+6,
426.74,2.348e+6,2.348e+6,
426.79,3.530e+6,3.530e+6,
426.84,5.163e+6,5.163e+6,
426.89,7.348e+6,7.348e+6,
426.94,1.018e+7,1.018e+7,
426.99,1.371e+7,1.371e+7,
427.04,1.797e+7,1.797e+7,
427.09,2.293e+7,2.293e+7,
427.14,2.846e+7,2.846e+7,
427.19,3.438e+7,3.438e+7,
427.24,4.040e+7,4.040e+7,
427.29,4.619e+7,4.619e+7,
427.34,5.139e+7,5.139e+7,
427.39,5.564e+7,5.564e+7,
427.44,5.860e+7,5.860e+7,
427.49,6.007e+7,6.007e+7,
427.54,5.990e+7,5.990e+7,
427.59,5.813e+7,5.813e+7,
427.64,5.488e+7,5.488e+7,
427.69,5.042e+7,5.042e+7,
427.74,4.507e+7,4.507e+7,
427.79,3.920e+7,3.920e+7,
427.84,3.317e+7,3.317e+7,
427.89,2.732e+7,2.732e+7,
427.94,2.189e+7,2.189e+7,
427.99,1.706e+7,1.706e+7,
428.04,1.294e+7,1.294e+7,
428.09,9.555e+6,9.555e+6,
428.14,6.862e+6,6.862e+6,
428.19,4.795e+6,4.795e+6,
428.24,3.260e+6,3.260e+6,
428.29,2.157e+6,2.157e+6,
428.34,1.389e+6,1.389e+6,
428.39,8.698e+5,8.698e+5,
428.44,5.301e+5,5.301e+5,
428.49,3.144e+5,3.144e+5,
428.54,1.814e+5,1.814e+5,
428.59,1.018e+5,1.018e+5,
428.64,5.564e+4,5.564e+4,
428.69,2.957e+4,2.957e+4,
428.74,1.530e+4,1.530e+4,
428.79,7.697e+3,7.697e+3,
428.84,3.769e+3,3.769e+3,
428.89,1.796e+3,1.796e+3,
428.94,8.325e+2,8.325e+2,
428.99,3.755e+2,3.755e+2,
429.04,1.648e+2,1.648e+2,
429.09,7.039e+1,7.039e+1,
429.14,2.925e+1,2.925e+1,
429.19,1.183e+1,1.183e+1,
429.24,4.653e+0,4.653e+0,
429.29,1.781e+0,1.781e+0,
429.34,6.634e-1,6.634e-1,
429.39,2.404e-1,2.404e-1,
429.44,8.479e-2,8.479e-2,
429.49,2.909e-2,2.909e-2,
429.54,9.713e-3,9.713e-3,
429.59,3.155e-3,3.155e-3,
429.64,9.973e-4,9.973e-4,
429.69,3.067e-4,3.067e-4,
429.74,9.179e-5,9.179e-5,
429.79,2.673e-5,2.673e-5,
429.84,7.572e-6,7.572e-6,
429.89,2.087e-6,2.087e-6,
429.94,5.599e-7,5.599e-7,
429.99,1.461e-7,1.461e-7,
430.04,3.711e-8,3.711e-8,
430.09,9.170e-9,9.170e-9,
448.25,2.929e-9,2.929e-9,
448.3,1.086e-8,1.086e-8,
448.35,3.931e-8,3.931e-8,
448.4,1.388e-7,1.388e-7,
448.45,4.780e-7,4.780e-7,
448.5,1.607e-6,1.607e-6,
448.55,5.268e-6,5.268e-6,
448.6,1.686e-5,1.686e-5,
448.65,5.263e-5,5.263e-5,
448.7,1.603e-4,1.603e-4,
448.75,4.764e-4,4.764e-4,
448.8,1.382e-3,1.382e-3,
448.85,3.909e-3,3.909e-3,
448.9,1.079e-2,1.079e-2,
448.95,2.907e-2,2.907e-2,
449,7.641e-2,7.641e-2,
449.05,1.960e-1,1.960e-1,
449.1,4.903e-1,4.903e-1,
449.15,1.197e+0,1.197e+0,
449.2,2.852e+0,2.852e+0,
449.25,6.628e+0,6.628e+0,
449.3,1.503e+1,1.503e+1,
449.35,3.326e+1,3.326e+1,
449.4,7.180e+1,7.180e+1,
449.45,1.513e+2,1.513e+2,
449.5,3.109e+2,3.109e+2,
449.55,6.235e+2,6.235e+2,
449.6,1.220e+3,1.220e+3,
449.65,2.329e+3,2.329e+3,
449.7,4.339e+3,4.339e+3,
449.75,7.886e+3,7.886e+3,
449.8,1.399e+4,1.399e+4,
449.85,2.420e+4,2.420e+4,
449.9,4.086e+4,4.086e+4,
449.95,6.730e+4,6.730e+4,
450,1.082e+5,1.082e+5,
450.05,1.697e+5,1.697e+5,
450.1,2.596e+5,2.596e+5,
450.15,3.876e+5,3.876e+5,
450.2,5.646e+5,5.646e+5,
450.25,8.025e+5,8.025e+5,
450.3,1.113e+6,1.113e+6,
450.35,1.506e+6,1.506e+6,
450.4,1.988e+6,1.988e+6,
450.45,2.561e+6,2.561e+6,
450.5,3.220e+6,3.220e+6,
450.55,3.949e+6,3.949e+6,
450.6,4.725e+6,4.725e+6,
450.65,5.517e+6,5.517e+6,
450.7,6.284e+6,6.284e+6,
450.75,6.985e+6,6.985e+6,
450.8,7.576e+6,7.576e+6,
450.85,8.016e+6,8.016e+6,
450.9,8.277e+6,8.277e+6,
450.95,8.338e+6,8.338e+6,
451,8.196e+6,8.196e+6,
451.05,7.860e+6,7.860e+6,
451.1,7.355e+6,7.355e+6,
451.15,6.716e+6,6.716e+6,
451.2,5.983e+6,5.983e+6,
451.25,5.200e+6,5.200e+6,
451.3,4.411e+6,4.411e+6,
451.35,3.650e+6,3.650e+6,
451.4,2.947e+6,2.947e+6,
451.45,2.322e+6,2.322e+6,
451.5,1.785e+6,1.785e+6,
451.55,1.338e+6,1.338e+6,
451.6,9.796e+5,9.796e+5,
451.65,6.998e+5,6.998e+5,
451.7,4.882e+5,4.882e+5,
451.75,3.331e+5,3.331e+5,
451.8,2.233e+5,2.233e+5,
451.85,1.488e+5,1.488e+5,
451.9,1.018e+5,1.018e+5,
451.95,7.650e+4,7.650e+4,
452,6.957e+4,6.957e+4,
452.05,8.024e+4,8.024e+4,
452.1,1.103e+5,1.103e+5,
452.15,1.641e+5,1.641e+5,
452.2,2.487e+5,2.487e+5,
452.25,3.738e+5,3.738e+5,
452.3,5.516e+5,5.516e+5,
452.35,7.959e+5,7.959e+5,
452.4,1.122e+6,1.122e+6,
452.45,1.543e+6,1.543e+6,
452.5,2.072e+6,2.072e+6,
452.55,2.716e+6,2.716e+6,
452.6,3.473e+6,3.473e+6,
452.65,4.336e+6,4.336e+6,
452.7,5.284e+6,5.284e+6,
452.75,6.285e+6,6.285e+6,
452.8,7.299e+6,7.299e+6,
452.85,8.275e+6,8.275e+6,
452.9,9.163e+6,9.163e+6,
452.95,9.914e+6,9.914e+6,
453,1.049e+7,1.049e+7,
453.05,1.085e+7,1.085e+7,
453.1,1.101e+7,1.101e+7,
453.15,1.096e+7,1.096e+7,
453.2,1.074e+7,1.074e+7,
453.25,1.041e+7,1.041e+7,
453.3,1.003e+7,1.003e+7,
453.35,9.672e+6,9.672e+6,
453.4,9.405e+6,9.405e+6,
453.45,9.290e+6,9.290e+6,
453.5,9.367e+6,9.367e+6,
453.55,9.656e+6,9.656e+6,
453.6,1.015e+7,1.015e+7,
453.65,1.081e+7,1.081e+7,
453.7,1.159e+7,1.159e+7,
453.75,1.240e+7,1.240e+7,
453.8,1.317e+7,1.317e+7,
453.85,1.381e+7,1.381e+7,
453.9,1.424e+7,1.424e+7,
