s,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
271.54,1.637e+7,,1.637e+7
271.59,1.469e+7,,1.469e+7
271.64,1.379e+7,,1.379e+7
271.69,1.372e+7,,1.372e+7
271.74,1.427e+7,,1.427e+7
271.79,1.503e+7,,1.503e+7
271.84,1.554e+7,,1.554e+7
271.89,1.542e+7,,1.542e+7
271.94,1.451e+7,,1.451e+7
271.99,1.284e+7,,1.284e+7
272.04,1.067e+7,,1.067e+7
272.09,8.290e+6,,8.290e+6
272.14,6.028e+6,,6.028e+6
272.19,4.098e+6,,4.098e+6
272.24,2.604e+6,,2.604e+6
272.29,1.547e+6,,1.547e+6
272.34,8.586e+5,,8.586e+5
272.39,4.455e+5,,4.455e+5
272.44,2.160e+5,,2.160e+5
272.49,9.790e+4,,9.790e+4
272.54,4.147e+4,,4.147e+4
272.59,1.641e+4,,1.641e+4
272.64,6.073e+3,,6.073e+3
272.69,2.100e+3,,2.100e+3
272.74,6.785e+2,,6.785e+2
272.79,2.049e+2,,2.049e+2
272.84,5.784e+1,,5.784e+1
272.89,1.526e+1,,1.526e+1
272.94,3.762e+0,,3.762e+0
272.99,8.668e-1,,8.668e-1
273.04,1.867e-1,,1.867e-1
273.09,3.757e-2,,3.757e-2
273.14,7.067e-3,,7.067e-3
273.19,1.242e-3,,1.242e-3
273.24,2.041e-4,,2.041e-4
273.29,3.134e-5,,3.134e-5
273.34,4.498e-6,,4.498e-6
273.39,6.033e-7,,6.033e-7
273.44,7.562e-8,,7.562e-8
273.49,8.859e-9,,8.859e-9
274.99,3.567e-8,3.567e-8,
275.04,2.982e-7,2.982e-7,
275.09,2.335e-6,2.335e-6,
275.14,1.713e-5,1.713e-5,
275.19,1.177e-4,1.177e-4,
275.24,7.575e-4,7.575e-4,
275.29,4.567e-3,4.567e-3,2.386e-9
275.34,2.580e-2,2.580e-2,2.064e-8
275.39,1.365e-1,1.365e-1,1.672e-7
275.44,6.766e-1,6.766e-1,1.270e-6
275.49,3.141e+0,3.141e+0,9.031e-6
275.54,1.366e+1,1.366e+1,6.019e-5
275.59,5.567e+1,5.567e+1,3.758e-4
275.64,2.125e+2,2.125e+2,2.198e-3
275.69,7.596e+2,7.596e+2,1.205e-2
275.74,2.544e+3,2.544e+3,6.186e-2
275.79,7.981e+3,7.981e+3,2.976e-1
275.84,2.346e+4,2.345e+4,1.341e+0
275.89,6.458e+4,6.457e+4,5.664e+0
275.94,1.665e+5,1.665e+5,2.241e+1
275.99,4.023e+5,4.023e+5,8.305e+1
276.04,9.106e+5,9.103e+5,2.884e+2
276.09,1.931e+6,1.930e+6,9.384e+2
276.14,3.835e+6,3.832e+6,2.860e+3
276.19,7.136e+6,7.128e+6,8.169e+3
276.24,1.244e+7,1.242e+7,2.186e+4
276.29,2.033e+7,2.028e+7,5.480e+4
276.34,3.113e+7,3.100e+7,1.287e+5
276.39,4.469e+7,4.441e+7,2.832e+5
276.44,6.017e+7,5.959e+7,5.839e+5
276.49,7.603e+7,7.490e+7,1.128e+6
276.54,9.023e+7,8.819e+7,2.041e+6
276.59,1.007e+8,9.727e+7,3.460e+6
276.64,1.060e+8,1.005e+8,5.497e+6
276.69,1.054e+8,9.727e+7,8.180e+6
276.74,9.959e+7,8.819e+7,1.141e+7
276.79,8.980e+7,7.490e+7,1.490e+7
276.84,7.782e+7,5.959e+7,1.824e+7
276.89,6.532e+7,4.441e+7,2.091e+7
276.94,5.347e+7,3.100e+7,2.247e+7
276.99,4.289e+7,2.028e+7,2.261e+7
277.04,3.375e+7,1.242e+7,2.132e+7
277.09,2.597e+7,7.128e+6,1.884e+7
277.14,1.943e+7,3.832e+6,1.560e+7
277.19,1.402e+7,1.930e+6,1.210e+7
277.24,9.699e+6,9.103e+5,8.788e+6
277.29,6.385e+6,4.023e+5,5.983e+6
277.34,3.982e+6,1.665e+5,3.816e+6
277.39,2.345e+6,6.457e+4,2.280e+6
277.44,1.300e+6,2.345e+4,1.276e+6
277.49,6.775e+5,7.981e+3,6.695e+5
277.54,3.316e+5,2.544e+3,3.290e+5
277.59,1.522e+5,7.596e+2,1.515e+5
277.64,6.555e+4,2.125e+2,6.534e+4
277.69,2.646e+4,5.567e+1,2.641e+4
277.74,1.001e+4,1.366e+1,9.999e+3
277.79,3.550e+3,3.141e+0,3.547e+3
277.84,1.180e+3,6.766e-1,1.179e+3
277.89,3.672e+2,1.365e-1,3.671e+2
277.94,1.071e+2,2.580e-2,1.071e+2
277.99,2.928e+1,4.567e-3,2.927e+1
278.04,7.496e+0,7.575e-4,7.496e+0
278.09,1.799e+0,1.177e-4,1.798e+0
278.14,4.043e-1,1.713e-5,4.042e-1
278.19,8.514e-2,2.335e-6,8.513e-2
278.24,1.680e-2,2.982e-7,1.680e-2
278.29,3.105e-3,3.567e-8,3.105e-3
278.34,5.378e-4,,5.378e-4
278.39,8.727e-5,,8.727e-5
278.44,1.327e-5,,1.327e-5
278.49,1.890e-6,,1.890e-6
278.54,2.522e-7,,2.522e-7
278.59,3.153e-8,,3.153e-8
278.64,3.693e-9,,3.693e-9
280.74,3.062e-8,3.062e-8,
280.79,2.500e-7,2.500e-7,
280.84,1.917e-6,1.917e-6,
280.89,1.381e-5,1.381e-5,
280.94,9.339e-5,9.339e-5,
280.99,5.934e-4,5.934e-4,
281.04,3.541e-3,3.541e-3,
281.09,1.985e-2,1.985e-2,
281.14,1.045e-1,1.045e-1,
281.19,5.167e-1,5.167e-1,
281.24,2.400e+0,2.400e+0,
281.29,1.047e+1,1.047e+1,
281.34,4.289e+1,4.289e+1,
281.39,1.651e+2,1.651e+2,
281.44,5.966e+2,5.966e+2,
281.49,2.025e+3,2.025e+3,
281.54,6.458e+3,6.458e+3,
281.59,1.934e+4,1.934e+4,
281.64,5.441e+4,5.441e+4,
281.69,1.437e+5,1.437e+5,
281.74,3.567e+5,3.567e+5,
281.79,8.313e+5,8.313e+5,
281.84,1.820e+6,1.820e+6,
281.89,3.742e+6,3.742e+6,
281.94,7.226e+6,7.226e+6,
281.99,1.311e+7,1.311e+7,
282.04,2.233e+7,2.233e+7,
282.09,3.573e+7,3.573e+7,
282.14,5.370e+7,5.370e+7,
282.19,7.581e+7,7.581e+7,
282.24,1.005e+8,1.005e+8,
282.29,1.252e+8,1.252e+8,
282.34,1.464e+8,1.464e+8,
282.39,1.608e+8,1.608e+8,
282.44,1.660e+8,1.660e+8,
282.49,1.608e+8,1.608e+8,
282.54,1.464e+8,1.464e+8,
282.59,1.252e+8,1.252e+8,
282.64,1.005e+8,1.005e+8,
282.69,7.581e+7,7.581e+7,
282.74,5.370e+7,5.370e+7,
282.79,3.573e+7,3.573e+7,
282.84,2.233e+7,2.233e+7,
282.89,1.311e+7,1.311e+7,
282.94,7.226e+6,7.226e+6,
282.99,3.742e+6,3.742e+6,
283.04,1.820e+6,1.820e+6,
283.09,8.313e+5,8.313e+5,
283.14,3.567e+5,3.567e+5,
283.19,1.437e+5,1.437e+5,
283.24,5.441e+4,5.441e+4,
283.29,1.934e+4,1.934e+4,
283.34,6.458e+3,6.458e+3,
283.39,2.025e+3,2.025e+3,
283.44,5.966e+2,5.966e+2,
283.49,1.651e+2,1.651e+2,
283.54,4.289e+1,4.289e+1,
283.59,1.047e+1,1.047e+1,
283.64,2.400e+0,2.400e+0,
283.69,5.167e-1,5.167e-1,
283.74,1.045e-1,1.045e-1,
283.79,1.985e-2,1.985e-2,
283.84,3.541e-3,3.541e-3,
283.89,5.934e-4,5.934e-4,
283.94,9.339e-5,9.339e-5,
283.99,1.381e-5,1.381e-5,
284.04,1.917e-6,1.917e-6,
284.09,2.500e-7,2.500e-7,
284.14,3.062e-8,3.062e-8,
294.35,3.615e-8,3.615e-8,
294.4,2.644e-7,2.644e-7,
294.45,1.827e-6,1.827e-6,
294.5,1.193e-5,1.193e-5,
294.55,7.355e-5,7.355e-5,
294.6,4.284e-4,4.284e-4,
294.65,2.356e-3,2.356e-3,
294.7,1.225e-2,1.225e-2,
294.75,6.010e-2,6.010e-2,
294.8,2.786e-1,2.786e-1,
294.85,1.220e+0,1.220e+0,
294.9,5.048e+0,5.048e+0,
294.95,1.972e+1,1.972e+1,
295,7.279e+1,7.279e+1,
295.05,2.538e+2,2.538e+2,
295.1,8.356e+2,8.356e+2,
295.15,2.599e+3,2.599e+3,
295.2,7.636e+3,7.636e+3,
295.25,2.119e+4,2.119e+4,
295.3,5.555e+4,5.555e+4,
295.35,1.375e+5,1.375e+5,
295.4,3.217e+5,3.217e+5,
295.45,7.106e+5,7.106e+5,
295.5,1.483e+6,1.483e+6,
295.55,2.923e+6,2.923e+6,
295.6,5.442e+6,5.442e+6,
295.65,9.569e+6,9.569e+6,
295.7,1.590e+7,1.590e+7,
295.75,2.494e+7,2.494e+7,
295.8,3.697e+7,3.697e+7,
295.85,5.175e+7,5.175e+7,
295.9,6.843e+7,6.843e+7,
295.95,8.548e+7,8.548e+7,
296,1.008e+8,1.008e+8,
296.05,1.124e+8,1.124e+8,
296.1,1.183e+8,1.183e+8,
296.15,1.176e+8,1.176e+8,
296.2,1.105e+8,1.105e+8,
296.25,9.801e+7,9.801e+7,
296.3,8.213e+7,8.213e+7,
296.35,6.501e+7,6.501e+7,
296.4,4.860e+7,4.860e+7,
296.45,3.433e+7,3.433e+7,
296.5,2.290e+7,2.290e+7,
296.55,1.443e+7,1.443e+7,
296.6,8.587e+6,8.587e+6,
296.65,4.827e+6,4.827e+6,
296.7,2.563e+6,2.563e+6,
296.75,1.286e+6,1.286e+6,
296.8,6.092e+5,6.092e+5,
296.85,2.726e+5,2.726e+5,
296.9,1.152e+5,1.152e+5,
296.95,4.602e+4,4.602e+4,
297,1.736e+4,1.736e+4,
297.05,6.183e+3,6.183e+3,
297.1,2.081e+3,2.081e+3,
297.15,6.614e+2,6.614e+2,
297.2,1.986e+2,1.986e+2,
297.25,5.632e+1,5.632e+1,
297.3,1.509e+1,1.509e+1,
297.35,3.817e+0,3.817e+0,
297.4,9.123e-1,9.123e-1,
297.45,2.060e-1,2.060e-1,
297.5,4.392e-2,4.392e-2,
297.55,8.847e-3,8.847e-3,
297.6,1.683e-3,1.683e-3,
297.65,3.025e-4,3.025e-4,
297.7,5.135e-5,5.135e-5,
297.75,8.234e-6,8.234e-6,
297.8,1.247e-6,1.247e-6,
297.85,1.784e-7,1.784e-7,
297.9,2.411e-8,2.411e-8,
322.8,2.335e-6,2.335e-6,
322.85,1.449e-5,1.449e-5,
322.9,8.573e-5,8.573e-5,
322.95,4.838e-4,4.838e-4,
323,2.604e-3,2.604e-3,
323.05,1.336e-2,1.336e-2,
323.1,6.541e-2,6.541e-2,
323.15,3.054e-1,3.054e-1,
323.2,1.360e+0,1.360e+0,
323.25,5.773e+0,5.773e+0,
323.3,2.338e+1,2.338e+1,
323.35,9.028e+1,9.028e+1,
323.4,3.325e+2,3.325e+2,
323.45,1.168e+3,1.168e+3,
323.5,3.912e+3,3.912e+3,
323.55,1.250e+4,1.250e+4,
323.6,3.808e+4,3.808e+4,
323.65,1.107e+5,1.107e+5,
323.7,3.067e+5,3.067e+5,
323.75,8.105e+5,8.105e+5,
323.8,2.043e+6,2.043e+6,
323.85,4.911e+6,4.911e+6,
323.9,1.126e+7,1.126e+7,
323.95,2.462e+7,2.462e+7,
324,5.133e+7,5.133e+7,
324.05,1.021e+8,1.021e+8,
