sample_name,filename,Zn,Mn,Cd,Mg,Cu,Pb
Clear Demo,clear_mix349.csv,25.0,1307.0,0.06,6.6,32.0,2.1
Challenging Demo,challenging_agv1a.csv,88.0,710.0,0.07,1.49,60.0,36.0
