Wavelength (nm),Sum,Na I (1.2e-01),Na II (8.8e-01),Na III (7.9e-25)
382.77,5.893e-24,5.893e-24,,
382.82,2.283e-23,2.283e-23,,
382.87,8.547e-23,8.547e-23,,
382.92,3.094e-22,3.094e-22,,
382.97,1.083e-21,1.083e-21,,
383.02,3.665e-21,3.665e-21,,
383.07,1.199e-20,1.199e-20,,
383.12,3.792e-20,3.792e-20,,
383.17,1.159e-19,1.159e-19,,
383.22,3.428e-19,3.428e-19,,
383.27,9.797e-19,9.797e-19,,
383.32,2.707e-18,2.707e-18,,
383.37,7.232e-18,7.232e-18,,
383.42,1.868e-17,1.868e-17,,
383.47,4.664e-17,4.664e-17,,
383.52,1.126e-16,1.126e-16,,
383.57,2.628e-16,2.628e-16,,
383.62,5.930e-16,5.930e-16,,
383.67,1.294e-15,1.294e-15,,
383.72,2.728e-15,2.728e-15,,
383.77,5.563e-15,5.563e-15,,
383.82,1.097e-14,1.097e-14,,
383.87,2.090e-14,2.090e-14,,
383.92,3.851e-14,3.851e-14,,
383.97,6.861e-14,6.861e-14,,
384.02,1.182e-13,1.182e-13,,
384.07,1.968e-13,1.968e-13,,
384.12,3.167e-13,3.167e-13,,
384.17,4.930e-13,4.930e-13,,
384.22,7.417e-13,7.417e-13,,
384.27,1.079e-12,1.079e-12,,
384.32,1.518e-12,1.518e-12,,
384.37,2.063e-12,2.063e-12,,
384.42,2.713e-12,2.713e-12,,
384.47,3.447e-12,3.447e-12,,
384.52,4.236e-12,4.236e-12,,
384.57,5.032e-12,5.032e-12,,
384.62,5.779e-12,5.779e-12,,
384.67,6.417e-12,6.417e-12,,
384.72,6.889e-12,6.889e-12,,
384.77,7.149e-12,7.149e-12,,
384.82,7.174e-12,7.174e-12,,
384.87,6.959e-12,6.959e-12,,
384.92,6.526e-12,6.526e-12,,
384.97,5.918e-12,5.918e-12,,
385.02,5.187e-12,5.187e-12,,
385.07,4.396e-12,4.396e-12,,
385.12,3.602e-12,3.602e-12,,
385.17,2.854e-12,2.854e-12,,
385.22,2.186e-12,2.186e-12,,
385.27,1.619e-12,1.619e-12,,
385.32,1.159e-12,1.159e-12,,
385.37,8.039e-13,8.039e-13,,
385.42,5.412e-13,5.412e-13,,
385.47,3.570e-13,3.570e-13,,
385.52,2.372e-13,2.372e-13,,
385.57,1.706e-13,1.706e-13,,
385.62,1.508e-13,1.508e-13,,
385.67,1.782e-13,1.782e-13,,
385.72,2.611e-13,2.611e-13,,
385.77,4.167e-13,4.167e-13,,
385.82,6.718e-13,6.718e-13,,
385.87,1.063e-12,1.063e-12,,
385.93,1.773e-12,1.773e-12,,
385.98,2.621e-12,2.621e-12,,
386.03,3.749e-12,3.749e-12,,
386.08,5.186e-12,5.186e-12,,
386.13,6.939e-12,6.939e-12,,
386.18,8.979e-12,8.979e-12,,
386.23,1.124e-11,1.124e-11,,
386.28,1.360e-11,1.360e-11,,
386.33,1.591e-11,1.591e-11,,
386.38,1.801e-11,1.801e-11,,
386.43,1.971e-11,1.971e-11,,
386.48,2.087e-11,2.087e-11,,
386.53,2.136e-11,2.136e-11,,
386.58,2.115e-11,2.115e-11,,
386.63,2.025e-11,2.025e-11,,
386.68,1.875e-11,1.875e-11,,
386.73,1.679e-11,1.679e-11,,
386.78,1.454e-11,1.454e-11,,
386.83,1.218e-11,1.218e-11,,
386.88,9.861e-12,9.861e-12,,
386.93,7.726e-12,7.726e-12,,
386.98,5.856e-12,5.856e-12,,
387.03,4.297e-12,4.297e-12,,
387.08,3.061e-12,3.061e-12,,
387.13,2.131e-12,2.131e-12,,
387.18,1.478e-12,1.478e-12,,
387.23,1.073e-12,1.073e-12,,
387.28,8.988e-13,8.988e-13,,
387.33,9.564e-13,9.564e-13,,
387.38,1.277e-12,1.277e-12,,
387.43,1.924e-12,1.924e-12,,
387.48,3.000e-12,3.000e-12,,
387.53,4.636e-12,4.636e-12,,
387.58,6.993e-12,6.993e-12,,
387.63,1.023e-11,1.023e-11,,
387.68,1.450e-11,1.450e-11,,
387.73,1.990e-11,1.990e-11,,
387.78,2.642e-11,2.642e-11,,
387.83,3.394e-11,3.394e-11,,
387.88,4.221e-11,4.221e-11,,
387.93,5.082e-11,5.082e-11,,
387.98,5.923e-11,5.923e-11,,
388.03,6.686e-11,6.686e-11,,
388.08,7.312e-11,7.312e-11,,
388.13,7.750e-11,7.750e-11,,
388.18,7.965e-11,7.965e-11,,
388.23,7.942e-11,7.942e-11,,
388.28,7.690e-11,7.690e-11,,
388.33,7.237e-11,7.237e-11,,
388.38,6.627e-11,6.627e-11,,
388.43,5.913e-11,5.913e-11,,
388.48,5.148e-11,5.148e-11,,
388.53,4.380e-11,4.380e-11,,
388.58,3.648e-11,3.648e-11,,
388.63,2.980e-11,2.980e-11,,
388.68,2.389e-11,2.389e-11,,
388.73,1.884e-11,1.884e-11,,
388.78,1.461e-11,1.461e-11,,
388.83,1.114e-11,1.114e-11,,
388.88,8.358e-12,8.358e-12,,
388.93,6.162e-12,6.162e-12,,
388.98,4.462e-12,4.462e-12,,
389.03,3.176e-12,3.176e-12,,
389.08,2.231e-12,2.231e-12,,
389.13,1.567e-12,1.567e-12,,
389.18,1.137e-12,1.137e-12,,
389.23,9.089e-13,9.089e-13,,
389.28,8.651e-13,8.651e-13,,
389.33,1.003e-12,1.003e-12,,
389.38,1.336e-12,1.336e-12,,
389.43,1.885e-12,1.885e-12,,
389.48,2.679e-12,2.679e-12,,
389.53,3.746e-12,3.746e-12,,
389.58,5.098e-12,5.098e-12,,
389.63,6.732e-12,6.732e-12,,
389.68,8.609e-12,8.609e-12,,
389.73,1.066e-11,1.066e-11,,
389.78,1.277e-11,1.277e-11,,
389.83,1.480e-11,1.480e-11,,
389.88,1.661e-11,1.661e-11,,
389.93,1.803e-11,1.803e-11,,
389.98,1.894e-11,1.894e-11,,
390.03,1.925e-11,1.925e-11,,
390.08,1.894e-11,1.894e-11,,
390.13,1.803e-11,1.803e-11,,
390.18,1.661e-11,1.661e-11,,
390.23,1.480e-11,1.480e-11,,
390.28,1.277e-11,1.277e-11,,
390.33,1.066e-11,1.066e-11,,
390.38,8.606e-12,8.606e-12,,
390.43,6.726e-12,6.726e-12,,
390.48,5.087e-12,5.087e-12,,
390.53,3.723e-12,3.723e-12,,
390.58,2.637e-12,2.637e-12,,
390.63,1.809e-12,1.809e-12,,
390.68,1.204e-12,1.204e-12,,
390.73,7.821e-13,7.821e-13,,
390.78,5.041e-13,5.041e-13,,
390.83,3.383e-13,3.383e-13,,
390.88,2.621e-13,2.621e-13,,
390.93,2.648e-13,2.648e-13,,
390.98,3.475e-13,3.475e-13,,
391.03,5.245e-13,5.245e-13,,
391.08,8.222e-13,8.222e-13,,
391.13,1.278e-12,1.278e-12,,
391.18,1.939e-12,1.939e-12,,
391.23,2.853e-12,2.853e-12,,
391.28,4.068e-12,4.068e-12,,
391.33,5.615e-12,5.615e-12,,
391.38,7.504e-12,7.504e-12,,
391.43,9.707e-12,9.707e-12,,
391.48,1.215e-11,1.215e-11,,
391.53,1.473e-11,1.473e-11,,
391.58,1.729e-11,1.729e-11,,
391.63,1.965e-11,1.965e-11,,
391.68,2.162e-11,2.162e-11,,
391.73,2.304e-11,2.304e-11,,
391.78,2.380e-11,2.380e-11,,
391.83,2.385e-11,2.385e-11,,
391.88,2.321e-11,2.321e-11,,
391.93,2.199e-11,2.199e-11,,
391.98,2.035e-11,2.035e-11,,
392.03,1.849e-11,1.849e-11,,
392.08,1.662e-11,1.662e-11,,
392.13,1.493e-11,1.493e-11,,
392.18,1.358e-11,1.358e-11,,
392.23,1.264e-11,1.264e-11,,
392.28,1.214e-11,1.214e-11,,
392.33,1.204e-11,1.204e-11,,
392.38,1.223e-11,1.223e-11,,
392.43,1.261e-11,1.261e-11,,
392.48,1.302e-11,1.302e-11,,
392.53,1.336e-11,1.336e-11,,
392.58,1.352e-11,1.352e-11,,
392.63,1.346e-11,1.346e-11,,
392.68,1.314e-11,1.314e-11,,
392.73,1.259e-11,1.259e-11,,
392.78,1.186e-11,1.186e-11,,
392.83,1.100e-11,1.100e-11,,
392.88,1.007e-11,1.007e-11,,
392.93,9.117e-12,9.117e-12,,
392.98,8.181e-12,8.181e-12,,
393.03,7.282e-12,7.282e-12,,
393.08,6.427e-12,6.427e-12,,
393.13,5.618e-12,5.618e-12,,
393.18,4.854e-12,4.854e-12,,
393.23,4.134e-12,4.134e-12,,
393.28,3.461e-12,3.461e-12,,
393.33,2.844e-12,2.844e-12,,
393.38,2.291e-12,2.291e-12,,
393.43,1.812e-12,1.812e-12,,
393.48,1.414e-12,1.414e-12,,
393.53,1.103e-12,1.103e-12,,
393.58,8.830e-13,8.830e-13,,
393.63,7.547e-13,7.547e-13,,
393.68,7.175e-13,7.175e-13,,
393.73,7.697e-13,7.697e-13,,
393.78,9.081e-13,9.081e-13,,
393.83,1.128e-12,1.128e-12,,
393.88,1.419e-12,1.419e-12,,
393.93,1.770e-12,1.770e-12,,
393.98,2.162e-12,2.162e-12,,
394.03,2.569e-12,2.569e-12,,
394.08,2.963e-12,2.963e-12,,
394.13,3.313e-12,3.313e-12,,
394.18,3.589e-12,3.589e-12,,
394.23,3.766e-12,3.766e-12,,
394.28,3.827e-12,3.827e-12,,
394.33,3.765e-12,3.765e-12,,
394.38,3.588e-12,3.588e-12,,
394.43,3.311e-12,3.311e-12,,
394.48,2.958e-12,2.958e-12,,
394.53,2.560e-12,2.560e-12,,
394.58,2.145e-12,2.145e-12,,
394.63,1.740e-12,1.740e-12,,
394.68,1.367e-12,1.367e-12,,
394.73,1.040e-12,1.040e-12,,
394.78,7.663e-13,7.663e-13,,
394.83,5.467e-13,5.467e-13,,
394.88,3.776e-13,3.776e-13,,
394.93,2.526e-13,2.526e-13,,
394.98,1.636e-13,1.636e-13,,
395.03,1.027e-13,1.027e-13,,
395.08,6.235e-14,6.235e-14,,
395.13,3.668e-14,3.668e-14,,
395.18,2.089e-14,2.089e-14,,
395.23,1.152e-14,1.152e-14,,
395.28,6.154e-15,6.154e-15,,
395.33,3.183e-15,3.183e-15,,
395.38,1.594e-15,1.594e-15,,
395.43,7.731e-16,7.731e-16,,
395.48,3.631e-16,3.631e-16,,
