Wavelength (nm),Sum,Na I (1.4e-02),Na II (9.9e-01),Na III (8.1e-11)
200.11,6.755e-17,,,6.755e-17
200.16,1.721e-16,,,1.721e-16
200.21,3.891e-16,,,3.891e-16
200.26,7.798e-16,,,7.798e-16
200.31,1.384e-15,,,1.384e-15
200.36,2.176e-15,,,2.176e-15
200.41,3.026e-15,,,3.026e-15
200.46,3.722e-15,,,3.722e-15
200.51,4.051e-15,,,4.051e-15
200.56,3.900e-15,,,3.900e-15
200.61,3.327e-15,,,3.327e-15
200.66,2.520e-15,,,2.520e-15
200.72,1.558e-15,,,1.558e-15
200.77,9.422e-16,,,9.422e-16
200.82,5.443e-16,,,5.443e-16
200.87,3.343e-16,,,3.343e-16
200.92,2.597e-16,,,2.597e-16
200.97,2.760e-16,,,2.760e-16
201.02,3.515e-16,,,3.515e-16
201.07,4.562e-16,,,4.562e-16
201.12,5.549e-16,,,5.549e-16
201.17,6.115e-16,,,6.115e-16
201.22,6.025e-16,,,6.025e-16
201.27,5.289e-16,,,5.289e-16
201.32,4.139e-16,,,4.139e-16
201.37,2.904e-16,,,2.904e-16
201.42,1.853e-16,,,1.853e-16
201.47,1.109e-16,,,1.109e-16
201.52,6.676e-17,,,6.676e-17
201.57,4.483e-17,,,4.483e-17
201.62,3.585e-17,,,3.585e-17
201.67,3.235e-17,,,3.235e-17
201.72,2.970e-17,,,2.970e-17
201.77,2.607e-17,,,2.607e-17
201.82,2.180e-17,,,2.180e-17
201.87,1.853e-17,,,1.853e-17
201.92,1.819e-17,,,1.819e-17
201.97,2.216e-17,,,2.216e-17
202.02,3.076e-17,,,3.076e-17
202.07,4.301e-17,,,4.301e-17
202.12,5.657e-17,,,5.657e-17
202.17,6.821e-17,,,6.821e-17
202.22,7.473e-17,,,7.473e-17
202.27,7.414e-17,,,7.414e-17
202.32,6.659e-17,,,6.659e-17
202.37,5.441e-17,,,5.441e-17
202.42,4.141e-17,,,4.141e-17
202.47,3.202e-17,,,3.202e-17
202.52,3.065e-17,,,3.065e-17
202.57,4.151e-17,,,4.151e-17
202.62,6.789e-17,,,6.789e-17
202.67,1.106e-16,,,1.106e-16
202.72,1.657e-16,,,1.657e-16
202.77,2.242e-16,,,2.242e-16
202.82,2.746e-16,,,2.746e-16
202.87,3.081e-16,,,3.081e-16
202.92,3.222e-16,,,3.222e-16
202.97,3.207e-16,,,3.207e-16
203.02,3.085e-16,,,3.085e-16
203.07,2.876e-16,,,2.876e-16
203.12,2.571e-16,,,2.571e-16
203.17,2.165e-16,,,2.165e-16
203.22,1.700e-16,,,1.700e-16
203.27,1.259e-16,,,1.259e-16
203.32,9.343e-17,,,9.343e-17
203.37,7.852e-17,,,7.852e-17
203.42,8.151e-17,,,8.151e-17
203.47,9.740e-17,,,9.740e-17
203.52,1.178e-16,,,1.178e-16
203.57,1.341e-16,,,1.341e-16
203.62,1.403e-16,,,1.403e-16
203.67,1.348e-16,,,1.348e-16
203.72,1.201e-16,,,1.201e-16
203.77,1.012e-16,,,1.012e-16
203.82,8.411e-17,,,8.411e-17
203.87,7.480e-17,,,7.480e-17
203.92,7.925e-17,,,7.925e-17
203.97,1.029e-16,,,1.029e-16
204.02,1.491e-16,,,1.491e-16
204.07,2.179e-16,,,2.179e-16
204.12,3.040e-16,,,3.040e-16
204.17,3.963e-16,,,3.963e-16
204.22,4.791e-16,,,4.791e-16
204.27,5.353e-16,,,5.353e-16
204.32,5.519e-16,,,5.519e-16
204.37,5.258e-16,,,5.258e-16
204.42,4.644e-16,,,4.644e-16
204.47,3.831e-16,,,3.831e-16
204.52,2.980e-16,,,2.980e-16
204.57,2.210e-16,,,2.210e-16
204.62,1.581e-16,,,1.581e-16
204.67,1.109e-16,,,1.109e-16
204.72,7.844e-17,,,7.844e-17
204.77,5.825e-17,,,5.825e-17
204.82,4.689e-17,,,4.689e-17
204.87,4.092e-17,,,4.092e-17
204.92,3.783e-17,,,3.783e-17
204.97,3.647e-17,,,3.647e-17
205.02,3.650e-17,,,3.650e-17
205.07,3.756e-17,,,3.756e-17
205.12,3.875e-17,,,3.875e-17
205.17,3.903e-17,,,3.903e-17
205.22,3.805e-17,,,3.805e-17
205.27,3.653e-17,,,3.653e-17
205.32,3.588e-17,,,3.588e-17
205.37,3.709e-17,,,3.709e-17
205.42,3.983e-17,,,3.983e-17
205.47,4.252e-17,,,4.252e-17
205.52,4.328e-17,,,4.328e-17
205.57,4.125e-17,,,4.125e-17
205.62,3.728e-17,,,3.728e-17
205.67,3.354e-17,,,3.354e-17
205.72,3.245e-17,,,3.245e-17
205.77,3.552e-17,,,3.552e-17
205.82,4.274e-17,,,4.274e-17
205.87,5.263e-17,,,5.263e-17
205.92,6.272e-17,,,6.272e-17
205.97,7.028e-17,,,7.028e-17
206.02,7.327e-17,,,7.327e-17
206.07,7.118e-17,,,7.118e-17
206.12,6.541e-17,,,6.541e-17
206.17,5.911e-17,,,5.911e-17
206.22,5.695e-17,,,5.695e-17
206.27,6.543e-17,,,6.543e-17
206.32,9.375e-17,,,9.375e-17
206.37,1.536e-16,,,1.536e-16
206.42,2.559e-16,,,2.559e-16
206.47,4.027e-16,,,4.027e-16
206.52,5.790e-16,,,5.790e-16
206.57,7.497e-16,,,7.497e-16
206.62,8.689e-16,,,8.689e-16
206.67,8.987e-16,,,8.987e-16
206.72,8.285e-16,,,8.285e-16
206.77,6.806e-16,,,6.806e-16
206.82,4.984e-16,,,4.984e-16
206.87,3.265e-16,,,3.265e-16
206.92,1.944e-16,,,1.944e-16
206.97,1.115e-16,,,1.115e-16
207.02,7.249e-17,,,7.249e-17
207.07,6.563e-17,,,6.563e-17
207.12,7.801e-17,,,7.801e-17
207.17,9.769e-17,,,9.769e-17
207.22,1.144e-16,,,1.144e-16
207.27,1.208e-16,,,1.208e-16
207.32,1.138e-16,,,1.138e-16
207.37,9.557e-17,,,9.557e-17
207.42,7.144e-17,,,7.144e-17
207.47,4.753e-17,,,4.753e-17
207.52,2.815e-17,,,2.815e-17
207.57,1.484e-17,,,1.484e-17
207.62,6.966e-18,,,6.966e-18
207.67,2.910e-18,,,2.910e-18
207.72,1.082e-18,,,1.082e-18
207.77,3.581e-19,,,3.581e-19
207.82,1.055e-19,,,1.055e-19
207.87,2.767e-20,,,2.767e-20
207.92,6.459e-21,,,6.459e-21
207.97,1.342e-21,,,1.342e-21
208.02,2.482e-22,,,2.482e-22
208.07,4.087e-23,,,4.087e-23
208.12,5.989e-24,,,5.989e-24
208.17,7.813e-25,,,7.813e-25
208.22,9.072e-26,,,9.072e-26
208.27,9.376e-27,,,9.376e-27
208.32,8.632e-28,,,8.632e-28
208.37,7.879e-29,,,7.879e-29
208.42,1.017e-28,,,1.017e-28
208.47,1.022e-27,,,1.022e-27
208.52,9.637e-27,,,9.637e-27
208.57,8.115e-26,,,8.115e-26
208.62,6.098e-25,,,6.098e-25
208.67,4.089e-24,,,4.089e-24
208.72,2.446e-23,,,2.446e-23
208.77,1.306e-22,,,1.306e-22
208.82,6.220e-22,,,6.220e-22
208.87,2.644e-21,,,2.644e-21
208.92,1.003e-20,,,1.003e-20
208.97,3.394e-20,,,3.394e-20
209.02,1.025e-19,,,1.025e-19
209.07,2.762e-19,,,2.762e-19
209.12,6.641e-19,,,6.641e-19
209.17,1.425e-18,,,1.425e-18
209.22,2.728e-18,,,2.728e-18
209.27,4.661e-18,,,4.661e-18
209.32,7.108e-18,,,7.108e-18
209.37,9.677e-18,,,9.677e-18
209.42,1.178e-17,,,1.178e-17
209.47,1.286e-17,,,1.286e-17
209.52,1.273e-17,,,1.273e-17
209.57,1.176e-17,,,1.176e-17
209.62,1.087e-17,,,1.087e-17
209.67,1.128e-17,,,1.128e-17
209.72,1.407e-17,,,1.407e-17
209.77,1.983e-17,,,1.983e-17
209.82,2.835e-17,,,2.835e-17
209.87,3.874e-17,,,3.874e-17
209.92,4.996e-17,,,4.996e-17
209.97,6.162e-17,,,6.162e-17
210.02,7.444e-17,,,7.444e-17
210.07,8.970e-17,,,8.970e-17
210.12,1.077e-16,,,1.077e-16
210.17,1.264e-16,,,1.264e-16
210.22,1.409e-16,,,1.409e-16
210.27,1.457e-16,,,1.457e-16
210.32,1.377e-16,,,1.377e-16
210.37,1.177e-16,,,1.177e-16
210.42,9.070e-17,,,9.070e-17
210.47,6.286e-17,,,6.286e-17
210.52,3.921e-17,,,3.921e-17
210.57,2.209e-17,,,2.209e-17
210.62,1.134e-17,,,1.134e-17
210.67,5.431e-18,,,5.431e-18
210.72,2.607e-18,,,2.607e-18
210.77,1.480e-18,,,1.480e-18
210.82,1.169e-18,,,1.169e-18
210.87,1.200e-18,,,1.200e-18
210.92,1.355e-18,,,1.355e-18
210.97,1.579e-18,,,1.579e-18
211.02,1.904e-18,,,1.904e-18
211.07,2.393e-18,,,2.393e-18
211.12,3.086e-18,,,3.086e-18
211.17,4.023e-18,,,4.023e-18
211.22,5.363e-18,,,5.363e-18
211.27,7.612e-18,,,7.612e-18
211.32,1.185e-17,,,1.185e-17
211.37,1.969e-17,,,1.969e-17
211.42,3.278e-17,,,3.278e-17
211.47,5.175e-17,,,5.175e-17
211.52,7.501e-17,,,7.501e-17
211.57,9.836e-17,,,9.836e-17
211.62,1.159e-16,,,1.159e-16
211.67,1.224e-16,,,1.224e-16
211.72,1.158e-16,,,1.158e-16
211.77,9.800e-17,,,9.800e-17
