Wavelength (nm),Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
200.11,4.892e-27,,,4.892e-27
200.16,1.267e-26,,,1.267e-26
200.21,2.901e-26,,,2.901e-26
200.26,5.874e-26,,,5.874e-26
200.31,1.051e-25,,,1.051e-25
200.36,1.662e-25,,,1.662e-25
200.41,2.321e-25,,,2.321e-25
200.46,2.865e-25,,,2.865e-25
200.51,3.123e-25,,,3.123e-25
200.56,3.009e-25,,,3.009e-25
200.61,2.561e-25,,,2.561e-25
200.66,1.928e-25,,,1.928e-25
200.72,1.169e-25,,,1.169e-25
200.77,6.788e-26,,,6.788e-26
200.82,3.566e-26,,,3.566e-26
200.87,1.778e-26,,,1.778e-26
200.92,9.639e-27,,,9.639e-27
200.97,7.200e-27,,,7.200e-27
201.02,7.751e-27,,,7.751e-27
201.07,9.606e-27,,,9.606e-27
201.12,1.157e-26,,,1.157e-26
201.17,1.270e-26,,,1.270e-26
201.22,1.248e-26,,,1.248e-26
201.27,1.090e-26,,,1.090e-26
201.32,8.451e-27,,,8.451e-27
201.37,5.830e-27,,,5.830e-27
201.42,3.600e-27,,,3.600e-27
201.47,2.021e-27,,,2.021e-27
201.52,1.075e-27,,,1.075e-27
201.57,5.917e-28,,,5.917e-28
201.62,3.820e-28,,,3.820e-28
201.67,3.008e-28,,,3.008e-28
201.72,2.633e-28,,,2.633e-28
201.77,2.345e-28,,,2.345e-28
201.82,2.141e-28,,,2.141e-28
201.87,2.215e-28,,,2.215e-28
201.92,2.832e-28,,,2.832e-28
201.97,4.217e-28,,,4.217e-28
202.02,6.448e-28,,,6.448e-28
202.07,9.355e-28,,,9.355e-28
202.12,1.247e-27,,,1.247e-27
202.17,1.512e-27,,,1.512e-27
202.22,1.659e-27,,,1.659e-27
202.27,1.645e-27,,,1.645e-27
202.32,1.475e-27,,,1.475e-27
202.37,1.202e-27,,,1.202e-27
202.42,9.137e-28,,,9.137e-28
202.47,7.095e-28,,,7.095e-28
202.52,6.897e-28,,,6.897e-28
202.57,9.500e-28,,,9.500e-28
202.62,1.566e-27,,,1.566e-27
202.67,2.555e-27,,,2.555e-27
202.72,3.826e-27,,,3.826e-27
202.77,5.164e-27,,,5.164e-27
202.82,6.297e-27,,,6.297e-27
202.87,7.009e-27,,,7.009e-27
202.92,7.246e-27,,,7.246e-27
202.97,7.101e-27,,,7.101e-27
203.02,6.711e-27,,,6.711e-27
203.07,6.152e-27,,,6.152e-27
203.12,5.423e-27,,,5.423e-27
203.17,4.522e-27,,,4.522e-27
203.22,3.525e-27,,,3.525e-27
203.27,2.595e-27,,,2.595e-27
203.32,1.910e-27,,,1.910e-27
203.37,1.586e-27,,,1.586e-27
203.42,1.628e-27,,,1.628e-27
203.47,1.938e-27,,,1.938e-27
203.52,2.348e-27,,,2.348e-27
203.57,2.688e-27,,,2.688e-27
203.62,2.836e-27,,,2.836e-27
203.67,2.757e-27,,,2.757e-27
203.72,2.494e-27,,,2.494e-27
203.77,2.140e-27,,,2.140e-27
203.82,1.815e-27,,,1.815e-27
203.87,1.653e-27,,,1.653e-27
203.92,1.804e-27,,,1.804e-27
203.97,2.431e-27,,,2.431e-27
204.02,3.675e-27,,,3.675e-27
204.07,5.608e-27,,,5.608e-27
204.12,8.160e-27,,,8.160e-27
204.17,1.106e-26,,,1.106e-26
204.22,1.382e-26,,,1.382e-26
204.27,1.584e-26,,,1.584e-26
204.32,1.658e-26,,,1.658e-26
204.37,1.586e-26,,,1.586e-26
204.42,1.390e-26,,,1.390e-26
204.47,1.123e-26,,,1.123e-26
204.52,8.445e-27,,,8.445e-27
204.57,5.996e-27,,,5.996e-27
204.62,4.082e-27,,,4.082e-27
204.67,2.722e-27,,,2.722e-27
204.72,1.835e-27,,,1.835e-27
204.77,1.305e-27,,,1.305e-27
204.82,1.013e-27,,,1.013e-27
204.87,8.547e-28,,,8.547e-28
204.92,7.612e-28,,,7.612e-28
204.97,6.999e-28,,,6.999e-28
205.02,6.646e-28,,,6.646e-28
205.07,6.548e-28,,,6.548e-28
205.12,6.612e-28,,,6.612e-28
205.17,6.690e-28,,,6.690e-28
205.22,6.713e-28,,,6.713e-28
205.27,6.783e-28,,,6.783e-28
205.32,7.106e-28,,,7.106e-28
205.37,7.805e-28,,,7.805e-28
205.42,8.750e-28,,,8.750e-28
205.47,9.566e-28,,,9.566e-28
205.52,9.848e-28,,,9.848e-28
205.57,9.429e-28,,,9.429e-28
205.62,8.526e-28,,,8.526e-28
205.67,7.647e-28,,,7.647e-28
205.72,7.340e-28,,,7.340e-28
205.77,7.940e-28,,,7.940e-28
205.82,9.439e-28,,,9.439e-28
205.87,1.150e-27,,,1.150e-27
205.92,1.359e-27,,,1.359e-27
205.97,1.514e-27,,,1.514e-27
206.02,1.572e-27,,,1.572e-27
206.07,1.528e-27,,,1.528e-27
206.12,1.416e-27,,,1.416e-27
206.17,1.315e-27,,,1.315e-27
206.22,1.348e-27,,,1.348e-27
206.27,1.711e-27,,,1.711e-27
206.32,2.698e-27,,,2.698e-27
206.37,4.694e-27,,,4.694e-27
206.42,8.058e-27,,,8.058e-27
206.47,1.287e-26,,,1.287e-26
206.52,1.863e-26,,,1.863e-26
206.57,2.421e-26,,,2.421e-26
206.62,2.812e-26,,,2.812e-26
206.67,2.911e-26,,,2.911e-26
206.72,2.685e-26,,,2.685e-26
206.77,2.206e-26,,,2.206e-26
206.82,1.614e-26,,,1.614e-26
206.87,1.055e-26,,,1.055e-26
206.92,6.209e-27,,,6.209e-27
206.97,3.416e-27,,,3.416e-27
207.02,1.977e-27,,,1.977e-27
207.07,1.500e-27,,,1.500e-27
207.12,1.587e-27,,,1.587e-27
207.17,1.906e-27,,,1.906e-27
207.22,2.208e-27,,,2.208e-27
207.27,2.324e-27,,,2.324e-27
207.32,2.189e-27,,,2.189e-27
207.37,1.838e-27,,,1.838e-27
207.42,1.374e-27,,,1.374e-27
207.47,9.141e-28,,,9.141e-28
207.52,5.414e-28,,,5.414e-28
207.57,2.855e-28,,,2.855e-28
207.62,1.340e-28,,,1.340e-28
207.67,5.596e-29,,,5.596e-29
207.72,2.081e-29,,,2.081e-29
207.77,6.887e-30,,,6.887e-30
207.82,2.029e-30,,,2.029e-30
207.87,5.321e-31,,,5.321e-31
207.92,1.242e-31,,,1.242e-31
207.97,2.581e-32,,,2.581e-32
208.02,4.774e-33,,,4.774e-33
208.07,7.860e-34,,,7.860e-34
208.12,1.152e-34,,,1.152e-34
208.17,1.502e-35,,,1.502e-35
208.22,1.745e-36,,,1.745e-36
208.27,1.803e-37,,,1.803e-37
208.32,1.660e-38,,,1.660e-38
208.37,1.525e-39,,,1.525e-39
208.42,2.074e-39,,,2.074e-39
208.47,2.090e-38,,,2.090e-38
208.52,1.971e-37,,,1.971e-37
208.57,1.660e-36,,,1.660e-36
208.62,1.247e-35,,,1.247e-35
208.67,8.363e-35,,,8.363e-35
208.72,5.003e-34,,,5.003e-34
208.77,2.671e-33,,,2.671e-33
208.82,1.272e-32,,,1.272e-32
208.87,5.408e-32,,,5.408e-32
208.92,2.051e-31,,,2.051e-31
208.97,6.943e-31,,,6.943e-31
209.02,2.097e-30,,,2.097e-30
209.07,5.650e-30,,,5.650e-30
209.12,1.359e-29,,,1.359e-29
209.17,2.915e-29,,,2.915e-29
209.22,5.581e-29,,,5.581e-29
209.27,9.535e-29,,,9.535e-29
209.32,1.454e-28,,,1.454e-28
209.37,1.979e-28,,,1.979e-28
209.42,2.409e-28,,,2.409e-28
209.47,2.630e-28,,,2.630e-28
209.52,2.602e-28,,,2.602e-28
209.57,2.402e-28,,,2.402e-28
209.62,2.216e-28,,,2.216e-28
209.67,2.291e-28,,,2.291e-28
209.72,2.847e-28,,,2.847e-28
209.77,4.002e-28,,,4.002e-28
209.82,5.713e-28,,,5.713e-28
209.87,7.800e-28,,,7.800e-28
209.92,1.006e-27,,,1.006e-27
209.97,1.240e-27,,,1.240e-27
210.02,1.499e-27,,,1.499e-27
210.07,1.809e-27,,,1.809e-27
210.12,2.175e-27,,,2.175e-27
210.17,2.554e-27,,,2.554e-27
210.22,2.847e-27,,,2.847e-27
210.27,2.944e-27,,,2.944e-27
210.32,2.778e-27,,,2.778e-27
210.37,2.371e-27,,,2.371e-27
210.42,1.820e-27,,,1.820e-27
210.47,1.254e-27,,,1.254e-27
210.52,7.753e-28,,,7.753e-28
210.57,4.306e-28,,,4.306e-28
210.62,2.156e-28,,,2.156e-28
210.67,9.862e-29,,,9.862e-29
210.72,4.293e-29,,,4.293e-29
210.77,2.013e-29,,,2.013e-29
210.82,1.267e-29,,,1.267e-29
210.87,1.143e-29,,,1.143e-29
210.92,1.240e-29,,,1.240e-29
210.97,1.432e-29,,,1.432e-29
211.02,1.732e-29,,,1.732e-29
211.07,2.207e-29,,,2.207e-29
211.12,2.952e-29,,,2.952e-29
211.17,4.162e-29,,,4.162e-29
211.22,6.366e-29,,,6.366e-29
211.27,1.081e-28,,,1.081e-28
211.32,1.978e-28,,,1.978e-28
211.37,3.653e-28,,,3.653e-28
211.42,6.423e-28,,,6.423e-28
211.47,1.039e-27,,,1.039e-27
211.52,1.523e-27,,,1.523e-27
211.57,2.006e-27,,,2.006e-27
211.62,2.368e-27,,,2.368e-27
211.67,2.502e-27,,,2.502e-27
211.72,2.366e-27,,,2.366e-27
211.77,2.002e-27,,,2.002e-27
211.82,1.517e-27,,,1.517e-27
211.87,1.029e-27,,,1.029e-27
211.92,6.273e-28,,,6.273e-28
211.97,3.457e-28,,,3.457e-28
212.02,1.753e-28,,,1.753e-28
212.07,8.606e-29,,,8.606e-29
212.12,4.703e-29,,,4.703e-29
212.17,3.767e-29,,,3.767e-29
212.22,5.024e-29,,,5.024e-29
212.27,8.850e-29,,,8.850e-29
212.32,1.654e-28,,,1.654e-28
212.37,2.991e-28,,,2.991e-28
212.42,5.052e-28,,,5.052e-28
212.47,7.842e-28,,,7.842e-28
212.52,1.109e-27,,,1.109e-27
212.57,1.422e-27,,,1.422e-27
212.62,1.646e-27,,,1.646e-27
212.67,1.719e-27,,,1.719e-27
212.72,1.618e-27,,,1.618e-27
212.77,1.371e-27,,,1.371e-27
212.82,1.047e-27,,,1.047e-27
212.87,7.214e-28,,,7.214e-28
212.92,4.483e-28,,,4.483e-28
212.97,2.516e-28,,,2.516e-28
213.02,1.277e-28,,,1.277e-28
213.07,5.861e-29,,,5.861e-29
213.12,2.436e-29,,,2.436e-29
213.17,9.177e-30,,,9.177e-30
213.22,3.139e-30,,,3.139e-30
213.27,1.011e-30,,,1.011e-30
213.32,4.964e-31,,,4.964e-31
213.37,1.164e-30,,,1.164e-30
213.42,4.800e-30,,,4.800e-30
213.47,1.876e-29,,,1.876e-29
213.52,6.593e-29,,,6.593e-29
213.57,2.078e-28,,,2.078e-28
213.62,5.877e-28,,,5.877e-28
213.67,1.490e-27,,,1.490e-27
213.72,3.390e-27,,,3.390e-27
213.77,6.916e-27,,,6.916e-27
213.82,1.266e-26,,,1.266e-26
213.87,2.079e-26,,,2.079e-26
213.92,3.064e-26,,,3.064e-26
213.97,4.060e-26,,,4.060e-26
214.02,4.844e-26,,,4.844e-26
214.07,5.232e-26,,,5.232e-26
214.12,5.169e-26,,,5.169e-26
214.17,4.774e-26,,,4.774e-26
214.22,4.276e-26,,,4.276e-26
214.27,3.898e-26,,,3.898e-26
