model,range,n,mae,rmse,median_absolute_error,r2,pearson,spearman,bias,status
median_baseline,1-25 ppm,45,22.488888888888887,23.324760329839286,25.0,-13.206922342867463,,,22.488888888888887,
median_baseline,>25-100 ppm,46,28.26086956521739,31.54362059117501,30.0,-4.068171970535843,,,-28.26086956521739,
median_baseline,>100-250 ppm,5,104.2,107.32846779862274,95.0,-16.407217117988395,,,-104.2,
median_baseline,>250-500 ppm,3,,,,,,,,Insufficient validation support
ridge,1-25 ppm,45,25.266846889919705,29.07774753886439,23.377914428710938,-21.079394023111664,0.36745631534759315,0.29624282301439153,24.866846889919707,
ridge,>25-100 ppm,46,17.04265080327573,37.17522901196745,8.78665542602539,-6.039398757467506,0.19342470624815478,-0.0784495535128204,1.4869059687075408,
ridge,>100-250 ppm,5,75.1281120300293,79.03698640483664,66.81210327148438,-8.43974434834129,0.3831529178108639,0.3,-75.1281120300293,
ridge,>250-500 ppm,3,,,,,,,,Insufficient validation support
pls,1-25 ppm,45,11.553649042515591,17.511602448489693,7.516159225009856,-7.007877210117213,0.3874937746416206,0.41739982044025487,10.675324257704121,
pls,>25-100 ppm,46,23.38562405809584,29.902582950908666,20.278162736495556,-3.5545520496358387,-0.22242350872010577,-0.2826282498310028,-19.107556616744464,
pls,>100-250 ppm,5,81.36419876591985,81.78170804683698,81.9297746402157,-9.106757390984768,0.9913560408015155,0.8999999999999998,-81.36419876591985,
pls,>250-500 ppm,3,,,,,,,,Insufficient validation support
cnn,1-25 ppm,45,18.090475124782987,22.67356870475035,15.12796401977539,-12.424724725495768,0.4843561565542063,0.4398757069001571,17.443576219346788,
cnn,>25-100 ppm,46,13.73193006930144,19.884524133286728,9.633806228637695,-1.0139962900567308,0.2645800438498795,0.36521322433938497,-10.448309649591861,
cnn,>100-250 ppm,5,75.30087661743164,81.63189942120695,52.15183639526367,-9.069763967471662,-0.2669656283837958,-0.3,-75.30087661743164,
cnn,>250-500 ppm,3,,,,,,,,Insufficient validation support
