obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""638.1223""","=""0.0005""","=""638.12251""","=""0.00016""","=""9""","=""""",,"=""17423.856""","=""33090.497""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L10989""",
"=""639.5467""","=""0.0005""","=""639.54718""","=""0.00016""","=""11""","=""3.3e+04""",C,"=""12118.393""","=""27750.135""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""5""",,"=""T3297""","=""L10989""",
"=""640.7800""","=""0.0005""","=""640.78003""","=""0.00025""","=""3""","=""""",,"=""25068.842""","=""40670.509""","=""3d3.(2F).4s""","=""3F""","=""3""","=""3d3.(4P).4p""","=""r 3D*""","=""2""",,"=""""","=""L10989""",
"=""641.3102""","=""0.0005""","=""641.31070""","=""0.00016""","=""3""","=""""",,"=""386.874""","=""15975.631""","=""3d2.4s2""","=""a 3F""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5G*""","=""3""",,"=""""","=""L10989""",
"=""641.9087""","=""0.0005""","=""641.90881""","=""0.00016""","=""22""","=""""",,"=""17540.188""","=""33114.420""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,"=""""","=""L10989""",
"=""647.9444""","=""0.0005""","=""647.9442""","=""0.0004""","=""3""","=""""",,"=""27498.172""","=""42927.337""","=""3d3.(2F).4s""","=""1F""","=""3""","=""3d3.(2P).4p""","=""1D*""","=""2""",,"=""""","=""L10989""",
"=""649.7682""","=""0.0005""","=""649.76838""","=""0.00017""","=""43""","=""""",,"=""11639.8109""","=""27025.659""","=""3d3.(4F).4s""","=""b 3F""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""",,"=""""","=""L10989""",
"=""""","=""""","=""649.99056""","=""0.00021""","=""0""","=""1.9e+03""",D,"=""12118.393""","=""27498.982""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""3""",,"=""T3297""","=""""",
"=""650.8119""","=""0.0005""","=""650.81205""","=""0.00017""","=""37""","=""""",,"=""11531.761""","=""26892.936""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""3""",,"=""""","=""L10989""",
"=""650.8383""","=""0.0005""","=""650.83814""","=""0.00017""","=""3""","=""1.02e+06""",C+,"=""26657.416""","=""42017.9751""","=""3d3.(4F).4p""","=""y 5G*""","=""4""","=""3d2.4s.(4F).4d""","=""e 5H""","=""5""",,"=""T6897""","=""L10989""",
