obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""696.4672""","=""696.46903""","=""0.00024""","=""12""","=""1.37e+04""",D+,"=""13042.896027""","=""27397.077""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.4d""","=""2D""","=""5/2""",,"=""T9168""","=""L6096""",
"=""""","=""754.1412""","=""0.0003""","=""""","=""4.9e+03""",E,"=""21026.551""","=""34283.0181""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.14p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""754.1617""","=""0.0003""","=""""","=""4.9e+03""",E,"=""21026.551""","=""34282.6573""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.14p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""""","=""761.8730""","=""0.0003""","=""""","=""6.5e+03""",C,"=""21026.551""","=""34148.4861""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.13p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""761.8996""","=""0.0003""","=""""","=""6.5e+03""",E,"=""21026.551""","=""34148.0284""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.13p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""766.489913""","=""766.48991""","=""0.00003""","=""25r""","=""3.779e+07""",AAA,"=""0.0000""","=""13042.896027""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.4p""","=""2P*""","=""3/2""",,"=""T9745""","=""L8995""",
"=""769.896456""","=""769.89646""","=""0.00003""","=""24r""","=""3.734e+07""",AAA,"=""0.0000""","=""12985.185724""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.4p""","=""2P*""","=""1/2""",,"=""T9745""","=""L8995""",
"=""""","=""772.2111""","=""0.0003""","=""""","=""8.9e+03""",C,"=""21026.551""","=""33972.8148""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""772.2474""","=""0.0003""","=""""","=""8.9e+03""",E,"=""21026.551""","=""33972.2064""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.12p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""774.107""","=""774.122""","=""0.004""","=""a*""","=""""",,"=""21534.680""","=""34448.98""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.14f""","=""2F*""","=""7/2""",,"=""""","=""L2996""",
"=""774.107""","=""774.122""","=""0.004""","=""a*""","=""""",,"=""21534.680""","=""34448.98""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.14f""","=""2F*""","=""5/2""",,"=""""","=""L2996""",
"=""774.246""","=""774.261""","=""0.004""","=""a""","=""""",,"=""21536.988""","=""34448.98""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.14f""","=""2F*""","=""5/2""",,"=""""","=""L2996""",
