obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""187.8504""","=""187.8504""","=""8""","=""""",,"=""95350.60""","=""148584.44""","=""3s.4s""","=""1S""","=""0""","=""3s.13p""","=""1P*""","=""1""",,"=""""","=""L4575""",
"=""189.7401""","=""189.7401""","=""10""","=""""",,"=""95549.42""","=""148253.08""","=""3s.3d""","=""3D""","=""3""","=""3s.11f""","=""3F*""","=""4""",,"=""""","=""L4575""",
"=""189.7460""","=""189.7461""","=""3""","=""""",,"=""95550.51""","=""148252.52""","=""3s.3d""","=""3D""","=""2""","=""3s.11f""","=""3F*""","=""3""",,"=""""","=""L4575""",
"=""189.7500""","=""189.7500""","=""1""","=""""",,"=""95551.44""","=""148252.37""","=""3s.3d""","=""3D""","=""1""","=""3s.11f""","=""3F*""","=""2""",,"=""""","=""L4575""",
"=""189.91943""","=""189.9195""","=""25""","=""""",,"=""95350.60""","=""148004.49""","=""3s.4s""","=""1S""","=""0""","=""3s.12p""","=""1P*""","=""1""",,"=""""","=""L3460""",
"=""190.4326""","=""190.4327""","=""8""","=""2.7e+08""",D,"=""94084.96""","=""146596.95""","=""3p2""","=""3P""","=""0""","=""3s.10p""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L4575""",
"=""190.64082""","=""190.6409""","=""25""","=""2.0e+08""",D,"=""94147.46""","=""146602.10""","=""3p2""","=""3P""","=""1""","=""3s.10p""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""L3460""",
"=""190.6596""","=""190.6596""","=""4""","=""2.0e+08""",D,"=""94147.46""","=""146596.95""","=""3p2""","=""3P""","=""1""","=""3s.10p""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L4575""",
"=""190.6674""","=""190.6673""","=""8""","=""8.2e+08""",D,"=""94147.46""","=""146594.85""","=""3p2""","=""3P""","=""1""","=""3s.10p""","=""3P*""","=""0""",,"=""T6298c4,LS""","=""L4575""",
"=""191.08252""","=""191.0825""","=""80""","=""5.8e+08""",D,"=""94268.68""","=""146602.10""","=""3p2""","=""3P""","=""2""","=""3s.10p""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""L3460""",
"=""191.1013""","=""191.1013""","=""15""","=""3.4e+08""",D,"=""94268.68""","=""146596.95""","=""3p2""","=""3P""","=""2""","=""3s.10p""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L4575""",
"=""192.216""","=""192.2154""","=""1""","=""""",,"=""95549.42""","=""147574.4""","=""3s.3d""","=""3D""","=""3""","=""3s.11p""","=""3P*""","=""2""",,"=""""","=""L7431""",
"=""192.47537""","=""192.4754""","=""50""","=""""",,"=""95549.42""","=""147504.12""","=""3s.3d""","=""3D""","=""3""","=""3s.10f""","=""3F*""","=""4""",,"=""""","=""L3460""",
"=""192.4825""","=""192.4826""","=""30""","=""""",,"=""95550.51""","=""147503.27""","=""3s.3d""","=""3D""","=""2""","=""3s.10f""","=""3F*""","=""3""",,"=""""","=""L4575""",
"=""192.4879""","=""192.4879""","=""10""","=""""",,"=""95551.44""","=""147502.76""","=""3s.3d""","=""3D""","=""1""","=""3s.10f""","=""3F*""","=""2""",,"=""""","=""L4575""",
"=""192.60291""","=""192.6032""","=""60""","=""""",,"=""95350.60""","=""147270.82""","=""3s.4s""","=""1S""","=""0""","=""3s.11p""","=""1P*""","=""1""",,"=""""","=""L3460""",
"=""192.6948""","=""192.6948""","=""20""","=""""",,"=""91274.50""","=""143170.04""","=""3s.4s""","=""3S""","=""1""","=""3s.8p""","=""3P*""","=""2""",,"=""""","=""L4575""",
"=""192.7070""","=""192.7070""","=""10""","=""""",,"=""91274.50""","=""143166.76""","=""3s.4s""","=""3S""","=""1""","=""3s.8p""","=""3P*""","=""1""",,"=""""","=""L4575""",
"=""192.713""","=""192.7120""","=""1""","=""""",,"=""91274.50""","=""143165.4""","=""3s.4s""","=""3S""","=""1""","=""3s.8p""","=""3P*""","=""0""",,"=""""","=""L7431""",
"=""192.99775""","=""192.9977""","=""150""","=""1.15e+08""",C+,"=""94147.46""","=""145961.54""","=""3p2""","=""3P""","=""1""","=""3p.4s""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""L3460""",
