obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""206.458""","=""0.002""","=""206.4583""","=""0.0009""","=""2a*""","=""""",,"=""13245.443""","=""61665.90""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.15p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""206.458""","=""0.002""","=""206.4585""","=""0.0009""","=""2a*""","=""""",,"=""13245.443""","=""61665.86""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.15p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""206.8321""","=""0.0017""","=""206.8315""","=""0.0007""","=""5""","=""""",,"=""30783.697""","=""79116.79""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(3D).5d""","=""4F""","=""5/2""",,"=""""","=""L772""",
"=""206.941""","=""0.002""","=""206.9422""","=""0.0013""","=""3a*""","=""""",,"=""13245.443""","=""61552.70""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.14p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""206.941""","=""0.002""","=""206.9433""","=""0.0021""","=""3a*""","=""""",,"=""13245.443""","=""61552.44""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.14p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""207.566""","=""0.002""","=""207.5662""","=""0.0004""","=""5a""","=""""",,"=""13245.443""","=""61407.49""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.13p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""207.9534""","=""0.0004""","=""207.95343""","=""0.00022""","=""15a""","=""""",,"=""11202.618""","=""59274.99""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.8p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""208.3911""","=""0.0004""","=""208.3911""","=""0.0003""","=""6a""","=""""",,"=""13245.443""","=""61216.86""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.12p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""209.5161""","=""0.0004""","=""209.5159""","=""0.0004""","=""8a""","=""""",,"=""13245.443""","=""60959.37""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.11p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""209.529""","=""0.002""","=""209.52925""","=""0.00022""","=""3a""","=""""",,"=""13245.443""","=""60956.32""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.11p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""210.5112""","=""0.0004""","=""210.5115""","=""0.0004""","=""10a""","=""""",,"=""11202.618""","=""58690.91""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""3/2""",,"=""""","=""L4958""",
"=""211.1006""","=""0.0004""","=""211.1007""","=""0.0003""","=""10a""","=""""",,"=""13245.443""","=""60601.19""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.10p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""211.1280""","=""0.0007""","=""211.12789""","=""0.00022""","=""4a""","=""""",,"=""13245.443""","=""60595.10""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.10p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""211.326""","=""0.006""","=""211.3238""","=""0.0022""","=""2h""","=""""",,"=""30535.324""","=""77841.10""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4s.(3D).5d""","=""4P""","=""3/2""",,"=""""","=""L772""",
"=""212.435""","=""0.006""","=""212.439""","=""0.004""","=""5h""","=""""",,"=""30783.697""","=""77841.10""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(3D).5d""","=""4P""","=""3/2""",,"=""""","=""L772""",
"=""213.0762""","=""0.0021""","=""213.0762""","=""0.0004""","=""50r""","=""""",,"=""11202.618""","=""58119.37""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""5/2""",,"=""""","=""L772""",
"=""213.4283""","=""0.0004""","=""213.4282""","=""0.0003""","=""10a""","=""""",,"=""13245.443""","=""60084.83""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.9p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""213.4952""","=""0.0004""","=""213.4950""","=""0.0003""","=""7a""","=""""",,"=""13245.443""","=""60070.17""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.9p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""213.8546""","=""0.0004""","=""213.8549""","=""0.0003""","=""20a""","=""""",,"=""11202.618""","=""57948.568""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.7p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""214.037""","=""0.006""","=""214.021""","=""0.018""","=""1""","=""""",,"=""11202.618""","=""57912.353""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""7/2""",,"=""""","=""L772""",
"=""214.0533""","=""0.0004""","=""214.0538""","=""0.0006""","=""10a""","=""""",,"=""11202.618""","=""57905.117""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""5/2""",,"=""""","=""L4958""",
"=""216.5093""","=""0.0021""","=""216.50934""","=""0.00014""","=""1300r""","=""5.5e+07""",C+,"=""0.000""","=""46172.89""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""*""","=""3/2""",,"=""T7574""","=""L772""",
"=""216.9586""","=""0.0004""","=""216.9587""","=""0.0003""","=""20a""","=""""",,"=""13245.443""","=""59322.72""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.8p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""217.1835""","=""0.0004""","=""217.1837""","=""0.0003""","=""15a""","=""""",,"=""13245.443""","=""59274.99""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.8p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""217.8944""","=""0.0021""","=""217.8949""","=""0.0004""","=""1600r""","=""9.1e+07""",C+,"=""0.000""","=""45879.32""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""3/2""",,"=""T7574""","=""L772""",
"=""218.1720""","=""0.0021""","=""218.1725""","=""0.0008""","=""1700r""","=""9.9e+07""",C+,"=""0.000""","=""45820.94""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""",,"=""T7574""","=""L772""",
"=""219.9583""","=""0.0021""","=""219.9592""","=""0.0010""","=""1700r""","=""""",,"=""11202.618""","=""56651.41""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""",,"=""""","=""L772""",
"=""219.9752""","=""0.0021""","=""219.9753""","=""0.0003""","=""1300r""","=""""",,"=""13245.443""","=""58690.91""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""3/2""",,"=""""","=""L772""",
"=""221.4581""","=""0.0021""","=""221.4591""","=""0.0010""","=""1600r""","=""""",,"=""11202.618""","=""56343.62""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""",,"=""""","=""L772""",
