obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""181.6284""","=""0.0018""","=""181.6282""","=""0.0004""","=""25*""","=""1.6e+08""",D,"=""55371.693""","=""110429.23""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.4s.4p""","=""u 5D*""","=""4""",,"=""c88""","=""L562""",
"=""181.6284""","=""0.0018""","=""181.6311""","=""0.0005""","=""25*""","=""""",,"=""54938.213""","=""109994.87""","=""3d4.4s2""","=""c 5D""","=""1""","=""3d4.4s.4p""","=""u 5D*""","=""1""",,"=""""","=""L562""",
"=""181.652""","=""0.0015""","=""181.65156""","=""0.00016""","=""25""","=""""",,"=""33147.71""","=""88198.16""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(2H).4p""","=""w 3H*""","=""6""",,"=""""","=""L562""",
"=""181.687""","=""0.0015""","=""181.68613""","=""0.00007""","=""10""","=""""",,"=""43370.537""","=""98410.512""","=""3d5.(6S).4p""","=""z 5P*""","=""3""","=""3d5.(6S).6s""","=""5S""","=""2""",,"=""""","=""L562""",
"=""181.691""","=""0.0015""","=""181.69182""","=""0.00010""","=""10""","=""""",,"=""34762.098""","=""89800.35""","=""3d6""","=""b 3G""","=""5""","=""3d5.(b 2F).4p""","=""t 3F*""","=""4""",,"=""""","=""L562""",
"=""181.753""","=""0.002""","=""181.7508""","=""0.0017""","=""150D*""","=""""",,"=""54938.213""","=""109958.6""","=""3d4.4s2""","=""c 5D""","=""1""","=""3d4.4s.4p""","=""u 5D*""","=""0""",,"=""""","=""L562""",
"=""181.753""","=""0.002""","=""181.75331""","=""0.00017""","=""150D*""","=""8.e+07""",D,"=""30523.71""","=""85543.34""","=""3d6""","=""a 3H""","=""6""","=""3d5.(2H).4p""","=""w 3G*""","=""5""",,"=""c88""","=""L562""",
"=""181.838""","=""0.0015""","=""181.83703""","=""0.00013""","=""100""","=""""",,"=""30679.51""","=""85673.81""","=""3d6""","=""a 3H""","=""5""","=""3d5.(2H).4p""","=""w 3G*""","=""4""",,"=""""","=""L562""",
"=""181.962""","=""0.0015""","=""181.9616""","=""0.0003""","=""15""","=""""",,"=""30679.51""","=""85636.17""","=""3d6""","=""a 3H""","=""5""","=""3d5.(2H).4p""","=""y 3I*""","=""6""",,"=""""","=""L562""",
"=""181.975""","=""0.0015""","=""181.9750""","=""0.0003""","=""9""","=""""",,"=""55116.333""","=""110068.93""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.4s.4p""","=""u 5D*""","=""2""",,"=""""","=""L562""",
"=""182.022""","=""0.0015""","=""182.02142""","=""0.00017""","=""50""","=""""",,"=""30796.06""","=""85734.65""","=""3d6""","=""a 3H""","=""4""","=""3d5.(2H).4p""","=""w 3G*""","=""3""",,"=""""","=""L562""",
"=""182.065""","=""0.0015""","=""182.06364""","=""0.00007""","=""9""","=""""",,"=""43484.664""","=""98410.512""","=""3d5.(6S).4p""","=""z 5P*""","=""2""","=""3d5.(6S).6s""","=""5S""","=""2""",,"=""""","=""L562""",
"=""182.2213""","=""0.0018""","=""182.2206""","=""0.0005""","=""30*""","=""3.7e+08""",D,"=""55116.333""","=""109994.87""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.4s.4p""","=""u 5D*""","=""1""",,"=""c88""","=""L562""",
"=""182.2213""","=""0.0018""","=""182.22321""","=""0.00017""","=""30*""","=""""",,"=""30796.06""","=""85673.81""","=""3d6""","=""a 3H""","=""4""","=""3d5.(2H).4p""","=""w 3G*""","=""4""",,"=""""","=""L562""",
"=""182.271""","=""0.0015""","=""182.26945""","=""0.00013""","=""10""","=""""",,"=""30679.51""","=""85543.34""","=""3d6""","=""a 3H""","=""5""","=""3d5.(2H).4p""","=""w 3G*""","=""5""",,"=""""","=""L562""",
"=""182.306""","=""0.0015""","=""182.30431""","=""0.00007""","=""8""","=""""",,"=""43557.175""","=""98410.512""","=""3d5.(6S).4p""","=""z 5P*""","=""1""","=""3d5.(6S).6s""","=""5S""","=""2""",,"=""""","=""L562""",
"=""182.322""","=""0.0015""","=""182.32272""","=""0.00020""","=""1""","=""""",,"=""33147.71""","=""87995.51""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(2H).4p""","=""w 3H*""","=""5""",,"=""""","=""L562""",
"=""182.369""","=""0.0015""","=""182.3689""","=""0.0006""","=""30""","=""3.4e+08""",D,"=""55371.693""","=""110205.6""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.4s.4p""","=""u 5D*""","=""3""",,"=""c88""","=""L562""",
"=""182.522""","=""0.002""","=""182.52202""","=""0.00013""","=""3*""","=""""",,"=""31514.71""","=""86302.62""","=""3d6""","=""a 3F""","=""4""","=""3d5.(4F).4p""","=""v 3D*""","=""3""",,"=""""","=""L562""",
"=""182.522""","=""0.002""","=""182.52419""","=""0.00013""","=""3*""","=""""",,"=""31662.04""","=""86449.30""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4F).4p""","=""3F*""","=""4""",,"=""""","=""L562""",
"=""182.659""","=""0.002""","=""182.65748""","=""0.00017""","=""20*""","=""""",,"=""30796.06""","=""85543.34""","=""3d6""","=""a 3H""","=""4""","=""3d5.(2H).4p""","=""w 3G*""","=""5""",,"=""""","=""L562""",
"=""182.659""","=""0.002""","=""182.65891""","=""0.00020""","=""20*""","=""""",,"=""33248.66""","=""87995.51""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(2H).4p""","=""w 3H*""","=""5""",,"=""""","=""L562""",
"=""182.7076""","=""0.0006""","=""182.7077""","=""0.0004""","=""100""","=""6.5e+08""",C,"=""55697.014""","=""110429.23""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.4s.4p""","=""u 5D*""","=""4""",,"=""c88""","=""L562""",
"=""182.8251""","=""0.0006""","=""182.8246""","=""0.0003""","=""10""","=""3.0e+08""",D,"=""55371.693""","=""110068.93""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.4s.4p""","=""u 5D*""","=""2""",,"=""c88""","=""L562""",
"=""182.943""","=""0.002""","=""182.94107""","=""0.00017""","=""60*""","=""""",,"=""33278.73""","=""87941.14""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(2H).4p""","=""w 3H*""","=""4""",,"=""""","=""L562""",
"=""182.943""","=""0.002""","=""182.94482""","=""0.00013""","=""60*""","=""""",,"=""34910.77""","=""89572.06""","=""3d6""","=""b 3G""","=""4""","=""3d5.(b 2F).4p""","=""t 3F*""","=""3""",,"=""""","=""L562""",
"=""182.975""","=""0.0015""","=""182.97692""","=""0.00023""","=""20""","=""""",,"=""30796.06""","=""85447.76""","=""3d6""","=""a 3H""","=""4""","=""3d5.(2H).4p""","=""y 3I*""","=""5""",,"=""""","=""L562""",
"=""183.015""","=""0.0015""","=""183.01416""","=""0.00010""","=""10""","=""""",,"=""31662.04""","=""86302.62""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4F).4p""","=""v 3D*""","=""3""",,"=""""","=""L562""",
"=""183.105""","=""0.002""","=""183.10919""","=""0.00006""","=""10h""","=""""",,"=""43850.341""","=""98462.563""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d5.(6S).4f""","=""5F*""","=""2""",,"=""""","=""L562""",
"=""183.166""","=""0.0015""","=""183.1663""","=""0.0003""","=""40""","=""""",,"=""27547.26""","=""82142.46""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4F).4p""","=""y 5G*""","=""6""",,"=""""","=""L562""",
"=""183.219""","=""0.0015""","=""183.21813""","=""0.00013""","=""50""","=""""",,"=""33278.73""","=""87858.48""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d5.(a 2G).4p""","=""u 3F*""","=""2""",,"=""""","=""L562""",
