obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""219.72974""","=""0.00014""","=""219.72976""","=""0.00014""","=""800""","=""1.1e+07""",D+,"=""54904.241""","=""100400.48""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d5.(4P).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""219.74032""","=""0.00007""","=""219.740405""","=""0.000011""","=""400""","=""""",,"=""69102.427""","=""114596.462""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d6.(5D).6d""","=""114596""","=""3/2""",,"=""""","=""L18349c139""",
"=""219.866258""","=""0.000016""","=""219.866254""","=""0.000010""","=""22000""","=""8.e+07""",D+,"=""38858.9696""","=""84326.967""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).4d""","=""6P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""219.88596""","=""0.00005""","=""219.885945""","=""0.000012""","=""1100""","=""1.0e+07""",D+,"=""61332.753""","=""106796.679""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""219.89551""","=""0.00018""","=""219.895301""","=""0.000020""","=""190""","=""""",,"=""63465.134""","=""108927.126""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""","=""3d6.(3G).4d""","=""4D""","=""1/2""",,"=""""","=""L18349c139""",
"=""220.0177""","=""0.0005""","=""220.017087""","=""0.000011""","=""270d?""","=""""",,"=""61156.827""","=""106593.657""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d5.4s.(7S).5s""","=""6S""","=""5/2""",,"=""""","=""L18349c143""",
"=""220.02821""","=""0.00004""","=""220.028324""","=""0.000015""","=""9000""","=""1.5e+07""",D+,"=""27620.4033""","=""73054.913""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(1G2).4p""","=""x 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""220.08516""","=""0.00006""","=""220.084931""","=""0.000012""","=""700""","=""4.1e+06""",D,"=""59663.440""","=""105086.265""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(3F2).4d""","=""4P""","=""1/2""",,"=""T6892c83""","=""L18349c148""",
"=""220.09716""","=""0.00008""","=""220.097172""","=""0.000012""","=""500bl(Fe II)*""","=""6.1e+06""",D+,"=""62945.045""","=""108365.344""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""","=""3d6.(3G).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""220.09716""","=""0.00008""","=""220.097331""","=""0.000011""","=""500bl(Fe II)*""","=""""",,"=""60625.446""","=""106045.712""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""","=""3d6.(3H).4d""","=""2H""","=""11/2""",,"=""""","=""L18349c148""",
