obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""180.08273""","=""0.00006""","=""180.082715""","=""0.000007""","=""3600""","=""1.3e+06""",D,"=""54232.201""","=""109762.239""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4I*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.11284""","=""0.00003""","=""180.112841""","=""0.000008""","=""6000""","=""8.e+06""",E,"=""54273.656""","=""109794.406""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.2050""","=""0.0005""","=""180.205146""","=""0.000007""","=""700""","=""3.9e+06""",D,"=""47626.110""","=""103118.421""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""","=""3d6.(5D).6s""","=""4D""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
"=""180.2170""","=""0.0005""","=""180.217253""","=""0.000007""","=""360d?""","=""2.9e+07""",E,"=""54273.656""","=""109762.239""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4I*""","=""11/2""",,"=""T6892c83""","=""L18349c143""",
"=""180.2766""","=""0.0005""","=""180.276753""","=""0.000019""","=""500""","=""""",,"=""58631.623""","=""114101.892""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(3G).5p""","=""4H*""","=""11/2""",,"=""""","=""L18349c143""",
"=""180.3540""","=""0.0002""","=""180.354145""","=""0.000016""","=""2800""","=""6.8e+06""",D+,"=""31483.1979""","=""86929.664""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""180.41653""","=""0.00007""","=""180.416546""","=""0.000007""","=""5000""","=""8.e+06""",D+,"=""46967.4751""","=""102394.764""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).6s""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.46459""","=""0.00010""","=""180.464553""","=""0.000007""","=""3300""","=""6.e+06""",D,"=""47389.809""","=""102802.353""","=""3d6.(5D).4p""","=""z 4P*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.54617""","=""0.00003""","=""180.546142""","=""0.000007""","=""6000""","=""2.6e+07""",E,"=""54232.201""","=""109619.704""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4I*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.5716""","=""0.0002""","=""180.571793""","=""0.000013""","=""1200""","=""4.7e+06""",D,"=""31387.9788""","=""86767.614""","=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""180.7741""","=""0.0005""","=""180.774089""","=""0.000008""","=""3200""","=""""",,"=""7955.3186""","=""63272.981""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""""","=""L18349c144""",
"=""180.8352""","=""0.0002""","=""180.835386""","=""0.000013""","=""1200""","=""""",,"=""20830.5534""","=""76129.465""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""3/2""",,"=""""","=""L18349c140""",
"=""180.8384""","=""0.0005""","=""180.838422""","=""0.000008""","=""600""","=""4.1e+06""",D,"=""54273.656""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""180.84493""","=""0.00003""","=""180.844940""","=""0.000008""","=""6000""","=""2.8e+07""",E,"=""54275.649""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.8698""","=""0.0005""","=""180.869757""","=""0.000008""","=""500""","=""""",,"=""54283.236""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",,"=""""","=""L18349c143""",
"=""180.9157""","=""0.0005""","=""180.915473""","=""0.000008""","=""350bl(Fe II)*""","=""""",,"=""54275.649""","=""109550.081""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(3P2).5p""","=""4D*""","=""7/2""",,"=""""","=""L18349c143""",
"=""180.9157""","=""0.0005""","=""180.915905""","=""0.000008""","=""350bl(Fe II)*""","=""""",,"=""54870.541""","=""110144.841""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(3F2).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c143""",
"=""180.9291""","=""0.0005""","=""180.928813""","=""0.000008""","=""1100""","=""""",,"=""42237.0575""","=""97507.414""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""","=""3d6.(3P2).5s""","=""4P""","=""5/2""",,"=""""","=""L18349c143""",
"=""180.93168""","=""0.00008""","=""180.931823""","=""0.000010""","=""29000""","=""1.7e+08""",D+,"=""21307.999""","=""76577.436""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""180.9945""","=""0.0005""","=""180.99448""","=""0.00010""","=""500d?""","=""2.2e+06""",D,"=""50157.475""","=""105407.78""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
"=""181.0117""","=""0.0005""","=""181.011060""","=""0.000010""","=""250""","=""""",,"=""61093.406""","=""116338.649""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d5.4s.(5S).4d""","=""6D""","=""5/2""",,"=""""","=""L18349c143""",
"=""181.0261""","=""0.0005""","=""181.026274""","=""0.000010""","=""350d?""","=""""",,"=""54904.241""","=""110144.841""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c143""",
"=""181.54116""","=""0.00005""","=""181.541095""","=""0.000010""","=""16000""","=""1.7e+07""",D+,"=""20516.9534""","=""75600.900""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""181.5766""","=""0.0005""","=""181.576591""","=""0.000008""","=""3300""","=""3.3e+06""",D,"=""8391.9554""","=""63465.134""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c144""",
"=""181.6086""","=""0.0005""","=""181.608540""","=""0.000008""","=""500""","=""1.7e+06""",D,"=""46967.4751""","=""102030.965""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).6s""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""181.85202""","=""0.00003""","=""181.852150""","=""0.000008""","=""18000""","=""5.7e+06""",C+,"=""7955.3186""","=""62945.045""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",,"=""T7461""","=""L18349c145""",
"=""181.9643""","=""0.0002""","=""181.964415""","=""0.000013""","=""2900""","=""4.1e+06""",D,"=""31811.814""","=""86767.614""","=""3d7""","=""b 2F""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""182.0480""","=""0.0002""","=""182.047843""","=""0.000017""","=""2600""","=""3.5e+06""",D,"=""31999.049""","=""86929.664""","=""3d7""","=""b 2F""","=""7/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""182.09161""","=""0.00008""","=""182.091617""","=""0.000008""","=""1400""","=""1.6e+06""",D,"=""54232.201""","=""109149.611""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2I*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""182.2135""","=""0.0005""","=""182.212338""","=""0.000008""","=""3300""","=""4.3e+06""",D,"=""8391.9554""","=""63272.981""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c144""",
"=""182.2196""","=""0.0002""","=""182.218973""","=""0.000008""","=""3000bl(Fe II)*""","=""6.e+06""",D,"=""8680.4706""","=""63559.498""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c140""",
"=""182.2196""","=""0.0002""","=""182.219007""","=""0.000020""","=""3000bl(Fe II)*""","=""""",,"=""44929.532""","=""99808.549""","=""3d6.(1F).4s""","=""c 2F""","=""5/2""","=""3d6.(1G1).4p""","=""2G*""","=""7/2""",,"=""""","=""L18349c140""",
"=""182.38711""","=""0.00008""","=""182.386983""","=""0.000010""","=""12000""","=""1.8e+07""",D+,"=""18360.6399""","=""73189.114""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3D).4p""","=""y 2P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""182.3929""","=""0.0005""","=""182.392958""","=""0.000013""","=""2500""","=""2.4e+07""",D+,"=""18360.6399""","=""73187.318""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3D).4p""","=""y 2P*""","=""1/2""",,"=""T6892c83""","=""L18349c143""",
"=""182.4860""","=""0.0005""","=""182.486051""","=""0.000008""","=""170""","=""""",,"=""67516.328""","=""122315.037""","=""3d6.(3G).4p""","=""y 2H*""","=""11/2""","=""3d6.(3H).6s""","=""2H""","=""11/2""",,"=""""","=""L18349c143""",
"=""182.4980""","=""0.0002""","=""182.497948""","=""0.000010""","=""2600""","=""1.7e+06""",D,"=""20805.7632""","=""75600.900""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""182.5329""","=""0.0005""","=""182.532836""","=""0.000008""","=""3300""","=""3.7e+06""",D,"=""8680.4706""","=""63465.134""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c144""",
"=""182.6884""","=""0.0005""","=""182.68778""","=""0.00005""","=""600d?""","=""1.5e+06""",D,"=""44915.057""","=""99653.257""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(1G1).4p""","=""2G*""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
"=""182.6977""","=""0.0005""","=""182.698169""","=""0.000013""","=""7000""","=""""",,"=""38164.220""","=""92899.306""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(3F1).4p""","=""4D*""","=""5/2""",,"=""""","=""L18349c144""",
"=""182.7008""","=""0.0005""","=""182.699940""","=""0.000008""","=""2700d""","=""""",,"=""7955.3186""","=""62689.874""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",,"=""""","=""L18349c143""",
"=""182.72188""","=""0.00007""","=""182.721918""","=""0.000008""","=""2200""","=""1.6e+07""",E,"=""54275.649""","=""109003.621""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""182.8345""","=""0.0002""","=""182.834499""","=""0.000010""","=""3200""","=""2.3e+06""",D,"=""18360.6399""","=""73054.913""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(1G2).4p""","=""x 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c140""",
"=""182.8667""","=""0.0005""","=""182.866161""","=""0.000013""","=""900d?""","=""""",,"=""38214.503""","=""92899.306""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d6.(3F1).4p""","=""4D*""","=""5/2""",,"=""""","=""L18349c143""",
"=""182.8855""","=""0.0005""","=""182.885416""","=""0.000008""","=""7000""","=""3.0e+06""",D,"=""15844.6485""","=""70523.694""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c144""",
"=""182.95942""","=""0.00007""","=""182.959292""","=""0.000008""","=""1200""","=""""",,"=""54275.649""","=""108932.616""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(3P2).5p""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""182.98472""","=""0.00004""","=""182.984693""","=""0.000008""","=""3300""","=""8.e+06""",D,"=""54283.236""","=""108932.616""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3P2).5p""","=""2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""182.9881""","=""0.0005""","=""182.988647""","=""0.000010""","=""1000d?""","=""""",,"=""36252.931""","=""90901.130""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""","=""3d6.(5D).5p""","=""4P*""","=""5/2""",,"=""""","=""L18349c143""",
"=""183.026393""","=""0.000009""","=""183.026396""","=""0.000010""","=""32000""","=""5.2e+08""",B+,"=""52582.850""","=""107219.778""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.0401""","=""0.0005""","=""183.039639""","=""0.000010""","=""400d?""","=""2.7e+06""",D,"=""54273.656""","=""108906.631""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""183.046314""","=""0.000012""","=""183.046316""","=""0.000008""","=""12000""","=""5.0e+08""",D,"=""54275.649""","=""108906.631""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.07182""","=""0.00005""","=""183.071741""","=""0.000008""","=""2700""","=""7.e+07""",E,"=""54283.236""","=""108906.631""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4H*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.0885""","=""0.0005""","=""183.088650""","=""0.000008""","=""3400""","=""3.4e+06""",D,"=""8846.7837""","=""63465.134""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c144""",
"=""183.12652""","=""0.00016""","=""183.126434""","=""0.000010""","=""12000""","=""2.6e+07""",D+,"=""21307.999""","=""75915.080""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.16594""","=""0.00007""","=""183.165950""","=""0.000008""","=""2600""","=""7.e+07""",E,"=""54273.656""","=""108868.956""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.17545""","=""0.00003""","=""183.175310""","=""0.000008""","=""5000""","=""3.1e+06""",D,"=""8680.4706""","=""63272.981""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
"=""183.198090""","=""0.000014""","=""183.198096""","=""0.000008""","=""9000""","=""4.6e+08""",D,"=""54283.236""","=""108868.956""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3H).5p""","=""4H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.22534""","=""0.00004""","=""183.225322""","=""0.000008""","=""2900""","=""5.e+07""",E,"=""54232.201""","=""108809.810""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(4G).4s.(5G).4p""","=""4H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.2422""","=""0.0005""","=""183.242308""","=""0.000008""","=""170?""","=""""",,"=""68000.785""","=""122573.335""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""","=""3d6.(3H).6s""","=""2H""","=""9/2""",,"=""""","=""L18349c143""",
"=""183.2500""","=""0.0005""","=""183.249999""","=""0.000008""","=""3200""","=""""",,"=""8391.9554""","=""62962.215""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",,"=""""","=""L18349c144""",
"=""183.3075""","=""0.0005""","=""183.307675""","=""0.000008""","=""3200""","=""5.e+05""",D,"=""8391.9554""","=""62945.045""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",,"=""T7461""","=""L18349c144""",
"=""183.4753""","=""0.0005""","=""183.475331""","=""0.000008""","=""500""","=""2.6e+07""",E,"=""54275.649""","=""108778.889""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
"=""183.496472""","=""0.000009""","=""183.496471""","=""0.000008""","=""27000""","=""4.5e+08""",E,"=""54232.201""","=""108729.162""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4H*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.54163""","=""0.00007""","=""183.541769""","=""0.000010""","=""9000""","=""4.4e+07""",D+,"=""31999.049""","=""86482.560""","=""3d7""","=""b 2F""","=""7/2""","=""3d6.(1F).4p""","=""u 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.58740""","=""0.00003""","=""183.587378""","=""0.000008""","=""30000""","=""2.2e+07""",D+,"=""15844.6485""","=""70314.624""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.6064""","=""0.0005""","=""183.60549""","=""0.00017""","=""500d?""","=""""",,"=""48039.109""","=""102503.71""","=""3d7""","=""d 2D1""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2D*""","=""3/2""",,"=""""","=""L18349c143""",
"=""183.7114""","=""0.0005""","=""183.711789""","=""0.000014""","=""900d?""","=""""",,"=""38214.503""","=""92647.591""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d6.(3F1).4p""","=""4D*""","=""3/2""",,"=""""","=""L18349c143""",
"=""183.8056""","=""0.0005""","=""183.805899""","=""0.000008""","=""260d?""","=""""",,"=""60625.446""","=""115030.664""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c143""",
"=""183.94616""","=""0.00003""","=""183.946212""","=""0.000014""","=""2000""","=""""",,"=""61974.931""","=""116338.649""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(5S).4d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""183.956092""","=""0.000019""","=""183.956086""","=""0.000017""","=""3200""","=""""",,"=""61974.931""","=""116335.731""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(5S).4d""","=""6D""","=""3/2""",,"=""""","=""L18349c139""",
"=""183.96465""","=""0.00002""","=""183.964648""","=""0.000020""","=""2300""","=""""",,"=""61974.931""","=""116333.201""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(5S).4d""","=""6D""","=""1/2""",,"=""""","=""L18349c139""",
"=""183.97531""","=""0.00003""","=""183.975333""","=""0.000010""","=""6000""","=""2.9e+07""",E,"=""52299.810""","=""106654.923""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""5/2""","=""3d5.4s.(7S).4d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""183.980702""","=""0.000020""","=""183.980704""","=""0.000008""","=""6000""","=""4.2e+08""",E,"=""54275.649""","=""108629.175""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4G*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.000031""","=""0.000018""","=""184.000034""","=""0.000008""","=""7000""","=""3.0e+08""",E,"=""54283.236""","=""108631.052""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.03041""","=""0.00006""","=""184.030364""","=""0.000008""","=""1600""","=""6.e+06""",E,"=""54232.201""","=""108571.060""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.1548""","=""0.0005""","=""184.154123""","=""0.000014""","=""9000""","=""3.8e+06""",D,"=""18886.773""","=""73189.114""","=""3d7""","=""a 2P""","=""1/2""","=""3d6.(3D).4p""","=""y 2P*""","=""3/2""",,"=""T6892c83""","=""L18349c144""",
"=""184.16035""","=""0.00012""","=""184.160214""","=""0.000014""","=""9000""","=""3.1e+07""",D+,"=""18886.773""","=""73187.318""","=""3d7""","=""a 2P""","=""1/2""","=""3d6.(3D).4p""","=""y 2P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.16898""","=""0.00014""","=""184.169122""","=""0.000008""","=""4000""","=""5.e+06""",D,"=""8391.9554""","=""62689.874""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.170876""","=""0.000016""","=""184.170868""","=""0.000008""","=""9000""","=""2.8e+08""",E,"=""54273.656""","=""108571.060""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.18292""","=""0.00004""","=""184.182933""","=""0.000010""","=""3000""","=""""",,"=""52299.810""","=""106593.657""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""5/2""","=""3d5.4s.(7S).5s""","=""6S""","=""5/2""",,"=""""","=""L18349c139""",
"=""184.185012""","=""0.000015""","=""184.185020""","=""0.000014""","=""4000""","=""""",,"=""62049.042""","=""116342.274""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d5.4s.(5S).4d""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""184.19729""","=""0.00002""","=""184.197318""","=""0.000014""","=""2800""","=""""",,"=""62049.042""","=""116338.649""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d5.4s.(5S).4d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""184.20342""","=""0.00006""","=""184.203368""","=""0.000008""","=""2300""","=""4.2e+07""",E,"=""54283.236""","=""108571.060""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3H).5p""","=""4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.20722""","=""0.00003""","=""184.207219""","=""0.000017""","=""1800""","=""""",,"=""62049.042""","=""116335.731""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d5.4s.(5S).4d""","=""6D""","=""3/2""",,"=""""","=""L18349c139""",
"=""184.2238""","=""0.0005""","=""184.223999""","=""0.000008""","=""3300""","=""3.0e+06""",D,"=""8680.4706""","=""62962.215""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c144""",
"=""184.2408""","=""0.0005""","=""184.240964""","=""0.000014""","=""240d?""","=""""",,"=""62065.528""","=""116342.274""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d5.4s.(5S).4d""","=""6D""","=""7/2""",,"=""""","=""L18349c143""",
"=""184.28483""","=""0.00003""","=""184.284838""","=""0.000008""","=""5000""","=""8.e+06""",E,"=""54275.649""","=""108539.473""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.31064""","=""0.00003""","=""184.310607""","=""0.000008""","=""3000""","=""3.4e+07""",E,"=""54283.236""","=""108539.473""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.32041""","=""0.00003""","=""184.320449""","=""0.000010""","=""6000""","=""4.3e+07""",D+,"=""52582.850""","=""106836.190""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.326091""","=""0.000014""","=""184.326103""","=""0.000008""","=""11000""","=""2.3e+08""",E,"=""54232.201""","=""108483.877""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.34883""","=""0.00003""","=""184.348832""","=""0.000008""","=""5000""","=""3.0e+07""",E,"=""54273.656""","=""108518.643""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.35559""","=""0.00003""","=""184.355605""","=""0.000008""","=""3000""","=""5.e+06""",D,"=""54275.649""","=""108518.643""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.381389""","=""0.000017""","=""184.381395""","=""0.000008""","=""7000""","=""3.6e+07""",E,"=""54283.236""","=""108518.643""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.431035""","=""0.000015""","=""184.431060""","=""0.000010""","=""12000""","=""8.e+06""",E,"=""52299.810""","=""106520.612""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""5/2""","=""3d5.4s.(7S).4d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.46708""","=""0.00005""","=""184.467058""","=""0.000008""","=""2200""","=""2.3e+07""",E,"=""54273.656""","=""108483.877""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.4922""","=""0.0005""","=""184.492289""","=""0.000008""","=""3000""","=""""",,"=""7955.3186""","=""62158.126""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""",,"=""""","=""L18349c144""",
