obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""242.663""","=""0.006""","=""242.661""","=""0.004""","=""3700""","=""""",,"=""32501.3990""","=""73698.6""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.10s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""242.710""","=""0.020""","=""242.709""","=""0.010""","=""*""","=""""",,"=""32311.3176""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7f""","=""3F*""","=""2""",E2,"=""""","=""L18491""",
"=""242.710""","=""0.020""","=""242.709""","=""0.010""","=""*""","=""""",,"=""32311.3176""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7f""","=""3F*""","=""3""",HF,"=""""","=""L18491""",
"=""242.710""","=""0.020""","=""242.709""","=""0.010""","=""*""","=""""",,"=""32311.3176""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""242.860""","=""0.020""","=""242.86170""","=""0.00013""","=""*""","=""""",,"=""32890.3267""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""4""",E2,"=""""","=""L18491""",
"=""242.860""","=""0.020""","=""242.86170""","=""0.00014""","=""*""","=""""",,"=""32890.3267""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""242.860""","=""0.020""","=""242.86170""","=""0.00013""","=""*""","=""""",,"=""32890.3267""","=""74053.531""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8h""","=""(1/2,11/2)*""","=""6""",HF,"=""""","=""L18491""",
"=""242.930""","=""0.020""","=""242.939""","=""0.011""","=""*""","=""""",,"=""32890.3267""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8g""","=""3G""","=""3""",,"=""""","=""L18491""",
"=""242.930""","=""0.020""","=""242.939""","=""0.011""","=""*""","=""""",,"=""32890.3267""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""242.930""","=""0.020""","=""242.939""","=""0.011""","=""*""","=""""",,"=""32890.3267""","=""74040.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""243.030""","=""0.020""","=""243.030""","=""0.018""","=""""","=""""",,"=""32890.3267""","=""74025""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8f""","=""3F*""","=""""",E2,"=""""","=""L18491""",
"=""243.079""","=""0.006""","=""243.086""","=""0.004""","=""3800""","=""""",,"=""32890.3267""","=""74015.5""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9d""","=""3D""","=""3""",,"=""""","=""L3428""",
"=""243.380""","=""0.020""","=""243.3891""","=""0.0009""","=""*""","=""""",,"=""32890.3267""","=""73964.34""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.10p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""243.63""","=""0.04""","=""243.66918""","=""0.00008""","=""*""","=""""",,"=""32501.3990""","=""73528.205""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7h""","=""(1/2,9/2)*""","=""4""",HF,"=""""","=""L18491""",
"=""243.63""","=""0.04""","=""243.66918""","=""0.00008""","=""*""","=""""",,"=""32501.3990""","=""73528.205""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""243.63""","=""0.04""","=""243.66918""","=""0.00008""","=""*""","=""""",,"=""32501.3990""","=""73528.205""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7h""","=""(1/2,11/2)*""","=""6""",HF,"=""""","=""L18491""",
"=""243.840""","=""0.015""","=""243.834""","=""0.010""","=""*""","=""""",,"=""32501.3990""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7f""","=""3F*""","=""3""",E2,"=""""","=""L18491""",
"=""243.840""","=""0.015""","=""243.834""","=""0.010""","=""*""","=""""",,"=""32501.3990""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""243.840""","=""0.015""","=""243.834""","=""0.010""","=""*""","=""""",,"=""32501.3990""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""244.011""","=""0.006""","=""244.009""","=""0.004""","=""40000""","=""""",,"=""32501.3990""","=""73471.0""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8d""","=""3D""","=""2""",,"=""""","=""L3428""",
"=""244.480""","=""0.020""","=""244.4759""","=""0.0007""","=""""","=""""",,"=""32501.3990""","=""73392.83""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.9p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""244.972""","=""0.006""","=""244.974""","=""0.004""","=""4200""","=""""",,"=""32890.3267""","=""73698.6""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.10s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""245.780""","=""0.006""","=""245.782""","=""0.004""","=""4300r""","=""""",,"=""32311.3176""","=""72985.4""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.9s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""245.840""","=""0.020""","=""245.839""","=""0.018""","=""*""","=""""",,"=""32890.3267""","=""73555""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7i""","=""(1/2,11/2)""","=""5""",HF,"=""""","=""L18491""",
"=""245.840""","=""0.020""","=""245.839""","=""0.018""","=""*""","=""""",,"=""32890.3267""","=""73555""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7i""","=""(1/2,11/2)""","=""6""",HF,"=""""","=""L18491""",
"=""245.840""","=""0.020""","=""245.839""","=""0.018""","=""*""","=""""",,"=""32890.3267""","=""73555""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7i""","=""(1/2,13/2)""","=""7""",HF,"=""""","=""L18491""",
"=""246.160""","=""0.020""","=""246.170""","=""0.010""","=""*""","=""""",,"=""32890.3267""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7f""","=""3F*""","=""4""",E2,"=""""","=""L18491""",
"=""246.160""","=""0.020""","=""246.170""","=""0.010""","=""*""","=""""",,"=""32890.3267""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""246.160""","=""0.020""","=""246.170""","=""0.010""","=""*""","=""""",,"=""32890.3267""","=""73500.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7f""","=""3F*""","=""3""",M1+E2,"=""""","=""L18491""",
"=""246.347""","=""0.006""","=""246.348""","=""0.004""","=""46000""","=""""",,"=""32890.3267""","=""73471.0""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8d""","=""3D""","=""3""",,"=""""","=""L3428""",
"=""246.815""","=""0.008""","=""246.8054""","=""0.0010""","=""*""","=""""",,"=""32890.3267""","=""73395.84""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9p""","=""3P*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""246.815""","=""0.008""","=""246.8237""","=""0.0007""","=""*""","=""""",,"=""32890.3267""","=""73392.83""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""246.938""","=""0.006""","=""246.937""","=""0.004""","=""13000r""","=""""",,"=""32501.3990""","=""72985.4""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.9s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""247.463""","=""0.015""","=""247.43205""","=""0.00008""","=""*""","=""""",,"=""32311.3176""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6g""","=""3G""","=""3""",HF,"=""""","=""L18491""",
"=""247.463""","=""0.015""","=""247.43205""","=""0.00009""","=""*""","=""""",,"=""32311.3176""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""247.463""","=""0.015""","=""247.43205""","=""0.00009""","=""*""","=""""",,"=""32311.3176""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""247.585""","=""0.015""","=""247.55500""","=""0.00013""","=""*""","=""""",,"=""32311.3176""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""247.585""","=""0.015""","=""247.5550""","=""0.0012""","=""*""","=""""",,"=""32311.3176""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6f""","=""3F*""","=""2""",E2,"=""""","=""L18491""",
"=""247.585""","=""0.015""","=""247.5550""","=""0.0018""","=""*""","=""""",,"=""32311.3176""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6f""","=""3F*""","=""3""",HF,"=""""","=""L18491""",
"=""247.974""","=""0.006""","=""247.974""","=""0.004""","=""50000""","=""""",,"=""32311.3176""","=""72626.0""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7d""","=""3D""","=""1""",,"=""""","=""L3428""",
"=""248.50""","=""0.08""","=""248.57339""","=""0.00009""","=""*""","=""""",,"=""32501.3990""","=""72718.827""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6h""","=""(1/2,9/2)*""","=""4""",HF,"=""""","=""L18491""",
"=""248.50""","=""0.08""","=""248.57339""","=""0.00010""","=""*""","=""""",,"=""32501.3990""","=""72718.827""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""248.50""","=""0.08""","=""248.57339""","=""0.00010""","=""*""","=""""",,"=""32501.3990""","=""72718.827""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6h""","=""(1/2,11/2)*""","=""6""",HF,"=""""","=""L18491""",
"=""248.630""","=""0.020""","=""248.60172""","=""0.00008""","=""*""","=""""",,"=""32501.3990""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6g""","=""3G""","=""3""",HF,"=""""","=""L18491""",
"=""248.630""","=""0.020""","=""248.60172""","=""0.00009""","=""*""","=""""",,"=""32501.3990""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""248.630""","=""0.020""","=""248.60172""","=""0.00009""","=""*""","=""""",,"=""32501.3990""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""248.755""","=""0.020""","=""248.7258""","=""0.0019""","=""*""","=""""",,"=""32501.3990""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6f""","=""3F*""","=""3""",E2,"=""""","=""L18491""",
"=""248.755""","=""0.020""","=""248.7258""","=""0.0012""","=""*""","=""""",,"=""32501.3990""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""248.755""","=""0.020""","=""248.72583""","=""0.00013""","=""*""","=""""",,"=""32501.3990""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""248.755""","=""0.020""","=""248.7588""","=""0.0007""","=""*""","=""""",,"=""32311.3176""","=""72498.78""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""249.148""","=""0.006""","=""249.148""","=""0.004""","=""150000""","=""""",,"=""32501.3990""","=""72626.0""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7d""","=""3D""","=""2""",,"=""""","=""L3428""",
"=""249.332""","=""0.006""","=""249.332""","=""0.004""","=""56000u""","=""""",,"=""32890.3267""","=""72985.4""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.9s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""249.950""","=""0.008""","=""249.9410""","=""0.0007""","=""*""","=""""",,"=""32501.3990""","=""72498.78""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""249.950""","=""0.008""","=""249.9596""","=""0.0010""","=""*""","=""""",,"=""32501.3990""","=""72495.80""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8p""","=""3P*""","=""0""",M1+E2,"=""""","=""L18491""",
"=""250.92""","=""0.08""","=""251.00090""","=""0.00009""","=""*""","=""""",,"=""32890.3267""","=""72718.827""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6h""","=""(1/2,9/2)*""","=""4""",E2,"=""""","=""L18491""",
"=""250.92""","=""0.08""","=""251.00090""","=""0.00010""","=""*""","=""""",,"=""32890.3267""","=""72718.827""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6h""","=""(1/2,9/2)*""","=""5""",HF,"=""""","=""L18491""",
"=""250.92""","=""0.08""","=""251.00090""","=""0.00010""","=""*""","=""""",,"=""32890.3267""","=""72718.827""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6h""","=""(1/2,11/2)*""","=""6""",HF,"=""""","=""L18491""",
"=""251.048""","=""0.015""","=""251.02978""","=""0.00008""","=""*""","=""""",,"=""32890.3267""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6g""","=""3G""","=""3""",,"=""""","=""L18491""",
"=""251.048""","=""0.015""","=""251.02978""","=""0.00009""","=""*""","=""""",,"=""32890.3267""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""251.048""","=""0.015""","=""251.02978""","=""0.00009""","=""*""","=""""",,"=""32890.3267""","=""72714.245""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""251.165""","=""0.015""","=""251.1563""","=""0.0013""","=""*""","=""""",,"=""32890.3267""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""251.165""","=""0.015""","=""251.1563""","=""0.0019""","=""*""","=""""",,"=""32890.3267""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6f""","=""3F*""","=""3""",M1+E2,"=""""","=""L18491""",
"=""251.165""","=""0.015""","=""251.15633""","=""0.00013""","=""*""","=""""",,"=""32890.3267""","=""72694.18""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6f""","=""3F*""","=""4""",E2,"=""""","=""L18491""",
"=""251.5807""","=""0.0021""","=""251.5807""","=""0.0019""","=""180000""","=""""",,"=""32890.3267""","=""72627.05""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7d""","=""3D""","=""3""",,"=""""","=""L3284""",
"=""252.365""","=""0.004""","=""252.3612""","=""0.0010""","=""""","=""""",,"=""32890.3267""","=""72504.16""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8p""","=""3P*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""253.009""","=""0.006""","=""253.012""","=""0.003""","=""19000r""","=""""",,"=""32311.3176""","=""71823.3""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.8s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""254.232""","=""0.006""","=""254.235""","=""0.003""","=""210000r""","=""""",,"=""32501.3990""","=""71823.3""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.8s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""256.174""","=""0.015""","=""256.17140""","=""0.00009""","=""23000*""","=""""",,"=""32311.3176""","=""71335.981""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""256.174""","=""0.015""","=""256.17218""","=""0.00007""","=""23000*""","=""""",,"=""32311.3176""","=""71335.863""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5f""","=""3F*""","=""3""",HF,"=""""","=""L18491""",
"=""256.174""","=""0.015""","=""256.17229""","=""0.00010""","=""23000*""","=""""",,"=""32311.3176""","=""71335.845""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5f""","=""3F*""","=""2""",E2,"=""""","=""L18491""",
"=""256.780""","=""0.006""","=""256.775""","=""0.003""","=""250000r""","=""""",,"=""32890.3267""","=""71823.3""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.8s""","=""3S""","=""1""",,"=""""","=""L3428""",
"=""256.986986""","=""0.000014""","=""256.986990""","=""0.000011""","=""480000""","=""""",,"=""32311.3176""","=""71212.1380""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6d""","=""3D""","=""1""",,"=""""","=""L9761""",
"=""257.175""","=""0.015""","=""257.20506""","=""0.00007""","=""*""","=""""",,"=""32501.3990""","=""71369.240""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5g""","=""3G""","=""3""",HF,"=""""","=""L18491""",
"=""257.175""","=""0.015""","=""257.20506""","=""0.00008""","=""*""","=""""",,"=""32501.3990""","=""71369.240""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5g""","=""3G""","=""4""",HF,"=""""","=""L18491""",
"=""257.175""","=""0.015""","=""257.20506""","=""0.00008""","=""*""","=""""",,"=""32501.3990""","=""71369.240""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5g""","=""3G""","=""5""",HF,"=""""","=""L18491""",
"=""257.427""","=""0.015""","=""257.42535""","=""0.00009""","=""25000*""","=""""",,"=""32501.3990""","=""71335.981""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""257.427""","=""0.015""","=""257.42613""","=""0.00007""","=""25000*""","=""""",,"=""32501.3990""","=""71335.863""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5f""","=""3F*""","=""3""",E2,"=""""","=""L18491""",
"=""257.427""","=""0.015""","=""257.42625""","=""0.00010""","=""25000*""","=""""",,"=""32501.3990""","=""71335.845""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""258.202""","=""0.004""","=""258.20322""","=""0.00005""","=""""","=""""",,"=""32501.3990""","=""71218.994""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""1P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""258.243383""","=""0.000014""","=""258.243375""","=""0.000010""","=""810000""","=""""",,"=""32501.3990""","=""71212.9743""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6d""","=""3D""","=""2""",,"=""""","=""L9761""",
"=""258.248954""","=""0.000015""","=""258.248954""","=""0.000011""","=""220000""","=""""",,"=""32501.3990""","=""71212.1380""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6d""","=""3D""","=""1""",,"=""""","=""L9761""",
"=""258.525""","=""0.004""","=""258.51580""","=""0.00006""","=""""","=""""",,"=""32311.3176""","=""70982.101""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""258.545""","=""0.004""","=""258.54747""","=""0.00011""","=""""","=""""",,"=""32311.3176""","=""70977.365""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7p""","=""3P*""","=""0""",M1+E2,"=""""","=""L18491""",
"=""259.725""","=""0.004""","=""259.72399""","=""0.00007""","=""""","=""""",,"=""32501.3990""","=""70992.304""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""3P*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""259.793""","=""0.004""","=""259.79286""","=""0.00006""","=""""","=""""",,"=""32501.3990""","=""70982.101""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""259.830""","=""0.004""","=""259.82484""","=""0.00011""","=""""","=""""",,"=""32501.3990""","=""70977.365""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7p""","=""3P*""","=""0""",M1+E2,"=""""","=""L18491""",
"=""260.032""","=""0.015""","=""260.02970""","=""0.00009""","=""28000*""","=""""",,"=""32890.3267""","=""71335.981""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5f""","=""3F*""","=""4""",E2,"=""""","=""L18491""",
"=""260.032""","=""0.015""","=""260.03050""","=""0.00007""","=""28000*""","=""""",,"=""32890.3267""","=""71335.863""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5f""","=""3F*""","=""3""",M1+E2,"=""""","=""L18491""",
"=""260.032""","=""0.015""","=""260.03062""","=""0.00010""","=""28000*""","=""""",,"=""32890.3267""","=""71335.845""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""260.855756""","=""0.000014""","=""260.855754""","=""0.000013""","=""1300000""","=""""",,"=""32890.3267""","=""71214.2430""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6d""","=""3D""","=""3""",,"=""""","=""L9761""",
"=""260.864388""","=""0.000015""","=""260.864390""","=""0.000010""","=""400000""","=""""",,"=""32890.3267""","=""71212.9743""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6d""","=""3D""","=""2""",,"=""""","=""L9761""",
"=""260.87000""","=""0.00014""","=""260.870084""","=""0.000012""","=""15000""","=""""",,"=""32890.3267""","=""71212.1380""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.6d""","=""3D""","=""1""",,"=""""","=""L9761""",
"=""262.379""","=""0.004""","=""262.37530""","=""0.00008""","=""11000""","=""""",,"=""32890.3267""","=""70992.304""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7p""","=""3P*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""262.450""","=""0.004""","=""262.44558""","=""0.00006""","=""""","=""""",,"=""32890.3267""","=""70982.101""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7p""","=""3P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""267.05285""","=""0.00003""","=""267.052858""","=""0.000012""","=""170000""","=""""",,"=""32311.3176""","=""69745.9590""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.7s""","=""3S""","=""1""",,"=""""","=""L9761""",
"=""268.415867""","=""0.000017""","=""268.415867""","=""0.000012""","=""430000""","=""""",,"=""32501.3990""","=""69745.9590""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.7s""","=""3S""","=""1""",,"=""""","=""L9761""",
"=""271.248550""","=""0.000016""","=""271.248547""","=""0.000012""","=""520000""","=""""",,"=""32890.3267""","=""69745.9590""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.7s""","=""3S""","=""1""",,"=""""","=""L9761""",
"=""273.720""","=""0.015""","=""273.72132""","=""0.00006""","=""30000*""","=""""",,"=""32311.3176""","=""68834.017""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.4f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""273.720""","=""0.015""","=""273.72252""","=""0.00010""","=""30000*""","=""""",,"=""32311.3176""","=""68833.858""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.4f""","=""3F*""","=""3""",HF,"=""""","=""L18491""",
"=""273.720""","=""0.015""","=""273.72290""","=""0.00008""","=""30000*""","=""""",,"=""32311.3176""","=""68833.807""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.4f""","=""3F*""","=""2""",E2,"=""""","=""L18491""",
"=""275.154""","=""0.015""","=""275.15343""","=""0.00006""","=""29000*""","=""""",,"=""32501.3990""","=""68834.017""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.4f""","=""3F*""","=""4""",HF,"=""""","=""L18491""",
"=""275.154""","=""0.015""","=""275.15463""","=""0.00010""","=""29000*""","=""""",,"=""32501.3990""","=""68833.858""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.4f""","=""3F*""","=""3""",E2,"=""""","=""L18491""",
"=""275.154""","=""0.015""","=""275.15502""","=""0.00008""","=""29000*""","=""""",,"=""32501.3990""","=""68833.807""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.4f""","=""3F*""","=""2""",M1+E2,"=""""","=""L18491""",
"=""275.440""","=""0.004""","=""275.43170""","=""0.00005""","=""""","=""""",,"=""32311.3176""","=""68607.231""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.6p""","=""1P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""275.645044""","=""0.000015""","=""275.645041""","=""0.000011""","=""540000""","=""""",,"=""32311.3176""","=""68579.1399""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5d""","=""3D""","=""1""",,"=""""","=""L9761""",
"=""276.885""","=""0.004""","=""276.88180""","=""0.00005""","=""""","=""""",,"=""32501.3990""","=""68607.231""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.6p""","=""1P*""","=""1""",M1+E2,"=""""","=""L18491""",
"=""277.085377""","=""0.000015""","=""277.085375""","=""0.000012""","=""1000000""","=""""",,"=""32501.3990""","=""68580.7053""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5d""","=""3D""","=""2""",,"=""""","=""L9761""",
"=""277.097397""","=""0.000015""","=""277.097398""","=""0.000011""","=""580000""","=""""",,"=""32501.3990""","=""68579.1399""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5d""","=""3D""","=""1""",,"=""""","=""L9761""",
"=""278.130""","=""0.015""","=""278.13088""","=""0.00006""","=""97000*""","=""""",,"=""32890.3267""","=""68834.017""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.4f""","=""3F*""","=""4""",E2,"=""""","=""L18491""",
"=""278.130""","=""0.015""","=""278.13211""","=""0.00010""","=""97000*""","=""""",,"=""32890.3267""","=""68833.858""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.4f""","=""3F*""","=""3""",M1+E2,"=""""","=""L18491""",
