obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""457.624""","=""0.004""","=""457.623""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75518.17""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.23p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""458.167""","=""0.004""","=""458.167""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75492.25""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.22p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""458.795""","=""0.004""","=""458.796""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75462.30""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.21p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""459.542""","=""0.004""","=""459.541""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75426.98""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.20p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""460.422""","=""0.004""","=""460.423""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75385.31""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.19p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""461.483""","=""0.004""","=""461.482""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75335.49""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.18p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""462.769""","=""0.004""","=""462.768""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75275.27""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.17p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""462.980810""","=""0.000022""","=""462.980809""","=""0.000022""","=""390000""","=""""",,"=""46745.4032""","=""68338.5233""","=""3d10.4s.4p""","=""1P*""","=""1""","=""3d10.4s.5d""","=""1D""","=""2""",,"=""""","=""L9761""",
"=""464.351""","=""0.004""","=""464.351""","=""0.003""","=""""","=""""",,"=""53672.2398""","=""75201.65""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.16p""","=""1P*""","=""1""",,"=""""","=""L13951""",
"=""466.559""","=""0.004""","=""466.559""","=""0.004""","=""""","=""""",,"=""53672.2398""","=""75099.76""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.15p""","=""3P*""","=""2""",,"=""""","=""L13951""",
"=""468.013590""","=""0.000022""","=""468.013589""","=""0.000020""","=""540000""","=""""",,"=""32311.3176""","=""53672.2398""","=""3d10.4s.4p""","=""3P*""","=""0""","=""3d10.4s.5s""","=""3S""","=""1""",,"=""""","=""L9761""",
"=""469.143""","=""0.004""","=""469.143""","=""0.004""","=""""","=""""",,"=""53672.2398""","=""74981.74""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.14p""","=""3P*""","=""2""",,"=""""","=""L13951""",
"=""472.215690""","=""0.000022""","=""472.215691""","=""0.000018""","=""1000000""","=""""",,"=""32501.3990""","=""53672.2398""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5s""","=""3S""","=""1""",,"=""""","=""L9761""",
"=""472.527""","=""0.004""","=""472.527""","=""0.004""","=""""","=""""",,"=""53672.2398""","=""74829.13""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.13p""","=""3P*""","=""2""",,"=""""","=""L13951""",
"=""477.071""","=""0.005""","=""477.071""","=""0.005""","=""""","=""""",,"=""53672.2398""","=""74627.62""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.12p""","=""3P*""","=""2""",,"=""""","=""L13951""",
"=""481.053210""","=""0.000023""","=""481.053206""","=""0.000019""","=""1100000""","=""""",,"=""32890.3267""","=""53672.2398""","=""3d10.4s.4p""","=""3P*""","=""2""","=""3d10.4s.5s""","=""3S""","=""1""",,"=""""","=""L9761""",
"=""506.865""","=""0.004""","=""506.866""","=""0.004""","=""77000""","=""""",,"=""53672.2398""","=""73395.84""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.9p""","=""3P*""","=""2""",,"=""""","=""L3284""",
"=""506.950""","=""0.004""","=""506.943""","=""0.003""","=""21000""","=""""",,"=""53672.2398""","=""73392.83""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.9p""","=""3P*""","=""1""",,"=""""","=""L3284""",
"=""506.998""","=""0.006""","=""506.998""","=""0.006""","=""3300""","=""""",,"=""53672.2398""","=""73390.69""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.9p""","=""3P*""","=""0""",,"=""""","=""L3428""",
"=""518.19819""","=""0.00006""","=""518.19819""","=""0.00006""","=""120000""","=""""",,"=""46745.4032""","=""66037.6663""","=""3d10.4s.4p""","=""1P*""","=""1""","=""3d10.4s.6s""","=""1S""","=""0""",,"=""""","=""L9761""",
"=""530.864""","=""0.004""","=""530.866""","=""0.004""","=""380000""","=""""",,"=""53672.2398""","=""72504.16""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.8p""","=""3P*""","=""2""",,"=""""","=""L3284""",
"=""531.024""","=""0.004""","=""531.017""","=""0.003""","=""160000""","=""""",,"=""53672.2398""","=""72498.78""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.8p""","=""3P*""","=""1""",,"=""""","=""L3284""",
"=""531.102""","=""0.004""","=""531.101""","=""0.005""","=""56000""","=""""",,"=""53672.2398""","=""72495.80""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.8p""","=""3P*""","=""0""",,"=""""","=""L3284""",
"=""577.210""","=""0.005""","=""577.2050""","=""0.0004""","=""490000""","=""""",,"=""53672.2398""","=""70992.304""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.7p""","=""3P*""","=""2""",,"=""""","=""L3284""",
"=""577.550""","=""0.005""","=""577.5452""","=""0.0003""","=""210000""","=""""",,"=""53672.2398""","=""70982.101""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.7p""","=""3P*""","=""1""",,"=""""","=""L3284""",
"=""577.711""","=""0.005""","=""577.7033""","=""0.0006""","=""85000""","=""""",,"=""53672.2398""","=""70977.365""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.7p""","=""3P*""","=""0""",,"=""""","=""L3284""",
"=""623.7896""","=""0.0003""","=""623.78967""","=""0.00012""","=""93000""","=""""",,"=""46745.4032""","=""62772.0144""","=""3d10.4s.4p""","=""1P*""","=""1""","=""3d10.4s.4d""","=""3D""","=""2""",,"=""""","=""L4741,L3284""",
"=""623.9169""","=""0.0003""","=""623.91690""","=""0.00012""","=""38000""","=""""",,"=""46745.4032""","=""62768.7462""","=""3d10.4s.4p""","=""1P*""","=""1""","=""3d10.4s.4d""","=""3D""","=""1""",,"=""""","=""L4741,L3284""",
"=""636.23458""","=""0.00004""","=""636.23458""","=""0.00004""","=""240000""","=""4.7e+07""",C,"=""46745.4032""","=""62458.5323""","=""3d10.4s.4p""","=""1P*""","=""1""","=""3d10.4s.4d""","=""1D""","=""2""",,"=""T2177""","=""L9761""",
"=""647.9184""","=""0.0003""","=""647.9184""","=""0.0003""","=""55000""","=""""",,"=""55789.216""","=""71218.994""","=""3d10.4s.5s""","=""1S""","=""0""","=""3d10.4s.7p""","=""1P*""","=""1""",,"=""""","=""L4741,L3284""",
"=""692.8316""","=""0.0013""","=""692.8295""","=""0.0003""","=""40000""","=""""",,"=""53672.2398""","=""68101.825""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.6p""","=""3P*""","=""2""",,"=""""","=""L3284""",
"=""693.8469""","=""0.0019""","=""693.8449""","=""0.0004""","=""20000""","=""""",,"=""53672.2398""","=""68080.708""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.6p""","=""3P*""","=""1""",,"=""""","=""L3284""",
"=""694.3199""","=""0.0013""","=""694.3184""","=""0.0004""","=""7000""","=""""",,"=""53672.2398""","=""68070.882""","=""3d10.4s.5s""","=""3S""","=""1""","=""3d10.4s.6p""","=""3P*""","=""0""",,"=""""","=""L3284""",
"=""779.9362""","=""0.0014""","=""779.9374""","=""0.0004""","=""6400""","=""""",,"=""55789.216""","=""68607.231""","=""3d10.4s.5s""","=""1S""","=""0""","=""3d10.4s.6p""","=""1P*""","=""1""",,"=""""","=""L3284""",
