obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""209.4558""","=""0.0010""","=""209.4567""","=""0.0006""","=""4""","=""2.27e+07""",,"=""179395.8""","=""227123.2""","=""3p5.3d""","=""3D*""","=""3""","=""3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""212.2827""","=""0.0010""","=""212.2827""","=""0.0006""","=""15""","=""9.37e+05""",,"=""180392.7""","=""227484.8""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""212.8138""","=""0.0010""","=""212.8142""","=""0.0006""","=""15""","=""1.66e+07""",,"=""180392.7""","=""227367.2""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""212.9190""","=""0.0010""","=""212.9199""","=""0.0010""","=""40""","=""4.61e+08""",,"=""180392.7""","=""227343.9""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""213.0687""","=""0.0010""","=""213.0692""","=""0.0006""","=""50""","=""4.00e+08""",,"=""180448.9""","=""227367.2""","=""3p5.3d""","=""3D*""","=""1""","=""3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""213.2947""","=""0.0010""","=""213.2942""","=""0.0006""","=""10""","=""5.12e+07""",,"=""180618.7""","=""227487.5""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""",,"=""T8304""","=""L12188""",
"=""213.3061""","=""0.0010""","=""213.3065""","=""0.0006""","=""10""","=""1.09e+08""",,"=""180618.7""","=""227484.8""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""213.8427""","=""0.0010""","=""213.8432""","=""0.0006""","=""1""","=""1.06e+07""",,"=""180618.7""","=""227367.2""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""213.9246""","=""0.0010""","=""213.9256""","=""0.0006""","=""20""","=""1.64e+08""",,"=""180392.7""","=""227123.2""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""T8304""","=""L12188""",
"=""213.9494""","=""0.0010""","=""213.9498""","=""0.0010""","=""10""","=""3.98e+07""",,"=""180618.7""","=""227343.9""","=""3p5.3d""","=""1F*""","=""3""","=""3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""T8304""","=""L12188""",
"=""214.0277""","=""0.0010""","=""214.0277""","=""0.0010""","=""7""","=""1.62e+07""",,"=""180392.7""","=""227100.9""","=""3p5.3d""","=""3D*""","=""2""","=""3p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""T8304""","=""L12188""",
