element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Fe,I,196.12457,196.124567,263.0,,704.007,51692.01
Fe,I,196.20252,196.202528,83.0,,978.074,51945.817
Fe,I,196.21107,196.21107,437.0,,415.933,51381.457
Fe,I,196.27332,196.27325,33.0,,415.933,51365.311
Fe,I,196.28835,196.288352,83.0,,415.933,51361.391
Fe,I,196.31042,196.310455,26.0,,888.132,51827.854
Fe,I,196.31217,196.312154,112.0,,888.132,51827.413
Fe,I,196.36336,196.363374,44.0,,704.007,51630.001
Fe,I,196.4055,196.405508,87.0,,704.007,51619.076
Fe,I,196.5076,196.507392,,,415.933,51304.604
Fe,I,196.658,196.657685,,,978.074,51827.854
Fe,I,196.7127,196.71271,1.0,,6928.268,57763.824
Fe,I,197.076,197.07591,,,888.132,51630.001
Fe,I,197.39162,197.391686,14.0,,415.933,51076.628
Fe,I,197.4056,197.404588,,,704.007,51361.391
Fe,I,197.5177,197.517708,1.0,,0.0,50628.372
Fe,I,197.619,197.618663,,,7728.06,58330.568
Fe,I,197.9769,197.976855,,,6928.268,57439.223
Fe,I,198.0776,198.0777,,,415.933,50901.172
Fe,I,198.4634,198.463653,,,7376.764,57763.824
Fe,I,198.7957,198.794411,,,0.0,50303.225
Fe,I,199.1044,199.104416,1.0,,6928.268,57153.171
Fe,I,199.1255,199.125774,0.0,,6928.268,57147.784
Fe,I,199.154,199.153839,0.0,,415.933,50628.372
Fe,I,199.2146,199.214438,,,704.007,50901.172
Fe,I,199.2599,199.259778,1.0,,0.0,50185.743
Fe,I,199.45704,199.457165,24.0,,6928.268,57064.346
Fe,I,199.7507,199.750476,,,7376.764,57439.223
Fe,I,199.756,199.755643,,,7376.764,57437.928
Fe,I,199.756,199.75615,,,7376.764,57437.801
Fe,I,199.79133,199.791442,35.0,,0.0,50052.194
Fe,I,199.9318,199.931655,0.0,,415.933,50433.025
Fe,I,200.0578,200.057726,2.0,,7376.764,57346.148
Fe,I,200.0671,200.067016,2.0,,7376.764,57343.828
Fe,I,200.23799,200.238154,13.0,,704.007,50628.372
Fe,I,200.3605,200.360565,1.0,,7728.06,57621.928
Fe,I,200.3728,200.373105,,,7728.06,57618.806
Fe,I,200.38696,200.38698,14.0,,415.933,50303.225
Fe,I,200.5297,200.529848,2.0,,704.007,50555.762
Fe,I,200.5594,200.559229,2.0,,7728.06,57572.513
Fe,I,200.62444,200.624516,27.0,,6928.268,56756.503
Fe,I,200.6245,200.623707,,,6928.268,56756.704
Fe,I,200.6318,200.631673,1.0,,6928.268,56754.726
Fe,I,200.6464,200.64628,1.0,,6928.268,56751.099
Fe,I,200.7179,200.71709,,,0.0,49805.257
Fe,I,200.72193,200.721886,22.0,,6928.268,56732.335
Fe,I,200.8233,200.822913,2.0,,6928.268,56707.284
Fe,I,200.8478,200.84744,,,7376.764,57149.702
Fe,I,200.8505,200.849817,,,7376.764,57149.113
Fe,I,200.8552,200.855181,1.0,,7376.764,57147.784
Fe,I,200.9031,200.903114,,,7985.785,57744.932
Fe,I,201.0248,201.024852,,,704.007,50433.025
Fe,I,201.1441,201.144199,,,7728.06,57427.576
Fe,I,201.1926,201.192517,1.0,,7376.764,57064.346
Fe,I,201.344,201.344035,,,7376.764,57026.96
Fe,I,201.494,201.493677,2.0,,6928.268,56541.596
Fe,I,201.5782,201.577951,0.0,,415.933,50008.522
Fe,I,201.65087,201.650746,16.0,,6928.268,56502.957
Fe,I,201.7159,201.715675,0.0,,0.0,49558.734
Fe,I,201.9075,201.907491,0.0,,7376.764,56888.423
