element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Mn,II,184.816,184.8156,10.0,150000000.0,54938.213,109046.2
Mn,II,184.826,184.8261,40.0,230000000.0,55371.693,109476.6
Mn,II,184.852,184.85187,2.0,,31662.04,85759.41
Mn,II,184.994,184.9927,3.0,,54938.213,108994.4
Mn,II,185.0,184.99765,20.0,,39813.76,93868.5
Mn,II,185.043,185.04267,3.0,,39826.91,93868.5
Mn,II,185.06,185.0581,1.0,,54938.213,108975.3
Mn,II,185.088,185.08705,100.0,100000000.0,31514.71,85543.34
Mn,II,185.144,185.14483,60.0,,31662.04,85673.81
Mn,II,185.161,185.1588,,,55371.693,109379.4
Mn,II,185.161,185.1619,,120000000.0,55116.333,109123.13
Mn,II,185.211,,10.0,,,
Mn,II,185.278,185.27631,,,31761.21,85734.65
Mn,II,185.278,185.2805,,170000000.0,55371.693,109343.9
Mn,II,185.305,185.30725,2.0,,30679.51,84643.94
Mn,II,185.3272,185.32659,300.0,180000000.0,14325.866,68284.664
Mn,II,185.424,185.426,2.0,,55116.333,109046.2
Mn,II,185.489,185.4896,40.0,230000000.0,55697.014,109608.4
Mn,II,185.514,185.51334,8.0,,30523.71,84428.19
Mn,II,185.554,185.55368,8.0,,39826.91,93719.67
Mn,II,185.5947,185.5951,,,54846.269,108727.0
Mn,II,185.67,185.6701,12.0,170000000.0,55116.333,108975.3
Mn,II,185.701,185.7007,,210000000.0,55371.693,109221.8
Mn,II,185.7923,185.791202,200.0,,14593.835,68417.697
Mn,II,185.911,185.9124,,,54938.213,108727.0
Mn,II,185.944,185.9442,8.0,,55697.014,109476.6
Mn,II,186.042,186.0415,3.0,,55371.693,109123.13
Mn,II,186.051,186.05108,100.0,70000000.0,30679.51,84428.19
Mn,II,186.144,186.14441,1.0,,33147.71,86869.44
Mn,II,186.1667,186.166042,100.0,,14781.205,68496.694
Mn,II,186.2515,186.25155,80.0,,14593.835,68284.664
Mn,II,186.28,186.2808,,250000000.0,55697.014,109379.4
Mn,II,186.348,186.35369,,,32787.9,86449.3
Mn,II,186.44,186.440232,80.0,,14781.205,68417.697
Mn,II,186.4615,186.4613,40.0,260000000.0,55697.014,109327.45
Mn,II,186.516,186.5157,5.0,,38901.88,92516.68
Mn,II,186.53,186.53,,,55116.333,108727.0
Mn,II,186.552,186.5546,,230000000.0,55371.693,108975.3
Mn,II,186.5832,186.58286,150.0,,14901.203,68496.694
Mn,II,186.625,186.6255,1.0,,30684.96,84268.21
Mn,II,186.788,186.78734,80.0,,14959.876,68496.694
Mn,II,186.828,186.8293,0.0,,55697.014,109221.8
Mn,II,186.858,186.85828,20.0,,14901.203,68417.697
Mn,II,186.878,186.87698,40.0,,30796.06,84307.2
Mn,II,186.903,186.9038,15.0,,14781.205,68284.664
Mn,II,186.955,,1.0,,,
Mn,II,187.139,187.13954,20.0,,34762.098,88198.16
Mn,II,187.307,187.30552,40.0,,30523.71,83912.42
Mn,II,187.559,187.55841,30.0,,14593.835,67910.56
Mn,II,187.611,187.61166,1.0,,33147.71,86449.3
Mn,II,187.716,187.71549,30.0,300000.0,14593.835,67865.945
Mn,II,187.852,187.85195,,,34762.098,87995.51
Mn,II,187.852,187.85372,,,30679.51,83912.42
Mn,II,187.909,187.90546,5.0,,14593.835,67812.087
Mn,II,187.966,187.96463,,,29869.42,83070.92
Mn,II,187.966,187.96766,,,33248.66,86449.3
Mn,II,187.985,187.9842,40.0,,30679.51,83875.47
Mn,II,188.19,188.19006,30.0,,30796.06,83933.83
Mn,II,188.378,188.37805,10.0,,34910.77,87995.51
Mn,II,188.398,188.39697,10.0,,30796.06,83875.47
Mn,II,188.505,188.50721,1.0,,29869.42,82917.79
Mn,II,188.57,188.56937,,,14781.205,67812.087
Mn,II,188.57,188.57119,,,34910.77,87941.14
Mn,II,188.672,,,,,
Mn,II,188.731,188.73048,2.0,,14781.205,67766.817
Mn,II,188.787,188.7876,10.0,200000.0,14325.866,67295.446
Mn,II,188.905,188.90611,20.0,,35004.79,87941.14
Mn,II,188.988,188.98776,8.0,,31514.71,84428.19
Mn,II,189.017,189.01666,5.0,,29869.42,82774.81
Mn,II,189.118,189.11678,,,32857.27,85734.65
Mn,II,189.155,189.15803,,,29869.42,82735.27
Mn,II,189.155,189.15887,,,14901.203,67766.817
Mn,II,189.202,189.20155,50.0,,35004.79,87858.48
Mn,II,189.24,189.23929,10.0,,29869.42,82712.57
Mn,II,189.3288,189.32853,60.0,,34762.098,87580.34
Mn,II,189.349,189.34682,30.0,,33248.66,86061.8
Mn,II,189.37,189.36923,50.0,,34910.77,87717.66
Mn,II,189.706,189.70699,20.0,,35004.79,87717.66
Mn,II,189.748,189.74752,100.0,4600000.0,14593.835,67295.446
Mn,II,189.812,189.81329,30.0,1700000.0,14325.866,67009.217
Mn,II,189.864,189.86295,30.0,,34910.77,87580.34
Mn,II,189.951,189.95099,10.0,,31662.04,84307.2
Mn,II,190.204,190.20248,10.0,,35004.79,87580.34
Mn,II,190.2948,190.29467,500.0,180000000.0,29869.42,82419.5
Mn,II,190.637,190.63625,20.0,,33278.73,85734.65
Mn,II,190.749,190.74814,20.0,,33248.66,85673.81
Mn,II,190.784,190.78369,200.0,13200000.0,14593.835,67009.217
Mn,II,190.847,190.84804,20.0,,31514.71,83912.42
Mn,II,190.854,190.85561,20.0,,33147.71,85543.34
Mn,II,190.891,190.89084,100.0,160000000.0,30684.96,83070.92
Mn,II,190.983,190.9823,,4200000.0,14325.866,66686.739
Mn,II,190.983,190.98271,,,31514.71,83875.47
Mn,II,191.141,191.14089,300.0,79000000.0,14325.866,66643.296
Mn,II,191.176,191.17659,,500000.0,14593.835,66901.494
Mn,II,191.215,191.2157,1.0,,49291.36,101588.32
Mn,II,191.296,191.2975,30.0,,39808.492,92083.09
Mn,II,191.373,191.37262,20.0,,30684.96,82939.04
Mn,II,191.468,191.46813,,21200000.0,14781.205,67009.217
Mn,II,191.468,191.4749,,,39813.76,92039.94
Mn,II,191.51,191.50971,1000.0,117000000.0,14325.866,66542.539
Mn,II,191.521,191.52161,20.0,,31662.04,83875.47
Mn,II,191.671,191.67142,30.0,,31761.21,83933.83
Mn,II,191.738,191.73783,3.0,,30684.96,82839.51
Mn,II,191.761,191.76076,100.0,,14781.205,66929.517
Mn,II,191.8643,191.86386,200.0,21800000.0,14781.205,66901.494
Mn,II,191.8909,191.89098,30.0,6500000.0,14781.205,66894.13
Mn,II,191.9639,191.96473,300.0,23800000.0,14593.835,66686.739
Mn,II,192.003,192.00124,100.0,69000000.0,14593.835,66676.833
Mn,II,192.095,192.0972,2.0,,55116.333,107173.3
Mn,II,192.125,192.12495,800.0,187000000.0,14593.835,66643.296
Mn,II,192.2031,192.20304,100.0,,14901.203,66929.517
Mn,II,192.307,192.30662,200.0,24800000.0,14901.203,66901.494
Mn,II,192.334,192.33385,200.0,53000000.0,14901.203,66894.13
Mn,II,192.496,192.4957,,260000000.0,43131.51,95080.71
Mn,II,192.496,192.49701,,,37851.49,89800.35
Mn,II,192.517,192.51665,5.0,,29869.42,81812.98
Mn,II,192.552,192.55114,300.0,51000000.0,14959.876,66894.13
Mn,II,192.5728,192.56999,,,27583.59,79512.76
Mn,II,192.6167,192.61573,40.0,,31022.2,82939.04
Mn,II,192.6585,192.65768,500.0,51000000.0,14781.205,66686.739
Mn,II,192.6948,192.69446,50.0,17000000.0,14781.205,66676.833
Mn,II,192.733,192.732,10.0,,49427.371,101312.9
Mn,II,192.815,192.8123,40.0,3400000.0,14781.205,66645.116
Mn,II,193.006,193.0066,,,54938.213,106749.9
Mn,II,193.045,193.0442,30.0,120000000.0,55371.693,107173.3
Mn,II,193.1404,193.14106,300.0,28000000.0,14901.203,66676.833
Mn,II,193.227,193.22697,10.0,,31022.2,82774.81
Mn,II,193.26,193.25945,20.0,3700000.0,14901.203,66645.116
Mn,II,193.332,193.3335,,,14901.203,66625.296
Mn,II,193.332,193.33447,,,37848.225,89572.06
Mn,II,193.393,193.39221,80.0,,30523.71,82232.1
Mn,II,193.478,193.47883,,4300000.0,14959.876,66645.116
Mn,II,193.5068,193.5067,100.0,180000000.0,43528.661,95206.47
Mn,II,193.5384,193.5386,20.0,,43537.186,95206.47
Mn,II,193.6089,193.6097,1.0,,43339.452,94989.77
Mn,II,193.674,193.6725,,170000000.0,55116.333,106749.9
Mn,II,193.674,193.6745,,,54846.269,106479.3
Mn,II,193.728,193.7269,,,49465.15,101084.2
Mn,II,193.728,193.7281,,,30523.71,82142.46
Mn,II,193.746,193.7463,15.0,,37851.49,89465.38
Mn,II,193.82,193.8196,20.0,,43395.395,94989.77
Mn,II,193.827,193.83015,10.0,,30796.06,82387.62
Mn,II,193.892,193.8897,1.0,,43311.324,94887.04
Mn,II,193.977,193.97668,1.0,,30679.51,82232.1
Mn,II,193.996,193.9955,20.0,,43339.452,94887.04
Mn,II,194.019,194.02,8.0,,54938.213,106479.3
Mn,II,194.189,194.18897,20.0,,33147.71,84643.94
Mn,II,194.208,194.2063,20.0,,43395.395,94887.04
Mn,II,194.235,194.2344,5.0,,43311.324,94795.5
Mn,II,194.266,194.2642,40.0,350000000.0,55697.014,107173.3
Mn,II,194.3541,194.35198,,,29869.42,81322.46
Mn,II,194.3541,194.3537,,150000000.0,43537.186,94989.77
Mn,II,194.416,194.4142,,,43311.324,
Mn,II,194.416,194.4162,,420000000.0,54938.213,106374.25
Mn,II,194.436,194.4364,20.0,170000000.0,49882.208,101312.9
Mn,II,194.477,194.47504,,,30679.51,82099.99
Mn,II,194.477,194.479,,360000000.0,54846.269,106265.7
Mn,II,194.515,194.5137,,470000000.0,55116.333,106526.6
Mn,II,194.515,194.51892,,,31662.04,83070.92
Mn,II,194.583,194.58338,5.0,,34910.77,86302.62
Mn,II,194.634,194.6351,30.0,220000000.0,55371.693,106749.9
Mn,II,194.694,194.6928,20.0,,55116.333,106479.3
Mn,II,194.7932,194.7936,200.0,500000000.0,55371.693,106708.09
Mn,II,194.828,194.8274,10.0,340000000.0,54938.213,106265.7
Mn,II,194.872,194.87081,80.0,,31514.71,82830.76
Mn,II,194.956,194.9563,10.0,,43696.217,94989.77
Mn,II,195.0143,195.01411,200.0,140000000.0,29869.42,81147.76
Mn,II,195.031,195.03043,30.0,,31662.04,82936.09
Mn,II,195.069,195.0687,2.0,,49820.205,101084.2
Mn,II,195.0922,195.0918,40.0,260000000.0,55116.333,106374.25
Mn,II,195.286,195.28633,2.0,,30679.51,81886.37
Mn,II,195.323,195.32066,,,31514.71,82712.57
Mn,II,195.323,195.3232,,520000000.0,55697.014,106894.2
Mn,II,195.335,195.3343,3.0,150000000.0,49889.927,101084.2
Mn,II,195.351,195.3475,10.0,,43696.217,94887.04
Mn,II,195.39,195.39062,10.0,,33248.66,84428.19
Mn,II,195.398,195.39711,5.0,,31761.21,82939.04
Mn,II,195.41,195.40837,5.0,,31761.21,82936.09
Mn,II,195.432,195.4319,30.0,,31662.04,82830.76
Mn,II,195.481,195.47827,,,31761.21,82917.79
Mn,II,195.481,195.4847,,180000000.0,55371.693,106526.6
Mn,II,195.506,195.5058,1.0,,55116.333,106265.7
Mn,II,195.798,195.79729,40.0,,31662.04,82735.27
Mn,II,195.858,195.85949,,,35004.79,86061.8
Mn,II,195.8932,195.89218,80.0,100000000.0,38901.88,89950.37
Mn,II,195.9246,195.92465,300.0,390000000.0,38720.26,89760.29
Mn,II,195.969,195.96903,,,33278.73,84307.2
Mn,II,195.969,195.97049,,,30684.96,81713.05
Mn,II,196.027,196.02616,10.0,,31761.21,82774.81
Mn,II,196.037,196.0359,10.0,90000000.0,55697.014,106708.09
Mn,II,196.067,196.0686,0.0,,55371.693,106374.25
Mn,II,196.0757,,10.0,,,
Mn,II,196.099,196.1032,,,68284.664,119278.22
Mn,II,196.139,196.13739,,,30796.06,81780.73
Mn,II,196.139,196.13839,,,35004.79,85989.2
Mn,II,196.28,196.27894,30.0,,35004.79,85952.69
Mn,II,196.419,196.41846,10.0,,34762.098,85673.81
