element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Na,II,239.0452,,30.0,,,
Na,II,239.2324,,35.0,,,
Na,II,239.3275,239.327,,,330636.75,372407.9
Na,II,239.3275,239.328,,,330636.75,372407.6
Na,II,239.3612,,350.0,,,
Na,II,239.5642,239.563,30.0,,332802.21,374532.1
Na,II,239.6559,,30.0,,,
Na,II,240.1014,240.102,100.0,,330789.05,372425.4
Na,II,240.2019,240.203,45.0,,330789.05,372407.9
Na,II,240.3299,,30.0,,,
Na,II,240.5938,,30.0,,,
Na,II,240.9098,,30.0,,,
Na,II,241.0549,,30.0,,,
Na,II,241.2544,,30.0,,,
Na,II,241.7121,,30.0,,,
Na,II,241.9965,241.997,70.0,,331123.04,372433.3
Na,II,242.0991,242.099,300.0,,331123.04,372415.9
Na,II,242.2071,,35.0,,,
Na,II,242.3724,242.371,60.0,,331186.7,372433.3
Na,II,242.4729,242.473,300.0,,331186.7,372415.9
Na,II,242.7437,,35.0,,,
Na,II,242.7968,,35.0,,,
Na,II,242.9322,,35.0,,,
Na,II,243.384,,35.0,,,
Na,II,243.4541,,35.0,,,
Na,II,243.7112,,35.0,,,
Na,II,243.9144,243.914,200.0,,332802.21,373787.8
Na,II,244.1495,244.151,250.0,,332841.93,373787.8
Na,II,244.2513,,80.0,,,
Na,II,244.3541,,45.0,,,
Na,II,244.4439,,35.0,,,
Na,II,244.5779,,40.0,,,
Na,II,244.62,,40.0,,,
Na,II,244.7195,,35.0,,,
Na,II,244.8715,244.871,200.0,,332962.57,373788.1
Na,II,244.9773,,40.0,,,
Na,II,245.218,245.218,200.0,,331665.59,372433.3
Na,II,245.2657,245.265,100.0,,331665.59,372425.4
Na,II,245.3718,245.373,15.0,,331665.59,372407.6
Na,II,245.4628,245.473,60.0,,331707.9,372433.3
Na,II,245.7477,,20.0,,,
Na,II,246.0776,246.078,40.0,,333162.94,373788.1
Na,II,246.6368,,20.0,,,
Na,II,249.3149,249.3148,1000.0,415000000.0,268762.96,308860.8
Na,II,249.4661,,130.0,,,
Na,II,249.784,,130.0,,,
Na,II,249.8124,,70.0,,,
Na,II,250.2839,250.2838,300.0,12000000.0,293220.33,333162.94
Na,II,250.4285,,25.0,,,
Na,II,250.4791,250.4773,25.0,,330636.75,
Na,II,250.6301,250.6302,450.0,27000000.0,293220.33,333107.74
Na,II,251.4412,251.4396,45.0,,330789.05,
Na,II,251.5455,251.5457,600.0,22500000.0,293220.33,332962.57
Na,II,252.5647,252.5649,50.0,278000.0,293220.33,332802.21
Na,II,252.7705,,40.0,,,
Na,II,253.1538,253.154,600.0,84400000.0,293220.33,332710.11
Na,II,254.5095,,25.0,,,
Na,II,254.6279,,35.0,,,
Na,II,254.6939,,20.0,,,
Na,II,255.8022,,15.0,,,
Na,II,255.9971,255.995,10.0,,331496.51,
Na,II,256.5476,,15.0,,,
Na,II,256.8104,,12.0,,,
