element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Al,II,209.9709,209.9706,80.0,,95350.6,142961.2
Al,II,219.2604,219.2604,500.0,247000000.0,95549.42,141143.05
Al,II,219.4189,219.4191,20.0,27400000.0,95549.42,141110.06
Al,II,219.4245,219.4244,70.0,219000000.0,95550.51,141110.06
Al,II,,219.5404,,1080000.0,95549.42,141084.89
Al,II,219.5456,219.5457,300.0,38300000.0,95550.51,141084.89
Al,II,219.5502,219.5502,300.0,207000000.0,95551.44,141084.89
Al,II,224.3045,224.3047,300.0,30300000.0,95350.6,139918.98
Al,II,228.5126,228.5133,50.0,,91274.5,135022.127
Al,II,228.547,228.5469,10.0,,91274.5,135015.701
Al,II,228.569,228.5647,5.0,,91274.5,135012.285
Al,II,231.2225,231.2192,1.0,,105441.5,148677.2
Al,II,231.3768,231.3768,100.0,,105470.93,148677.2
Al,II,232.4199,232.4198,350.0,34600000.0,95549.42,138561.8
Al,II,232.5436,232.5437,10.0,3850000.0,95549.42,138538.9
Al,II,232.5494,232.5496,300.0,30700000.0,95550.51,138538.9
Al,II,,232.6384,,152000.0,95549.42,138521.4
Al,II,232.6445,232.6443,10.0,5380000.0,95550.51,138521.4
Al,II,232.6496,232.6493,300.0,29000000.0,95551.44,138521.4
Al,II,232.82,232.8201,3.0,,106920.56,149859.0
Al,II,234.469,234.4688,7.0,,106920.56,149557.1
Al,II,234.547,234.5473,3.0,,105470.93,148093.2
Al,II,234.592,234.5895,3.0,,105441.5,148056.1
Al,II,234.7516,234.7516,30.0,,105470.93,148056.1
Al,II,236.546,236.5489,10.0,,106920.56,149182.2
Al,II,238.825,238.816,1.0,,105427.52,147288.0
Al,II,238.9035,238.9035,5.0,,105441.5,147286.65
Al,II,239.0692,239.0691,25.0,,105470.93,147287.1
Al,II,239.1276,239.1276,15.0,,105427.52,147233.45
Al,II,239.2078,239.2076,50.0,,105441.5,147233.45
Al,II,239.2234,239.2232,10.0,,106920.56,148709.8
Al,II,239.376,239.3762,100.0,,105470.93,147233.45
Al,II,242.5596,242.559,5.0,,106920.56,148135.13
Al,II,242.7742,242.7742,50.0,,106920.56,148098.6
Al,II,245.2584,245.2584,30.0,,105427.52,146188.5
Al,II,245.3423,245.3426,100.0,,105441.5,146188.5
Al,II,245.5177,245.5175,200.0,,105470.93,146188.9
Al,II,245.7187,245.7188,100.0,,105427.52,146112.14
Al,II,245.8037,245.8032,300.0,,105441.5,146112.14
Al,II,245.888,245.8883,3.0,,110089.83,150746.4
Al,II,245.9809,245.9812,500.0,,105470.93,146112.14
Al,II,246.628,246.6278,3.0,,110089.83,150624.5
Al,II,247.3008,247.301,25.0,,106920.56,147344.89
Al,II,247.5252,247.5256,1500.0,46000000.0,85481.35,125869.015
Al,II,247.6322,247.6313,300.0,,106920.56,147290.98
Al,II,248.535,248.5354,5.0,,110089.83,150313.4
Al,II,249.7886,249.7887,10.0,,110089.83,150111.6
Al,II,250.425,250.4251,5.0,,110089.83,150009.9
Al,II,251.3145,251.3147,20.0,,110089.83,149868.6
Al,II,252.0579,252.0587,45.0,,110089.83,149751.2
Al,II,252.6486,252.6484,1000.0,19400000.0,95350.6,134919.4
Al,II,253.2092,253.2092,50.0,,110089.83,149571.0
