element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Mg,I,382.93549,382.93547,36.0,89900000.0,21850.405,47957.058
Mg,I,,382.93593,,2.11e-05,21850.405,47957.027
Mg,I,383.168,383.168,,,35051.264,61142.1
Mg,I,,383.22993,,7.17e-05,21870.464,47957.058
Mg,I,383.22996,383.22993,,67400000.0,21870.464,47957.058
Mg,I,,383.23013,,2.2e-05,21870.464,47957.045
Mg,I,383.23037,383.23039,38.0,121000000.0,21870.464,47957.027
Mg,I,,383.23039,,0.000636,21870.464,47957.027
Mg,I,,383.829,,1.8e-06,21911.178,47957.058
Mg,I,,383.829,,4480000.0,21911.178,47957.058
Mg,I,383.82918,383.82919,40.0,161000000.0,21911.178,47957.045
Mg,I,,383.82919,,0.00204,21911.178,47957.045
Mg,I,383.82943,383.82946,,40300000.0,21911.178,47957.027
Mg,I,,383.82946,,0.000328,21911.178,47957.027
Mg,I,384.37,384.37,,,35051.264,61060.5
Mg,I,,384.49513,,14.6,21850.405,47851.162
Mg,I,,384.59495,,3.05e-05,21850.405,47844.414
Mg,I,,384.792,,9.5e-05,21870.464,47851.162
Mg,I,,384.792,,32.8,21870.464,47851.162
Mg,I,384.8914,384.89197,1.0,18.3,21870.464,47844.414
Mg,I,,384.89197,,4.31e-10,21870.464,47844.414
Mg,I,,384.9408,,9.2e-05,21870.464,47841.119
Mg,I,,385.39596,,2.89e-12,21911.178,47851.162
Mg,I,385.396,385.39596,2.0,25.5,21911.178,47851.162
Mg,I,,385.49624,,0.000159,21911.178,47844.414
Mg,I,385.4965,385.49624,1.0,54.8,21911.178,47844.414
Mg,I,,385.54523,,73.2,21911.178,47841.119
Mg,I,385.886,385.886,2.0,,35051.264,60958.31
Mg,I,387.8306,387.8306,3.0,,35051.264,60828.41
Mg,I,389.0241,389.0178,1.0,131000000.0,57812.77,83511.25
Mg,I,389.1906,389.1906,,177000000.0,57833.4,83520.47
Mg,I,389.3304,389.3304,,98100000.0,57833.4,83511.25
Mg,I,389.5572,389.5572,,235000000.0,57873.94,83536.84
Mg,I,389.812,389.8059,1.0,58800000.0,57873.94,83520.47
Mg,I,,389.946,,6520000.0,57873.94,83511.25
Mg,I,390.3859,390.3859,4.0,,35051.264,60659.69
Mg,I,393.84,393.84002,6.0,5470000.0,35051.264,60435.099
Mg,I,398.4212,398.4213,1.0,,35051.264,60143.23
Mg,I,398.67533,398.67533,8.0,7300000.0,35051.264,60127.239
Mg,I,405.4689,405.4688,2.0,,35051.264,59707.11
Mg,I,405.75052,405.75052,10.0,10200000.0,35051.264,59689.991
Mg,I,,407.17287,,0.000471,21850.405,46403.065
Mg,I,,407.5058,,0.00105,21870.464,46403.065
Mg,I,407.5059,407.5058,3.0,,21870.464,46403.065
Mg,I,,408.18323,,0.000809,21911.178,46403.065
Mg,I,408.1833,408.18323,2.0,,21911.178,46403.065
Mg,I,,409.9787,,1710000.0,56308.381,80693.01
Mg,I,416.5101,416.5101,4.0,,35051.264,59053.52
Mg,I,416.72712,416.72713,15.0,13800000.0,35051.264,59041.019
Mg,I,435.19056,435.19057,20.0,18400000.0,35051.264,58023.246
Mg,I,435.4529,435.4528,6.0,,35051.264,58009.41
Mg,I,438.0375,438.0376,6.0,,35051.264,57873.94
Mg,I,,440.9923,,768000.0,58023.246,80693.01
Mg,I,,456.26017,,0.00398,0.0,21911.178
Mg,I,457.10956,457.10956,,254.0,0.0,21870.464
Mg,I,,457.5292,,0.00058,0.0,21850.405
Mg,I,462.1299,462.1301,3.0,,21870.464,43503.333
Mg,I,,463.0015,,0.00204,21911.178,43503.333
Mg,I,470.29909,470.29908,30.0,21900000.0,35051.264,56308.381
Mg,I,473.00285,473.00286,10.0,1340000.0,35051.264,56186.873
Mg,I,516.73216,516.73213,42.0,11300000.0,21850.405,41197.403
Mg,I,,517.2684,,3.46e-05,21870.464,41197.403
Mg,I,517.26843,517.26844,44.0,33700000.0,21870.464,41197.403
Mg,I,,518.3604,,0.000102,21911.178,41197.403
Mg,I,518.36042,518.36043,45.0,56100000.0,21911.178,41197.403
Mg,I,534.5977,534.5976,,,41197.403,59897.86
Mg,I,534.5977,534.5976,,,41197.403,59897.86
Mg,I,534.5977,534.5976,,,41197.403,59897.86
Mg,I,550.9597,550.9597,,,41197.403,59342.51
Mg,I,550.9597,550.9597,,,41197.403,59342.51
Mg,I,550.9597,550.9597,,,41197.403,59342.51
Mg,I,552.84047,552.84047,40.0,13900000.0,35051.264,53134.642
Mg,I,571.1088,571.1088,30.0,3860000.0,35051.264,52556.206
Mg,I,578.5312,578.5313,5.0,,41197.403,58477.76
Mg,I,578.556,578.5561,4.0,,41197.403,58477.02
Mg,I,631.8716,631.8717,10.0,263000.0,41197.403,57019.025
Mg,I,631.9236,631.9237,9.0,264000.0,41197.403,57017.724
Mg,I,631.9493,631.9495,7.0,263000.0,41197.403,57017.078
Mg,I,663.0834,663.0833,2.0,,43503.333,58580.23
Mg,I,689.4898,689.4918,4.0,,46403.065,60902.5
Mg,I,696.5404,696.5409,6.0,,46403.065,60755.764
Mg,I,706.0409,706.0414,8.0,851000.0,46403.065,60562.637
Mg,I,719.3172,719.3184,10.0,1180000.0,46403.065,60301.283
Mg,I,729.106,729.1055,10.0,62700.0,43503.333,57214.992
Mg,I,738.7004,738.7001,5.0,,46403.065,59936.63
Mg,I,738.7685,738.7689,12.0,1740000.0,46403.065,59935.37
Mg,I,,757.318,,9.67e-05,21850.405,35051.264
Mg,I,,758.4705,,7.22e-05,21870.464,35051.264
Mg,I,,758.4705,,3.76e-05,21870.464,35051.264
Mg,I,,760.8206,,0.000119,21911.178,35051.264
Mg,I,,760.8206,,2.65e-05,21911.178,35051.264
Mg,I,765.7603,765.7603,20.0,1230000.0,41197.403,54252.726
Mg,I,765.9152,765.9152,19.0,1230000.0,41197.403,54250.086
Mg,I,765.9902,765.9901,17.0,1230000.0,41197.403,54248.809
Mg,I,769.0165,769.0123,8.0,,46403.065,59403.18
Mg,I,769.155,769.1553,15.0,2660000.0,46403.065,59400.763
Mg,I,772.2614,772.2583,,,47957.027,60902.5
Mg,I,772.2614,772.2593,,,47957.045,60902.5
Mg,I,772.2614,772.2601,,,47957.058,60902.5
Mg,I,,774.6326,,6.09e-07,35051.264,47957.058
Mg,I,,774.6334,,2.2e-05,35051.264,47957.045
Mg,I,774.6343,774.6345,1.0,,35051.264,47957.027
Mg,I,,774.6345,,5.48e-06,35051.264,47957.027
Mg,I,775.9297,775.9298,1.0,,47851.162,60735.38
Mg,I,,781.0413,,1.02e-05,35051.264,47851.162
Mg,I,,781.0413,,3.76e-05,35051.264,47851.162
Mg,I,781.1135,781.1122,,,47957.027,60755.764
Mg,I,781.1135,781.1133,,,47957.045,60755.764
Mg,I,781.1135,781.1141,,,47957.058,60755.764
Mg,I,,781.4533,,1.03e-05,35051.264,47844.414
Mg,I,,781.4533,,0.00042,35051.264,47844.414
Mg,I,,781.6546,,4.11e-05,35051.264,47841.119
Mg,I,,787.543,,254000.0,47841.119,60535.34
Mg,I,,787.748,,190000.0,47844.414,60535.34
Mg,I,,787.748,,343000.0,47844.414,60535.34
Mg,I,788.1667,788.1669,2.0,456000.0,47851.162,60535.34
Mg,I,,788.167,,12700.0,47851.162,60535.34
Mg,I,,788.167,,114000.0,47851.162,60535.34
Mg,I,,793.0794,,84100.0,47957.027,60562.637
Mg,I,793.0806,793.0794,,478000.0,47957.027,60562.637
Mg,I,793.0806,793.0806,,538000.0,47957.045,60562.637
Mg,I,,793.0806,,2370.0,47957.045,60562.637
Mg,I,,793.0806,,60000.0,47957.045,60562.637
Mg,I,793.0806,793.0814,,452000.0,47957.058,60562.637
Mg,I,794.707,794.71,2.0,29100.0,47841.119,60420.87
Mg,I,,794.918,,87100.0,47844.414,60420.87
Mg,I,795.339,795.345,3.0,145000.0,47851.162,60420.87
Mg,I,804.773,804.772,,353000.0,47841.119,60263.583
Mg,I,804.9854,804.9855,5.0,478000.0,47844.414,60263.583
Mg,I,,804.9855,,265000.0,47844.414,60263.583
Mg,I,,805.4231,,17600.0,47851.162,60263.583
Mg,I,,805.4231,,159000.0,47851.162,60263.583
Mg,I,805.4232,805.4231,7.0,636000.0,47851.162,60263.583
Mg,I,,809.8707,,120000.0,47957.027,60301.283
Mg,I,,809.8719,,3370.0,47957.045,60301.283
Mg,I,,809.8719,,85500.0,47957.045,60301.283
Mg,I,809.8724,809.8707,,682000.0,47957.027,60301.283
Mg,I,809.8724,809.8719,,768000.0,47957.045,60301.283
Mg,I,809.8724,809.8727,,646000.0,47957.058,60301.283
Mg,I,815.4644,815.464,1.0,,47844.414,60104.0
Mg,I,815.9132,815.9131,2.0,,47851.162,60104.0
Mg,I,820.9839,820.9835,10.0,181000.0,46403.065,58580.23
Mg,I,821.3034,821.3041,20.0,4380000.0,46403.065,58575.477
Mg,I,830.3313,830.3313,7.0,516000.0,47841.119,59881.196
Mg,I,,830.5586,,387000.0,47844.414,59881.196
Mg,I,830.5596,830.5596,9.0,928000.0,47844.414,59881.181
Mg,I,,831.0244,,25700.0,47851.162,59881.196
Mg,I,,831.0255,,232000.0,47851.162,59881.181
Mg,I,831.0264,831.0264,10.0,924000.0,47851.162,59881.168
Mg,I,,834.6106,,179000.0,47957.027,59935.37
Mg,I,,834.6119,,5040.0,47957.045,59935.37
Mg,I,,834.6119,,127000.0,47957.045,59935.37
